Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,4.728666,4.485177,2.187179,1.616984,1.515780,1.533995,1.679474,2.183179,2.554928,2.573901,2.284914,2.295044,2.071440,2.077005,2.074051,2.039359,2.043140,2.221302,1.951393,1.934995,1.928808,2.153675,1.993720,2.019565,1.980744,1.990374,2.002016,1.962020,1.954520,1.977635,2.006395,2.650401,2.655385,1.984841,1.984560,1.986944,1.989366,1.985389,2.103010,2.125985,2.121223,2.124907,2.120354,2.110314,2.148206,2.122029,2.119952,2.110392,1.981698,2.114675,1.937135,1.932577,2.023631,2.030913,2.043846,1.931338,1.981351,1.986713,2.003396,2.330443,2.109054,2.091471,2.011416,2.114639,2.808243,2.800055,2.836920,2.311079,2.855959,2.106630,2.208680,2.285685,2.264501,2.277616,2.264943,2.266727,2.256534,2.066885,2.044820,2.058759,2.073336,2.121480,2.138659,1.462072,1.359477,1.874078,1.365690,1.873053,1.325094,1.394530,1.395667,1.376106,1.426484,0.184946,0.110870,0.108685,0.095937,0.066818,0.061205,0.074973,0.072591,0.069714,0.077515,0.087712,0.188364,0.258768,0.270260,0.300312,0.343478,0.148866,0.176583,0.161289,0.093116,0.107579,0.150144,0.156359,0.236122,0.242801,0.262773,0.257725,0.314204,0.313771,0.161613,0.159064,0.138016,0.319370,0.289317,0.281647,0.167975,0.165888,0.166145,0.186294,0.183266,0.175309,0.096835,0.167071,0.122546,0.170617,0.125937,0.122747,0.264783,0.157412,0.128303,0.103796,0.067401,0.040426,0.062241,0.079599,0.066995,0.048357
1,3.780023,3.290643,2.205364,1.948002,2.041060,1.960561,1.952878,1.962047,2.292388,2.312957,2.368546,2.091453,2.012048,0.468438,0.454186,0.472624,0.139250,0.116589,0.138493,0.080452,0.110734,0.137711,0.132712,0.121921,0.090237,0.085045,0.083988,0.150748,0.056986,0.030110,0.073551,0.154640,0.035219,0.181747,0.097019,0.104947,0.105889,0.157359,0.112510,0.071271,0.080060,0.064798,0.101764,0.168763,0.087266,0.086477,0.088819,0.077536,0.085068,0.095262,0.050362,0.061640,0.113005,0.096812,0.075945,0.097200,0.150457,0.070325,0.198392,0.082239,0.077811,0.085084,0.088653,0.167244,0.191344,0.027492,0.070785,0.084978,0.067895,0.091157,0.030270,0.049092,0.048235,0.092110,0.032673,0.062859,0.055331,0.042130,0.134562,0.128425,0.061571,0.122400,0.196225,0.195935,0.263626,0.269701,0.255732,0.258534,0.202880,0.285451,0.199169,0.208343,0.200519,0.718018,0.630281,0.661002,0.611511,0.640133,0.063580,0.612384,0.626817,0.496367,0.494897,0.207630,0.129381,0.070251,0.062242,0.083059,0.627992,0.067556,0.059438,0.073285,0.045492,0.068837,0.073954,0.015903,0.009977,0.039302,0.056563,0.081360,0.038199,0.101550,0.033209,0.033428,0.024332,0.019029,0.089317,0.075998,0.168299,0.175189,0.114362,0.178916,0.185441,0.131022,0.043223,0.022077,0.050917,0.083738,0.039353,0.029222,0.029279,0.049376,0.048760,0.070696,0.059679,0.014185,0.016994,0.052068,0.049868,0.043844
2,3.681700,3.716401,2.622439,2.686843,2.703156,2.692095,2.709946,2.698098,2.704048,2.434727,2.405885,2.442914,2.352183,2.364163,2.304610,2.353404,2.336353,2.353263,2.092722,2.294492,2.308278,2.472015,2.436831,2.532878,2.417522,2.331981,2.251702,0.637402,0.512106,0.514141,0.524720,0.637253,0.658141,0.527272,0.478729,0.477530,0.466802,0.480142,0.468688,0.468917,0.462559,0.471869,0.506983,0.471149,0.445089,0.366924,0.363322,0.378517,0.347173,0.354602,0.353352,0.339182,0.322047,0.288596,0.287630,0.296161,0.292117,0.313067,0.335245,0.291389,0.305444,0.311708,0.331170,0.285726,0.344616,0.320991,0.329213,0.345214,0.313625,0.311875,0.317617,0.333566,0.329371,0.316154,0.010312,0.009248,-0.009796,0.010387,0.028361,0.016569,-0.002084,0.024105,0.002253,0.468500,0.477807,-0.011786,0.082402,0.050044,0.029324,0.018260,0.233587,0.236036,0.039372,0.034063,0.026155,0.033248,-0.001059,0.066891,0.125085,-0.004624,0.074996,0.168803,0.192248,0.199639,0.194524,0.077235,0.063366,0.047543,0.063451,0.085423,0.168831,0.168848,0.141539,0.252095,0.259765,0.250426,0.150855,0.309053,0.199851,0.120031,0.152730,0.125604,0.143311,0.061750,0.083007,0.050452,0.080521,0.046247,0.061558,0.101957,0.114888,0.103177,0.110670,0.133642,0.096012,0.116884,0.097536,0.086398,0.109539,0.100294,0.111521,0.110409,0.170369,0.173821,0.088177,0.092432,0.095352,0.104896,0.102879,0.085435
3,2.989686,2.985502,2.923357,3.043184,2.817094,1.934566,2.129356,1.657961,1.781672,2.019002,2.046035,1.974457,1.965825,1.877369,1.504672,0.109911,1.544171,0.132953,1.616258,1.598278,0.022134,0.020951,0.008777,-0.002474,0.029598,0.006099,0.086838,0.089398,0.127916,0.150959,0.117713,0.105036,0.077026,0.061420,0.049338,0.061889,0.071056,0.033801,0.057817,0.043288,0.069712,0.056083,0.057344,0.046647,0.074036,0.042126,0.019825,0.021080,0.031042,0.109964,0.140996,-0.013655,0.040255,0.026934,0.035102,0.044446,0.023917,0.001198,0.021551,0.002577,0.028535,0.060681,0.020227,0.045794,0.023023,0.037411,0.026655,0.033600,-0.028715,-0.001390,-0.025907,-0.032334,0.023299,0.019997,0.029561,0.069717,0.059564,0.051239,0.043745,0.038153,0.078023,0.011793,0.084116,0.038792,0.047948,0.026794,0.252609,0.012895,0.023900,0.034731,0.009979,0.179182,0.029147,0.216187,0.069125,0.034589,0.038948,0.023490,0.037486,0.118744,0.102968,0.053627,0.009666,0.063902,0.081925,0.066431,0.106519,0.091128,0.085917,0.094211,0.093786,0.097823,0.366990,0.377632,0.398460,0.115400,0.116466,0.357989,0.358604,0.118122,0.150633,0.293105,0.035381,0.047668,0.128770,0.127985,0.089431,0.116050,0.102797,0.115618,0.110816,0.100865,0.164518,0.044317,0.071664,0.063686,0.023070,0.037431,0.027969,0.062722,0.028339,0.062439,0.021762,0.035553,0.029261,0.015921,0.050466,0.013431,0.030203,0.025484
4,3.062333,4.713606,3.518399,3.747107,2.738968,2.632878,2.654555,2.763903,3.044021,3.273136,3.219525,2.175164,2.198173,3.182487,1.034314,0.508582,0.541065,1.178594,0.509149,0.520541,0.538972,0.970900,0.984566,0.986547,1.261897,1.200558,1.022136,0.543712,0.634149,0.535293,0.777989,0.770601,0.593593,0.606983,0.980666,0.978321,1.150117,0.675069,1.144505,0.987466,0.988404,1.075542,0.528627,0.560882,0.439133,0.670233,0.555810,0.761884,0.502955,0.361197,0.382526,0.290179,0.454708,0.429221,0.289701,0.446472,0.449588,0.430827,0.308272,0.422316,0.439284,0.288263,0.303451,0.292902,0.298548,0.289712,0.456423,0.428047,0.435306,0.507276,0.493375,0.501761,0.475476,0.498758,0.324382,0.306145,0.289967,0.312261,0.282920,0.296602,0.268429,0.277620,0.297686,0.284980,0.288954,0.295851,0.304014,0.284951,0.292436,0.463301,0.309267,0.456574,0.299656,0.276787,0.291013,0.332078,0.252689,0.301754,0.312083,0.341313,0.321895,0.322662,0.289087,0.434082,0.464419,0.448471,0.471669,0.463832,0.603864,0.601752,0.572474,0.613759,0.441540,0.578873,0.452168,0.575413,0.487103,0.614633,0.310836,0.315676,0.323968,0.303210,0.322235,0.322400,0.326373,0.355925,0.319899,0.327388,0.328011,0.315777,0.311662,0.294399,0.302018,0.310515,0.293528,0.289854,0.293765,0.288553,0.460034,0.295815,0.310248,0.432502,0.312666,0.291012,0.325649,-0.044642,-0.030501,0.302779,-0.014101,0.173358
5,3.295223,1.920412,1.804993,1.555886,1.814215,1.818868,1.847706,1.939864,1.912264,1.551758,1.553086,1.561474,1.507952,1.483909,1.503142,1.498678,1.483762,1.505862,1.500796,1.542828,1.552912,1.568127,1.582135,1.555231,1.667182,1.635600,1.594700,0.078928,1.588248,1.557120,1.491878,1.459795,1.628440,1.630566,1.566746,1.579916,1.582509,0.061488,1.346764,0.072190,1.478194,1.487702,1.485304,1.475840,0.092031,0.074626,0.071463,0.097065,0.081385,0.073902,0.082489,0.071074,0.048990,0.074777,0.091102,0.060817,0.055849,0.082319,0.073190,0.073832,0.077629,0.040283,0.033973,0.082007,0.072790,0.073636,0.073181,0.066971,0.066995,0.086089,0.069934,0.085489,0.031743,0.026696,0.038793,-0.012958,0.041015,0.037586,0.006818,0.030578,-0.042238,-0.023971,-0.035627,-0.025281,0.025981,-0.011084,0.026010,-0.018676,-0.016192,0.016370,0.072743,0.068537,0.006599,0.005510,-0.023016,-0.038429,-0.019322,-0.034763,-0.017282,-0.031199,-0.034923,0.002391,-0.040966,-0.042679,0.036864,0.039660,0.040988,0.034036,0.022494,0.036472,-0.034611,0.014997,0.019618,0.000040,-0.050012,0.028799,-0.005187,-0.007043,0.096601,0.077247,0.051688,0.080834,0.086409,0.087757,0.155917,0.170548,0.161062,0.108892,0.092685,0.084872,-0.038923,-0.013541,-0.012098,-0.025604,-0.017855,-0.027018,-0.033999,-0.039397,-0.038928,-0.032231,-0.004107,-0.074710,-0.046672,-0.042934,-0.030608,-0.008299,-0.051305,-0.041778,-0.029711,-0.021247
6,2.437191,2.413491,2.228408,2.251838,2.264620,2.253184,2.234488,2.179581,2.765536,2.757764,2.214392,2.327036,1.502534,0.062386,0.078306,0.097417,0.081681,0.091396,0.040065,0.029069,0.026191,0.150370,0.170444,0.033463,0.045352,0.037179,0.036779,0.029213,0.075615,0.036523,0.030149,0.014518,0.024410,0.008814,0.034093,0.053555,0.038742,0.025198,0.010050,0.042921,0.039511,0.123779,0.064677,0.068375,0.035117,0.115042,0.273479,0.002304,0.095793,0.112480,0.056101,0.075111,0.022071,0.027167,0.042014,0.014265,0.044841,0.045247,0.005222,0.027079,0.045154,0.058794,0.034743,0.022648,0.046374,-0.011070,-0.000746,0.071082,0.057895,0.083542,0.047609,0.059833,0.048033,0.038214,0.030652,0.057779,0.034400,0.028307,0.018606,0.034755,0.043511,0.027082,0.028646,0.035479,0.029798,0.111758,0.134094,0.107828,0.113083,0.119556,0.119814,0.137712,0.143295,0.147054,0.133209,0.148635,0.118089,0.124728,0.118685,0.120117,0.136714,0.164092,0.130343,0.158540,0.117943,0.133427,0.152370,0.123996,0.054535,0.095834,0.078139,0.089528,0.083895,0.091614,0.094757,0.087129,0.027690,0.038811,0.043600,0.032137,0.065167,0.077735,0.091820,0.070967,0.148383,0.128314,0.138836,0.089736,0.097265,0.081717,0.090825,0.093902,0.078340,0.093486,0.080971,0.073685,0.080887,0.068079,0.087253,0.097108,0.131701,0.117623,0.083042,0.090236,0.074645,0.166825,0.064970,0.069924,0.085552,0.079401
7,3.780541,3.671534,4.197077,4.768927,3.303363,3.330744,4.778907,1.978581,1.500751,1.106996,0.944266,1.167741,0.690369,0.692462,0.926296,0.954757,0.630781,0.520141,0.537782,0.479928,0.496679,0.475401,0.455211,0.517528,0.486564,0.463197,0.484573,0.347275,0.477769,0.437406,0.476639,0.486382,0.548459,0.507113,0.324877,0.338126,0.305637,0.292456,0.499182,0.494870,0.330765,0.322592,0.314773,0.001462,0.320641,0.323530,0.252550,0.226784,0.605720,0.563177,0.543987,0.300913,0.451241,0.364643,0.428319,0.438916,0.434800,0.439622,0.429349,0.463510,0.449304,0.336601,0.316627,0.333405,0.376656,0.334079,0.527248,0.382061,0.656568,0.649665,0.388890,0.408490,0.324255,0.435473,0.290131,0.297647,0.290507,0.302156,0.284085,0.304295,0.308538,0.335193,0.317965,0.303111,0.288548,0.320613,0.318496,0.303066,0.319019,0.313563,0.316080,0.305731,0.317762,0.311826,0.267329,0.315335,0.301778,0.317247,0.307863,0.297228,0.310458,0.290653,0.295733,0.318120,0.327323,0.404869,0.302987,0.632871,0.396990,0.423226,0.401812,0.402299,0.398704,0.405722,0.411701,0.320193,0.284260,0.452347,0.418935,0.446598,0.437132,0.377451,0.436471,0.570548,0.454637,0.284417,0.273903,0.275809,0.197082,0.203134,0.154210,0.182460,-0.013027,-0.039037,-0.020381,-0.029779,-0.039032,-0.036253,-0.033752,-0.021421,-0.025991,-0.027257,0.033040,0.033263,-0.012526,-0.026788,-0.054250,0.028953,0.032465,0.010566
8,3.635583,3.668088,2.738915,3.640269,4.519754,4.506209,3.888678,3.878660,3.926595,3.899506,3.906401,3.799469,3.793325,2.757177,2.962374,2.939258,2.822056,3.894300,2.820519,3.552380,4.801159,2.614045,2.621906,0.694343,0.725189,1.102253,0.635457,0.805950,0.113960,0.126889,0.007665,-0.001645,0.003286,0.128522,0.017475,0.007957,0.011976,0.001512,0.029227,0.049673,0.067649,0.757268,0.071085,0.629214,0.628722,0.671147,0.068407,0.083424,0.068034,0.074662,0.100018,0.807580,0.834030,0.703547,0.707874,0.580313,0.708222,0.687048,0.691831,0.135225,0.111228,0.039095,0.126014,0.140367,0.121729,0.135167,0.138777,0.114826,0.132136,0.021573,0.006092,0.005119,0.034201,0.031217,-0.014890,0.088441,-0.033428,-0.026002,-0.018472,0.067193,0.028031,0.086997,0.110495,0.049981,0.052940,0.106585,0.104022,0.077523,-0.006544,-0.018970,-0.032978,-0.030660,-0.019272,-0.023827,-0.007029,0.058920,0.059603,0.068317,-0.013242,0.050166,0.051371,0.046706,0.045869,0.057899,0.025501,-0.003754,-0.011821,0.059203,0.032217,0.042286,0.019528,0.023878,-0.027162,-0.035764,0.062018,0.061168,0.039774,-0.010880,0.010920,0.024716,0.035583,0.052548,0.055522,0.038561,0.036888,0.023515,0.058262,0.046241,0.047009,0.055950,0.011666,0.056242,0.039213,0.064414,0.042279,0.047602,0.000246,0.050369,0.044888,0.042974,0.049269,0.060900,0.015451,-0.025188,-0.014629,-0.029013,0.057085,0.048232,0.055798,0.045798
9,4.409213,2.774368,3.938834,3.156173,3.193200,4.640489,3.042790,2.426987,1.713299,1.697858,1.717015,1.537468,1.691119,1.682046,1.786250,0.181355,0.142079,0.069987,0.148260,0.182686,0.169234,0.069043,0.067054,0.083680,0.063106,0.102098,0.110414,0.237909,0.216771,0.212283,0.221814,0.211933,0.391100,0.362406,0.240075,0.215373,0.214139,0.425066,0.443042,0.188290,0.162549,0.182494,0.190623,0.164994,0.153662,0.176227,0.130776,0.368301,0.316944,0.134395,0.128162,0.132415,0.168871,0.107123,0.130824,0.129456,0.122554,0.289898,0.272683,0.277562,0.313548,0.262335,0.170563,0.129734,0.120521,0.111620,0.282684,0.276908,0.295985,0.284375,0.259826,0.286009,0.282958,0.307801,0.368139,0.358677,0.295611,0.291822,0.200153,0.204706,0.233828,0.206814,0.236542,0.141922,0.122662,0.143991,0.135215,0.128623,0.161470,0.130830,0.046330,0.063553,0.057883,0.160282,0.153655,0.167842,0.083222,0.162343,0.151074,0.166415,0.159213,0.177903,0.150891,0.166582,0.182409,0.151056,0.167732,0.190025,0.165450,0.164992,0.113115,0.113773,0.020001,0.012999,0.022847,0.002967,0.079768,-0.012256,0.012819,-0.000853,0.001587,-0.017546,0.023669,0.014419,0.006181,-0.014331,0.004939,0.001803,0.020303,0.000934,0.002811,0.055013,0.006677,0.032594,0.044054,0.046760,-0.002780,0.083123,0.060840,0.063892,0.021808,0.045158,-0.013785,0.076898,0.052909,0.049639,0.045325,0.138297,0.162869,0.163370
10,3.608399,2.326330,2.181114,3.058088,3.015132,2.500993,2.562739,2.585612,2.596649,2.544837,2.645141,2.575937,2.509984,2.611610,2.474370,0.622505,2.516972,2.534205,2.531802,2.494515,2.523853,2.525158,2.720518,2.514236,0.621795,0.529973,0.524320,0.536447,0.548739,0.600505,0.618253,0.515091,0.614312,0.615505,0.602227,0.634692,0.622683,0.470168,0.481666,0.501808,0.485377,0.471415,0.570504,0.460724,0.469286,0.489546,0.562508,0.600609,0.581406,0.582124,0.545428,0.638099,0.548721,0.498179,0.517492,0.532751,0.470217,0.404522,0.157048,0.174076,0.121743,0.105959,0.072385,0.066793,0.087543,0.088102,0.078298,0.065968,0.069980,0.043880,0.268338,0.118713,0.062823,-0.012838,0.077522,-0.044521,0.051122,-0.033323,0.099579,0.047647,0.105579,0.035630,0.052339,0.077890,0.101159,0.040735,0.071421,0.047038,0.054070,0.046891,0.002467,0.010174,0.004155,-0.011145,-0.002435,-0.012064,0.017931,0.007833,-0.011026,0.001121,0.004924,0.014596,0.007943,0.085225,0.019333,0.024316,0.073578,0.109943,0.078843,0.101714,0.104715,0.101242,0.069647,0.031114,0.072267,0.061840,0.057508,0.045018,-0.018865,-0.009177,0.002689,0.040970,0.073770,0.036223,0.051895,0.052354,0.054775,0.057864,0.053924,0.026666,0.039055,0.094430,0.144704,0.055763,0.093180,0.099709,0.118277,0.104616,0.090880,0.114521,0.101182,0.108636,0.099630,0.109989,0.093448,0.089941,0.098153,0.083376,0.115888,0.100997
11,5.230889,2.792644,2.766453,4.304767,4.313728,2.944694,3.179710,3.461369,3.477725,3.329505,2.708322,2.600031,2.569319,3.493679,2.553228,2.581774,2.452796,2.329796,0.772452,0.643420,0.625325,0.648885,0.617719,0.640376,0.631570,0.613178,0.650576,0.623945,0.630088,0.589287,0.650728,0.583907,0.610271,0.628601,0.174708,0.135498,0.165769,0.379273,0.159478,0.100210,0.097623,0.208016,0.129663,0.130312,0.132327,0.133210,0.142732,0.143334,0.150758,0.139888,0.110477,0.123727,0.142002,0.079615,0.087883,0.088823,0.135324,0.149764,0.157069,0.115913,0.085582,0.131561,0.171840,0.150865,0.153905,0.146478,0.031460,0.037303,0.040415,0.027346,0.041924,0.045834,0.019951,0.040377,0.052432,0.021786,0.064488,0.019092,0.036037,0.052065,0.111124,0.034627,0.031270,0.048166,0.041917,0.042970,0.029270,0.056143,0.043345,0.063161,0.021808,0.056232,0.062272,-0.002901,0.005971,0.001861,-0.002522,-0.014819,0.002928,0.000679,0.005002,0.001281,-0.000726,0.075605,0.069692,0.074426,0.068537,0.037332,0.052230,0.067312,0.058675,0.092595,0.076593,0.068362,0.062720,0.061246,0.088199,0.078563,0.152418,0.055678,0.059792,0.124476,0.079580,0.067275,0.115226,0.066077,0.052293,0.068143,0.083164,0.049530,0.079848,0.050094,0.060997,0.089679,0.091482,0.074521,0.059082,0.081130,0.068147,0.064202,0.044183,0.034545,0.062709,0.058310,0.068282,0.073403,0.098875,0.079186,0.099738,0.072789
12,2.213716,1.739506,2.101984,2.230945,2.024037,2.006778,1.854126,1.934771,1.964641,1.938909,0.202163,0.215434,0.254628,0.143499,0.134463,0.156986,0.139952,0.060180,0.055737,0.055137,0.056342,0.121316,0.138378,0.138810,0.127208,0.147770,0.045208,0.096021,0.082817,0.084445,0.107551,0.084479,0.096019,0.086640,0.105115,0.089168,0.080806,0.137881,0.144815,-0.009190,0.007425,0.036792,0.028732,0.047255,0.081912,0.155809,0.045293,0.095315,0.060973,0.076486,0.084244,-0.022119,0.013321,0.027412,0.020774,0.104233,0.036790,0.095701,0.075107,0.092830,0.100229,0.026413,0.037134,0.024235,0.038172,0.139042,0.114455,0.095265,0.062300,0.055301,0.052869,0.060047,0.079360,0.070093,0.074494,0.064672,0.069490,0.082967,0.047311,0.007800,-0.015628,0.018776,0.003386,-0.021908,-0.017214,0.002659,0.016094,-0.009969,0.018427,0.006086,-0.000691,0.061738,0.020401,0.034315,-0.014034,0.119485,0.015668,0.034554,0.021324,0.026811,0.020685,0.031753,0.036253,0.012291,0.007368,0.009556,0.014599,0.047019,0.008400,0.035974,0.010727,0.044286,0.024794,0.014748,0.037407,0.033394,0.041588,0.045851,0.027275,0.022101,0.042338,0.004223,0.028891,0.027256,0.077069,0.016046,0.016683,0.002878,0.093889,0.125836,0.078970,0.072385,0.050633,-0.015933,0.011407,-0.009546,-0.005314,0.009031,-0.008680,0.056358,-0.016579,0.012199,-0.021173,-0.027945,0.005708,-0.013553,-0.000778,-0.016096,0.015276,0.000194
13,2.995961,2.719879,2.571225,2.956480,2.915209,2.174379,2.899888,2.150575,2.205727,2.177039,2.175928,2.169125,2.165950,2.185836,1.938886,2.481202,2.486020,2.505483,1.985458,1.283986,1.282521,1.276875,1.284391,1.296988,1.469636,1.293398,1.263392,1.494017,1.593806,1.589275,1.617551,1.597375,1.423547,1.637534,1.540670,1.602307,0.029933,0.020355,0.038371,0.148183,0.201614,0.064844,0.067842,0.018392,0.057543,0.021957,0.020188,0.086782,0.078788,-0.011916,-0.005877,0.043245,0.066610,0.100587,0.125032,0.025631,-0.006436,0.060324,0.045091,0.036355,0.057203,0.042667,0.030287,0.087978,0.040433,0.027741,-0.005143,0.057592,0.052380,0.040104,0.050214,0.065035,0.052180,0.050724,0.062893,0.043506,0.054370,0.061113,0.058069,0.055322,0.044685,0.009535,0.000299,0.015309,-0.010066,0.015710,-0.002960,0.004211,-0.012001,-0.027323,0.009238,0.005839,0.011250,0.013733,0.011586,0.009368,-0.034798,-0.026763,-0.030600,0.015843,-0.012797,-0.004674,-0.023592,-0.025701,0.004532,-0.022127,0.000064,0.064362,0.074872,0.044582,0.078872,0.042976,0.056523,0.057941,0.038412,0.045507,0.039579,0.028091,0.040326,0.012989,0.012003,0.005636,0.064963,0.027381,0.049034,0.086961,0.044162,0.084088,0.069028,0.061594,0.049486,-0.018267,0.024590,0.003181,0.018331,0.014292,-0.008205,-0.009496,0.030106,0.013488,0.059626,0.012105,0.045802,0.032520,0.050283,0.021705,0.028094,-0.003856,0.028065,0.024781
14,2.288892,2.876870,4.545574,3.405736,3.058955,3.034425,1.926773,1.921443,1.928969,1.835017,1.920656,1.931132,1.941400,1.791952,1.809199,1.860557,0.192371,0.129012,0.180348,1.713306,1.758729,1.774466,1.772828,0.264656,0.141273,0.050841,0.067659,0.157346,0.100905,0.167863,0.359349,0.191826,0.155984,0.040335,0.162259,0.603566,0.622694,0.488059,0.475106,0.482446,0.609657,0.584719,0.608872,0.620225,0.165665,0.172070,0.183451,0.630738,0.179524,0.188680,0.176340,0.209385,0.167447,0.177057,0.194932,0.187398,0.185479,0.177743,0.193981,0.190261,0.168163,0.192700,0.189035,0.183102,0.186318,0.191977,0.189871,0.193698,0.164554,0.170802,0.164337,0.182128,0.186007,0.198326,0.160559,0.181388,0.198625,0.179128,0.782988,0.179904,0.205188,0.171897,0.169650,0.165730,0.161519,0.197009,0.188050,0.109605,0.114614,0.143442,0.101809,0.102908,0.156027,0.066585,0.052416,0.062519,0.062349,0.064206,0.111460,0.108734,0.133298,0.169275,0.677352,0.681079,0.053416,0.056516,0.061116,0.084058,0.057620,0.066218,0.066385,0.053078,0.065923,0.066435,0.154093,0.165249,0.150869,0.065268,0.010578,-0.013131,-0.004083,0.008101,0.010525,0.014281,0.020495,0.010006,0.010188,-0.004657,0.002279,-0.002986,-0.006956,0.011843,-0.010495,0.018113,0.022468,-0.007447,0.004242,-0.010512,0.020404,-0.010509,0.056157,0.012026,-0.007851,0.005895,0.018488,0.017673,-0.009734,0.031024,-0.008833,0.000492
15,0.731144,0.067207,0.022387,0.027755,0.225112,0.653771,0.023145,0.036458,0.092043,0.016770,0.061410,0.063872,0.066759,0.096380,0.093447,0.021904,0.090365,0.080574,0.044809,0.043549,0.079755,0.042370,0.024710,0.018775,-0.003999,-0.005646,-0.013395,-0.028866,0.081261,-0.006675,-0.000940,0.093576,0.088493,0.108246,0.063543,0.036306,0.035007,0.035044,0.029368,0.039827,0.097238,0.105242,0.027068,0.077657,0.127200,0.087942,0.130819,0.112375,0.102862,0.096284,0.107038,0.115944,0.093452,0.088111,0.097689,0.126023,0.100948,0.095765,0.100515,0.078609,0.084679,0.096380,0.097424,0.107879,0.092697,0.116924,0.119554,0.100471,0.131002,0.095429,0.089185,0.093996,0.075615,0.079950,0.129636,0.123692,0.108744,0.110258,0.130598,0.130699,0.097332,0.103037,0.112018,0.115540,0.133312,0.108880,0.083510,0.081375,0.059033,0.106416,0.105378,0.093261,0.132503,0.100077,0.099817,0.109467,0.095964,0.117482,0.120027,0.113361,0.114020,0.110007,0.114366,0.103578,0.088383,0.084385,0.090013,0.088283,0.062387,0.062797,0.064651,0.096327,0.066784,0.092293,0.084297,-0.001482,0.017855,0.056194,0.049694,0.101876,0.097609,0.076393,0.087322,0.094515,0.018995,0.032879,0.044420,0.091168,0.073372,0.031606,0.053202,0.057283,-0.003478,0.015869,-0.009256,0.024727,0.014177,0.160887,0.170470,0.156575,0.156122,0.005786,0.017036,0.010335,-0.010604,0.193129,0.196140,0.165933,0.197182,0.179191
