Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,4.082982,4.092687,1.595862,2.751046,1.592020,2.740000,2.506076,2.415550,2.417291,2.860055,2.402031,2.393838,2.630438,1.107341,1.099892,1.107202,1.101704,1.075871,0.664503,0.494828,0.337356,0.332566,0.344654,0.318163,0.210667,0.120612,0.144638,0.137327,0.150047,0.136749,0.138008,0.128846,0.171570,0.024993,0.027604,0.040873,0.039303,0.054363,0.030203,0.044655,0.033241,0.039074,0.052077,0.078773,0.071135,0.076030,0.070528,0.050959,0.068732,0.093830,0.064155,0.076544,0.073644,0.053650,0.069862,0.066674,0.080548,0.068820,0.079723,0.082387,0.046150,0.076418,0.079687,0.069383,0.090015,0.057559,0.063270,0.076650,0.082364,0.080440,0.068288,0.064945,0.093082,0.075171,0.058635,0.050324,0.014365,-0.024636,0.044455,0.004220,0.060243,0.057528,0.004034,0.061231,0.037764,0.046808,0.036691,0.054032,0.035030,0.043070,0.000620,0.008231,0.047041,0.046204,0.036299,-0.049775,-0.060606,-0.067838,-0.042139,-0.051967,-0.059300,-0.032471,-0.046169,-0.057587,-0.034905,-0.057389,-0.027465,-0.054265,-0.047267,-0.025580,-0.053664,-0.030333,-0.047213,-0.036850,-0.052814,-0.039918,-0.046584,-0.043336,-0.047684,-0.045844,-0.042165,-0.041139,-0.056834,-0.024812,-0.049087,-0.042220,-0.031788,-0.045873,-0.048154,-0.060968,-0.021764,-0.074067,-0.039464,-0.056816,-0.049301,-0.022872,-0.054760,-0.045723,-0.027464,-0.054760,-0.047088,-0.036241,-0.069866,-0.021294,-0.047019,-0.069438,-0.021210,-0.026924,-0.046519,-0.046651
1,3.656581,4.079837,0.995039,1.127217,0.616694,0.269396,0.962779,0.979375,0.270385,0.269082,0.256363,0.286753,0.279733,0.132983,0.139121,0.135027,0.149099,0.159501,0.162443,0.102150,0.123086,0.134449,0.132688,0.120113,0.104904,0.091692,0.089393,0.062888,0.062016,0.072603,0.069432,0.006176,0.022130,0.012405,0.033144,-0.013729,0.039902,0.012831,0.012586,-0.013013,-0.064491,-0.040241,-0.050392,-0.039551,-0.007150,-0.054061,-0.060970,-0.053794,-0.071379,-0.043578,-0.045374,-0.064644,-0.048106,-0.034096,-0.047711,-0.038615,-0.046630,-0.037969,-0.050480,-0.059715,-0.021374,-0.044352,-0.065275,-0.038208,-0.056238,-0.046604,-0.016444,-0.033391,-0.045792,-0.059815,-0.044398,-0.034819,-0.065131,-0.041808,-0.057692,-0.021128,-0.022506,-0.060916,-0.046444,-0.039021,-0.029730,-0.043496,-0.018077,-0.042837,-0.031317,-0.050561,-0.023416,-0.040510,-0.063148,-0.039896,-0.027584,-0.044881,-0.039255,-0.048732,-0.038920,-0.038989,-0.005668,-0.047465,-0.048146,-0.032239,-0.046497,-0.054282,-0.039118,-0.061962,-0.037412,-0.055188,-0.046229,-0.044360,-0.038707,-0.060711,-0.044786,-0.043653,-0.038165,-0.020333,-0.049920,-0.019100,-0.070811,-0.041261,-0.044195,-0.057713,-0.050186,-0.043722,-0.034881,-0.064729,-0.035580,-0.033760,-0.050649,-0.056732,-0.052231,-0.027742,-0.043018,-0.030955,-0.060815,-0.049811,-0.051970,-0.034843,-0.042025,-0.045228,-0.033317,-0.024857,-0.051945,-0.031299,-0.063351,-0.050752,-0.065727,-0.041229,-0.063747,-0.052982,-0.025477,-0.062885
2,5.895442,4.087144,3.663397,3.659911,3.663571,3.310107,3.670985,1.067266,1.070962,0.970010,0.894981,0.861213,0.892013,0.901467,0.287895,0.192840,0.200065,0.147141,0.168021,0.203399,0.219904,0.161153,0.201304,0.170174,0.158499,0.160040,0.146795,0.143297,0.180520,0.182052,0.165262,0.137023,0.151270,0.151365,0.044845,0.060401,0.060990,0.060544,0.047195,0.068675,0.058182,0.042756,0.037890,0.053167,0.029573,0.062844,0.105395,0.094299,0.058174,0.060368,0.058725,0.062824,0.098883,0.114237,0.106080,0.090802,0.108973,0.095825,0.082279,0.080584,0.106672,0.048312,0.078214,0.065206,0.086480,0.110519,0.034169,0.056385,0.028323,0.069906,0.047184,0.109453,-0.004303,-0.029622,0.000178,-0.010434,-0.004634,-0.034838,-0.011139,-0.014411,0.003649,-0.010085,-0.008507,-0.036075,-0.019865,-0.001657,-0.007399,-0.006337,-0.010318,0.005562,-0.029090,-0.017781,0.007429,-0.012642,-0.000180,-0.007597,-0.003721,0.000821,-0.008875,-0.007743,0.014358,-0.008306,-0.012147,-0.008784,-0.007677,0.019747,-0.020922,0.012270,-0.009680,-0.005246,-0.014139,0.021351,-0.020621,-0.001711,0.003076,0.000453,-0.004777,0.001655,0.010121,0.024248,-0.019061,-0.004447,-0.008266,0.001543,-0.008989,-0.018592,0.007756,-0.006373,0.000484,0.002284,-0.034322,-0.003949,-0.002715,-0.003581,0.007265,-0.005772,0.008591,0.002473,-0.003838,-0.015616,-0.006720,0.039736,0.006891,-0.005880,-0.000836,0.002383,-0.010585,0.003432,-0.003916,0.004091
3,3.767824,2.248862,1.191227,1.023835,0.669166,0.535786,0.534406,0.538469,0.561249,0.489497,0.154278,0.524524,0.177255,0.128410,0.176397,0.220155,0.264410,0.257758,0.243825,0.134982,0.138655,0.091158,0.154953,0.249719,0.249253,0.186423,0.126675,0.074848,0.065031,0.093625,0.085870,0.066126,0.120755,0.092772,0.051994,0.102039,0.075246,0.081941,0.108921,0.102867,0.061043,0.049633,0.061643,0.076162,0.081089,0.051541,0.060399,0.063088,0.088678,0.030697,0.051609,0.119219,0.107210,0.064465,0.123948,0.051332,0.100066,0.057900,0.056170,0.042612,0.094567,0.086558,0.105655,0.063087,0.104287,0.089541,0.097760,0.117463,0.024654,0.024204,0.027199,0.044683,0.011444,0.043191,-0.006423,0.019981,0.045703,0.032734,0.030014,0.034989,-0.009641,0.028808,0.040104,-0.041821,-0.023781,-0.006358,-0.030791,0.036911,0.011355,0.037589,-0.020294,-0.011408,0.028799,-0.035327,0.024684,-0.035808,0.038311,0.025514,-0.028711,0.005662,0.055045,0.038595,0.016102,-0.014951,0.043043,0.029818,-0.011895,0.003864,0.026615,0.033611,-0.021017,0.022696,0.038812,-0.018714,0.013044,0.027033,0.009526,0.023689,0.034907,0.019018,-0.014981,0.022366,0.036444,0.015860,0.019415,0.046292,0.025265,0.039216,0.040885,-0.033280,0.030840,-0.015290,0.021083,0.026065,0.066992,-0.010482,0.011135,-0.029159,-0.013531,-0.026083,0.001090,-0.019349,0.046558,-0.009715,-0.024562,0.004343,-0.032234,0.019205,-0.026524,0.025678
4,3.393692,1.595473,1.612442,1.615473,1.815505,1.806398,1.546982,1.721265,1.544264,1.573653,1.251752,1.431465,1.438967,0.148777,0.135215,0.121415,0.120056,0.105415,0.119680,0.112071,0.117243,0.105953,0.106650,0.130437,0.098382,0.029683,0.052443,0.040241,0.028167,0.039468,0.026533,0.065218,0.033720,0.043367,0.038930,0.036790,-0.056087,-0.071258,-0.113126,-0.078497,-0.102867,-0.088281,-0.084455,-0.064754,-0.088474,-0.091031,-0.097010,-0.073177,-0.120707,-0.070944,-0.097616,-0.102036,-0.089220,-0.102519,-0.008463,-0.095327,-0.094095,-0.087755,-0.078448,-0.114530,-0.038541,-0.091133,-0.097022,-0.087525,-0.102751,-0.046410,-0.041883,-0.088360,-0.089924,-0.026023,-0.046820,-0.093880,-0.103924,-0.076718,-0.094767,-0.029164,-0.098192,-0.076747,-0.052816,-0.055950,-0.094158,-0.082284,-0.077118,-0.091335,-0.094545,-0.083219,-0.097211,-0.110147,-0.029732,-0.092858,-0.107100,-0.078676,-0.099489,-0.079396,-0.084809,-0.093745,-0.078208,-0.080088,-0.086251,-0.102227,-0.107935,-0.070609,-0.099136,-0.086932,-0.091336,-0.095821,-0.096993,-0.071663,-0.067059,-0.030052,-0.080732,-0.104250,-0.094376,-0.086425,-0.062575,-0.047637,-0.065522,-0.083338,-0.079685,-0.071325,-0.082447,-0.091562,-0.073504,-0.070797,-0.084428,-0.069523,-0.083137,-0.081641,-0.086730,-0.092990,-0.075462,-0.090756,-0.080696,-0.087920,-0.086458,-0.093855,-0.092609,-0.064971,-0.102604,-0.090140,-0.079496,-0.087762,-0.084296,-0.103641,-0.094579,-0.097573,-0.099112,-0.078288,-0.094958,-0.103460
5,5.100725,2.672737,2.655362,2.674740,2.649933,2.695289,3.191754,2.654786,2.441847,2.313974,2.342528,2.327480,0.493672,0.513111,0.512614,0.518745,0.537637,0.514832,0.516103,0.505172,0.504476,0.522906,0.520100,0.427001,0.420523,0.411865,0.428696,0.424951,0.439835,0.077626,0.049340,0.055165,0.039294,0.030354,-0.012195,0.026577,0.025517,0.010169,0.007649,0.017936,0.030567,0.017862,0.009764,0.035069,-0.002673,-0.010896,0.020641,0.004588,0.023021,0.011513,-0.000463,0.032182,0.001362,0.006515,0.018294,0.037988,0.020324,0.002021,-0.005415,0.002213,0.009459,0.005120,0.027269,0.020861,-0.006517,-0.002393,0.026070,-0.003867,0.015825,0.022010,0.027316,0.022222,0.029826,0.012809,0.032808,0.018040,0.028448,-0.003192,0.007972,0.019432,0.044808,0.001532,0.021497,-0.000577,0.005030,0.012100,-0.002362,0.010576,0.003806,0.031475,-0.009215,0.016414,0.021705,-0.001702,0.018796,0.002217,0.000893,-0.016848,0.008156,0.003215,0.015314,0.005147,-0.011597,-0.000953,0.018544,0.003150,0.015312,-0.004376,-0.009065,-0.001752,0.021106,0.013604,0.010641,0.025575,0.005212,0.019967,-0.002450,0.008469,0.018400,0.016065,0.039368,0.008638,0.015895,0.033554,-0.001325,0.035989,0.012721,-0.001596,0.028214,0.032809,0.024520,-0.000267,0.029171,0.007217,-0.000252,0.006129,0.023310,0.038335,-0.003733,0.028860,0.043980,0.009984,0.008091,0.028308,0.017352,0.013880,0.017091,0.023895,0.013903,0.013334
6,3.162495,2.896781,1.275555,1.252553,0.311718,0.335875,0.148528,0.161260,0.146212,0.171353,0.138681,-0.018611,-0.013116,-0.012119,-0.039926,-0.019275,0.046397,-0.016368,-0.033276,0.033785,0.035809,-0.005091,-0.016194,-0.032083,0.003728,0.024640,0.051902,-0.018711,0.039179,-0.020127,0.032665,0.051981,-0.016522,-0.028923,-0.011816,-0.015009,-0.007182,0.035536,0.035760,-0.042423,0.029757,0.014752,-0.026715,-0.118954,-0.103114,-0.016319,-0.122584,-0.095925,-0.071994,-0.004002,-0.110383,-0.078527,-0.028556,-0.115552,-0.028822,-0.095074,-0.021014,-0.092804,-0.107686,-0.055264,-0.003205,-0.130062,-0.085658,-0.042406,-0.088065,-0.026650,-0.105357,-0.033542,-0.103713,-0.013024,-0.041794,-0.033484,-0.103509,-0.005778,-0.112661,-0.010408,-0.054236,-0.026298,-0.025031,-0.001320,-0.043632,-0.007836,-0.041781,-0.112852,-0.105316,-0.091061,-0.013148,-0.096458,-0.026675,-0.085811,-0.094404,-0.111286,-0.021678,-0.046903,-0.030734,-0.084257,-0.033917,-0.033345,-0.039701,-0.090495,-0.047020,-0.066805,-0.001910,-0.085237,-0.111866,-0.045679,-0.094497,-0.078223,-0.104339,-0.089585,-0.098538,-0.087235,-0.082705,-0.086045,-0.083680,-0.103566,-0.102460,-0.080222,-0.086176,-0.100380,-0.116901,-0.088193,-0.087764,-0.095438,-0.100722,-0.110268,-0.099210,-0.089174,-0.100532,-0.104549,-0.074654,-0.087722,-0.101926,-0.101186,-0.087233,-0.106980,-0.103093,-0.096878,-0.095616,-0.100329,-0.098741,-0.105722,-0.097583,-0.106082,-0.099216,-0.103996,-0.101902,-0.081896,-0.095681,-0.095670
7,4.097727,2.662983,2.517323,0.260394,0.229571,0.369647,0.347732,0.216375,0.243817,0.249448,0.346917,0.122452,0.232881,0.342425,0.267365,0.123979,0.154111,0.113666,0.097948,0.101628,0.165831,0.135925,0.136992,0.137982,0.146278,0.102464,0.140393,0.121401,0.062634,0.126093,0.050525,0.092362,0.123628,0.135246,0.058159,0.125580,0.117452,0.112397,0.140216,0.117544,0.096484,0.102918,0.116023,0.133870,0.102481,0.103247,0.142145,0.111735,0.101994,0.092832,0.105614,0.102198,0.126726,0.117437,0.115526,0.116069,0.108936,0.113658,-0.030473,-0.006802,-0.013652,0.111844,0.118373,0.058545,0.120437,0.060336,0.016350,-0.016319,-0.006920,-0.011674,0.002083,0.008458,-0.015831,-0.016736,-0.038491,-0.003503,-0.007830,-0.019312,0.001464,-0.029382,-0.004904,-0.001254,0.077883,-0.014262,0.080812,0.058045,-0.022592,-0.030617,-0.009385,-0.000061,0.075308,-0.022209,-0.047106,-0.013008,-0.015374,0.004278,0.073443,0.005399,0.076109,-0.018140,0.053314,0.084630,-0.026803,0.035580,-0.005203,-0.030539,0.083117,0.099383,-0.017807,0.020195,-0.010071,0.064256,-0.026404,-0.001575,0.075850,-0.011426,-0.017764,-0.019239,0.063241,0.082068,-0.002017,-0.026826,0.006813,0.004291,-0.002395,-0.003881,-0.006335,0.075682,-0.013135,0.004099,-0.014720,-0.011380,0.088174,0.060925,0.060192,0.013294,-0.000150,0.009289,-0.005754,-0.022685,0.069047,0.059513,-0.014028,0.093655,0.026250,-0.004786,0.011981,-0.021646,0.014651,-0.005522
8,5.085826,5.085393,4.142689,5.119555,0.764386,0.762308,0.121034,0.121795,0.118767,0.130438,0.127619,0.141713,0.141222,0.127784,0.135372,0.128366,0.149227,0.136822,0.103212,0.141311,0.198951,0.182228,0.145163,0.148983,0.114113,0.164183,0.126512,0.026168,0.024737,0.018836,0.040134,0.034007,0.020802,0.031613,0.036111,0.047703,0.035865,0.037062,0.042169,0.041913,0.028387,0.037804,0.026577,0.020100,0.025693,0.040186,0.027099,0.035599,0.035230,0.039709,0.006542,0.111278,0.033065,0.049588,0.042203,-0.010255,0.034644,0.039715,0.018470,0.020746,-0.013713,0.132452,0.015861,0.001127,0.050749,0.073166,-0.008209,0.086118,0.084679,0.039862,0.063844,0.043716,0.050573,0.079278,0.059749,0.046667,0.064206,0.102540,-0.003111,0.084850,0.011742,0.094292,0.082000,0.119909,0.078872,0.079426,0.100330,0.001395,0.064502,0.086332,0.114240,0.093299,0.083487,0.051783,0.106125,0.104269,0.038288,0.075560,0.114361,0.079646,0.097120,0.036599,0.071270,0.023697,0.060730,0.039775,0.101420,0.083776,0.058015,0.071129,0.082273,0.044661,0.035595,0.099719,0.061820,0.063405,0.049540,0.087023,0.064306,-0.043414,0.072290,0.084565,0.009321,0.059353,-0.032314,-0.007446,0.014326,-0.011448,0.057486,0.087290,0.090108,0.038910,0.058488,0.071809,-0.042715,-0.005915,-0.047560,0.083528,-0.022426,-0.019208,0.068020,0.043078,-0.027263,0.045433,-0.007165,0.094831,0.069892,0.071446,-0.020822,-0.015087
9,4.075004,2.916629,3.645240,1.101078,0.982727,0.625970,0.128667,0.115106,0.140819,0.145476,0.139756,0.114966,0.151419,0.130381,0.131516,0.115340,0.135957,0.145207,0.127817,0.130322,0.094417,0.114411,0.122276,0.154074,0.128547,0.148611,0.222088,0.200788,0.088839,0.105397,0.071042,0.064091,0.067159,0.072535,0.068920,0.067160,0.092914,0.069407,0.072884,0.075947,0.092765,0.070482,0.062157,0.014843,0.020666,0.002996,-0.010721,-0.006483,-0.015481,-0.017874,-0.001907,-0.006325,-0.023392,-0.004474,-0.030247,-0.007064,-0.000075,0.021084,0.003496,-0.021428,-0.004294,-0.006199,-0.025016,-0.010043,0.001760,0.002300,-0.015997,-0.020678,-0.002893,-0.014234,-0.008837,0.011414,-0.015509,-0.013503,-0.005824,-0.016032,-0.027610,0.007022,-0.002544,0.013489,0.025361,0.009110,-0.010155,-0.030228,0.040989,-0.007526,-0.009256,-0.003244,-0.013101,0.000266,-0.008333,-0.020067,-0.001081,-0.007751,0.009806,-0.014824,0.020848,-0.021169,-0.009107,-0.001901,-0.006126,-0.007989,-0.024996,0.006117,-0.010939,-0.000506,-0.020532,-0.009231,-0.008099,-0.012545,-0.001290,-0.024154,0.005083,-0.014696,0.003723,-0.000284,-0.037431,-0.016786,-0.000258,-0.008177,-0.009257,0.003998,-0.040151,-0.023989,-0.024211,-0.016565,0.010932,-0.021857,-0.006692,-0.010682,-0.017701,-0.009169,-0.000929,-0.019208,-0.015195,-0.003482,-0.045501,-0.016630,-0.026120,-0.010403,-0.001484,-0.020021,-0.016028,-0.022700,-0.022992,-0.023304,-0.023859,0.005735,-0.004400,-0.017041
10,4.076340,3.601953,1.249893,0.911109,0.354700,0.251910,0.209290,0.233324,0.233504,0.071114,0.197282,0.237690,0.233217,0.183384,0.180991,0.325702,0.233017,0.228288,0.172709,0.164874,0.180747,0.187843,0.154865,0.162180,0.179175,0.181395,0.175298,0.134589,0.155061,0.082976,0.172864,0.165083,0.172798,0.095504,0.092073,0.098187,0.096776,0.092944,0.116911,0.047035,0.086427,0.101181,0.034459,0.098593,0.081139,0.094183,0.070887,0.040022,0.060455,0.079482,0.089195,0.036857,0.055741,0.004319,-0.004894,0.020171,0.006306,0.025080,0.032045,0.021086,0.007895,-0.002708,-0.000077,0.012559,0.003500,0.013776,-0.001182,0.007817,-0.010433,-0.006577,-0.009672,-0.007475,0.031483,0.010460,0.012607,-0.016546,0.006635,0.021263,0.057593,0.047292,-0.010054,-0.003952,-0.023527,0.004888,0.015097,-0.007114,0.001925,0.018308,0.011819,-0.025119,0.019345,0.052539,0.009611,0.024365,0.037854,0.014403,0.013981,0.068687,0.009014,0.044280,0.049746,0.061064,-0.007153,0.003529,0.003896,-0.000783,0.019731,0.018795,-0.007959,0.019147,0.021564,-0.003620,-0.018662,-0.001027,0.016833,-0.007908,0.008461,-0.007874,0.032199,0.019599,-0.004597,-0.019469,0.020298,0.010863,0.018042,0.016205,0.014407,0.010339,0.002477,0.019368,0.003365,-0.017035,-0.001183,0.005988,0.017775,-0.012455,-0.014140,0.011384,-0.012882,0.000137,0.019366,-0.020950,0.014738,0.019966,0.005746,-0.004300,0.023770,-0.001434,-0.009311,0.010101
11,3.250035,1.674772,1.684316,1.541421,1.531854,1.532111,0.987732,0.249600,0.215213,0.267702,0.234390,0.121832,-0.008885,-0.006612,-0.014479,-0.016658,0.005071,0.011365,-0.017279,0.012165,0.073400,0.044751,0.051108,0.059260,0.078832,0.057177,0.057873,0.024581,0.009930,0.048884,0.050635,0.046914,0.048359,-0.005692,0.062923,-0.013594,0.005635,0.062182,-0.011434,-0.009982,-0.000317,0.058851,0.042230,-0.020911,0.030717,0.000502,-0.016010,-0.009779,0.005260,-0.007013,-0.004514,-0.023162,0.061181,-0.003866,0.064196,-0.011191,-0.009206,0.027275,0.057932,-0.011492,-0.010234,0.002720,0.019757,0.005456,-0.001584,0.033282,-0.035592,-0.035920,-0.061280,-0.063747,-0.063341,-0.036930,-0.064875,-0.064815,-0.048487,-0.076005,-0.044669,-0.062932,-0.081194,-0.074972,-0.049031,-0.047857,-0.063557,-0.042972,-0.056852,-0.030296,-0.072493,-0.056296,-0.073569,-0.063668,-0.067097,-0.071488,-0.054247,-0.067585,-0.055905,-0.082511,-0.051456,-0.080525,-0.068767,-0.075206,-0.083750,-0.081784,-0.075506,-0.063522,-0.081639,-0.053102,-0.066533,-0.056927,-0.062433,-0.080306,-0.064750,-0.071565,-0.055445,-0.074430,-0.063609,-0.071590,-0.063617,-0.055041,-0.057010,-0.056456,-0.053011,-0.059691,-0.062123,-0.058095,-0.021310,-0.066778,-0.078173,-0.060162,-0.062847,-0.051822,-0.067182,-0.097156,-0.064861,-0.029739,-0.071002,-0.040292,-0.081282,-0.029322,-0.067048,-0.057957,-0.036467,-0.059186,-0.059704,-0.036852,-0.060458,-0.059591,-0.050134,-0.084174,-0.048497,-0.055018
12,3.923049,3.028791,3.071472,2.741249,3.025065,2.023597,0.174888,0.135451,0.266908,0.142056,0.260047,0.139188,0.154519,0.048344,0.141989,0.136776,0.105329,0.130729,0.127355,0.131270,0.051842,0.113284,0.072258,0.068203,0.055160,0.072068,0.158427,0.060715,0.067265,0.059240,0.076125,0.061334,0.064509,0.200273,0.148854,0.159172,0.172113,0.143442,0.133952,0.069178,0.076865,0.150149,0.105165,0.100171,0.151852,0.115803,0.113921,0.098054,0.095589,0.094928,0.039343,0.114856,0.112943,0.112962,0.102896,0.178222,0.122951,0.117940,0.104678,0.125071,0.115469,0.086896,0.112345,0.117619,0.115134,0.087183,0.067774,0.096321,0.105771,0.130422,0.108128,0.080283,0.058571,0.090190,0.104129,0.122529,0.110054,0.140886,0.091221,0.098471,0.071227,0.083532,-0.002581,-0.026853,-0.039221,0.057767,-0.039148,0.071463,-0.038021,0.058514,0.079578,0.080877,0.079810,0.087243,0.089234,0.076705,0.089732,0.093103,0.065528,-0.029394,-0.005686,0.073629,0.072474,0.083299,0.074421,0.112812,0.067389,0.079615,0.100609,0.100370,0.082279,0.076258,0.091397,0.090859,0.075013,0.083664,0.069160,0.087498,0.081975,0.092710,0.111818,0.111789,0.077807,0.091625,0.075755,0.085144,0.085503,0.095708,0.079280,0.078714,0.106116,0.091228,0.081047,0.089202,0.072281,0.095847,0.072298,0.085449,0.050902,0.050709,0.077174,0.094231,0.092815,0.076434,0.076991,0.075376,0.107985,0.073204,0.098434,0.105143
13,3.700200,3.547614,0.452316,0.104595,1.032619,1.006942,1.038464,0.091381,0.092144,0.222212,0.087831,0.082555,0.147152,0.141899,0.136871,0.047116,0.066846,0.145114,0.064574,0.149923,0.071974,0.046955,0.084986,0.061283,0.066969,0.130846,0.125905,0.075302,0.052695,0.077660,0.130724,0.082924,0.072943,0.073630,0.106060,0.078662,0.077550,0.113184,0.111000,0.106756,0.042990,0.093867,0.041028,0.062943,0.071905,0.119145,0.060924,0.090269,0.072316,0.117454,0.062295,0.098125,0.075133,0.092029,0.084263,0.031207,0.031381,0.041187,0.035759,0.043272,-0.031101,-0.014147,-0.004282,0.005047,-0.007974,-0.020805,-0.010947,0.022913,0.011918,0.006787,0.002404,-0.007800,-0.030608,-0.003693,-0.003232,-0.012612,-0.008134,-0.014731,0.022084,-0.001794,-0.027166,-0.009260,-0.002221,-0.014123,-0.012289,0.006191,-0.013648,-0.003592,0.000099,-0.016208,-0.013230,-0.020515,-0.013193,-0.025594,-0.011845,-0.012668,-0.005269,-0.019534,-0.021757,-0.010532,-0.006525,-0.008450,0.006164,-0.011707,0.012414,-0.002429,-0.006767,-0.015963,-0.007645,0.008585,-0.009257,-0.009797,-0.005189,-0.020764,-0.002081,-0.019530,0.000463,-0.020925,-0.012395,0.006736,-0.008139,-0.020079,-0.018607,0.001582,-0.002173,-0.010865,0.005678,0.000305,-0.014430,-0.005635,-0.018699,-0.008881,-0.015559,-0.009779,0.011318,-0.000701,-0.035227,-0.029804,0.000815,-0.039076,-0.013272,-0.033497,-0.013844,0.005725,-0.014345,-0.026130,-0.016774,-0.022911,0.005204,0.014652
14,6.165453,2.615140,2.133600,2.124132,0.271618,0.259076,0.316698,0.300881,0.157099,0.186961,0.134659,0.089844,0.073531,0.096753,0.088248,0.082243,0.117732,0.028948,0.054479,0.069368,0.045124,0.027877,0.020920,0.016548,0.008907,-0.007918,0.027768,0.039633,0.007067,0.017923,0.051181,0.036815,0.016248,0.015461,0.021775,0.006922,0.018095,0.012428,0.037837,0.036772,0.023609,0.023182,0.018964,0.034863,0.022369,0.002541,0.028194,0.032042,0.011262,0.022577,0.016220,0.013758,-0.035378,0.022265,0.021173,0.015697,0.040192,0.024281,0.017020,-0.012744,0.013888,0.034091,0.016942,0.009875,0.028393,0.050327,-0.011463,0.009131,0.019623,0.015600,-0.006436,-0.001199,0.008490,0.016227,0.015604,0.000765,0.000892,0.018453,-0.000220,-0.019742,0.028138,-0.007002,-0.004484,0.003523,0.015093,0.005105,0.012470,0.028916,0.053744,-0.025970,0.003847,-0.042784,-0.025724,-0.041289,-0.034344,-0.069865,-0.034972,-0.015224,-0.053733,-0.007064,-0.034583,-0.026344,-0.047238,-0.029659,-0.036697,-0.019179,-0.008757,-0.012246,-0.011403,-0.035338,-0.020495,-0.027417,-0.033708,-0.056520,-0.010549,-0.014494,-0.039864,-0.043586,-0.025482,-0.039830,-0.025289,-0.036307,0.022905,-0.032994,-0.051709,-0.033864,-0.027906,0.011579,0.016921,0.022426,-0.039315,-0.003720,-0.017323,0.028541,0.033255,-0.010664,-0.032445,-0.028489,-0.024778,-0.004964,-0.039251,-0.041894,-0.028246,-0.048739,-0.032565,-0.004616,-0.023263,-0.024678,-0.024883,-0.013327
15,4.993316,4.200608,3.321143,1.359111,0.711289,0.729115,0.265556,0.275735,0.289141,0.231741,0.257340,0.171369,0.152179,0.143560,0.050753,0.141430,0.063688,0.027839,0.059787,0.054098,0.063082,0.036366,-0.015005,0.029350,0.094489,0.044324,0.081836,0.084323,0.042465,-0.037281,0.000499,-0.000692,0.009091,-0.006974,-0.023880,-0.009241,0.004822,-0.009172,0.061785,0.061472,0.059367,-0.001244,0.058184,0.065507,0.077495,0.057552,0.044281,0.066536,0.061855,0.094872,0.000612,0.071201,0.056513,0.010784,-0.001781,0.075453,0.048310,-0.018789,-0.007645,-0.007227,-0.009649,-0.014424,0.005107,0.064225,0.001299,0.001993,0.002705,0.060593,0.012833,0.003536,-0.008791,0.022344,-0.010012,0.001422,0.030060,-0.013863,0.033487,-0.007438,0.001046,0.020378,-0.008831,0.020492,0.020739,-0.000728,-0.015137,0.013850,0.007418,0.012834,-0.015697,0.005397,0.005200,-0.005648,-0.027792,-0.005324,-0.036868,-0.015611,0.018332,0.003252,0.018622,0.012035,0.007872,0.002876,0.007230,-0.015003,0.001233,0.008571,-0.000617,-0.009374,0.007890,-0.012802,0.009305,-0.006142,0.029946,0.014194,0.001345,-0.012551,-0.031787,-0.012079,-0.014555,-0.008023,-0.001595,0.003337,0.024172,-0.005577,-0.028281,0.000615,0.013925,-0.012754,-0.010354,0.022526,0.010695,-0.022856,0.004404,-0.029449,-0.003301,-0.021296,0.000424,-0.006385,0.002444,0.006662,0.010328,-0.012083,0.004807,0.018278,-0.023180,-0.020880,0.000461,0.000434,-0.007187,0.014362
