Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,3.53304,3.759193,2.00375,1.378602,1.372584,1.556207,0.829534,1.407167,1.253852,0.895031,1.217625,0.771324,0.950756,1.197611,1.720066,0.829883,1.744473,1.566206,1.352461,1.642303,1.564703,0.715091,1.792803,1.315835,1.293905,1.513209,1.076169,1.118036,0.871999,0.566095,1.618563,1.188464,1.617579,1.01309,1.06159,1.037467,1.216006,1.51966,1.103918,1.573844,0.939141,1.024463,0.915439,0.963182,0.798901,1.012586,0.763116,1.268004,1.214089,1.25658,0.885635,0.740275,0.841489,0.88214,0.530547,1.247537,1.05865,0.765666,0.77521,0.780752,0.655112,0.630757,0.668146,0.305682,0.554168,0.86732,0.571122,0.884562,0.628029,0.801146,0.628391,0.277681,0.65725,0.66137,0.657598,0.891341,0.554222,1.085359,0.958042,0.735411,1.083097,1.147294,1.338619,0.749215,0.874074,0.576139,0.471832,1.07791,0.680802,0.545012,0.374745,0.843967,0.346554,0.31026,0.653251,0.477223,0.709269,0.858437,0.825165,0.364516,0.739583,0.316147,0.708112,0.667661,0.592255,0.870736,0.971027,0.602727,0.645775,0.559224,0.633847,0.042691,0.621731,0.343894,0.602612,0.976895,0.536983,0.514317,0.274935,0.360788,0.200853,0.61845,0.176741,0.673038,0.465024,0.264338,0.265971,0.271476,0.920312,0.814716,1.108559,0.753755,0.455487,0.839791,0.427561,0.579898,0.884745,0.288451,0.905882,0.61539,0.523138,0.498457,0.494229,,,,,,,
1,4.391092,1.171272,1.779942,1.253153,1.023675,0.867065,1.555314,1.304156,1.275762,1.034407,0.909556,0.931082,0.908281,1.277724,0.744069,1.448033,0.83259,0.618133,0.812118,0.974305,1.111146,0.67645,1.338131,0.629408,0.762859,0.36461,1.154427,0.376968,0.98409,0.987398,0.83504,0.791775,1.446629,0.949951,1.216355,0.830325,0.601283,0.704743,0.749006,0.767176,1.125125,0.736814,0.592761,0.634988,1.046486,0.746498,0.822487,1.161668,0.984151,0.788536,0.812415,0.95483,0.607463,1.378533,1.268419,1.007968,0.990277,0.979839,0.964703,0.564388,0.569642,0.653412,1.027981,0.923501,0.89261,0.900236,0.735295,0.83625,0.814697,0.645463,0.561896,0.623729,0.86319,0.501503,0.662909,0.803039,0.751023,0.50595,0.898824,1.015884,1.020896,0.888009,0.571217,1.022067,0.649036,0.822797,0.753599,0.767491,0.774445,1.055471,1.255647,1.112428,1.020437,1.184663,0.797363,1.110277,0.516841,0.660946,0.548076,0.683855,0.777052,0.869641,0.435526,0.774689,0.763798,0.345165,0.701265,0.955183,0.694999,0.965661,0.691304,0.717984,0.611594,0.772589,0.668932,0.45182,0.531797,0.863288,0.742643,0.70878,0.479374,0.452803,0.407287,0.537293,0.6809,0.810058,0.59594,0.670026,0.603715,0.376245,0.482565,0.617832,0.438389,0.546548,0.63393,0.459974,0.372196,0.743831,0.694149,0.400554,0.549916,0.634811,0.350689,,,,,,,
2,2.409336,1.102494,2.360442,1.832675,2.37185,1.647302,1.543294,1.981188,2.740577,1.654275,1.685596,1.560487,1.486431,1.701556,1.281321,1.177247,1.07323,1.818084,1.28113,1.297609,1.784681,1.326643,0.955798,1.541366,0.881791,1.204314,1.235415,2.079115,1.173614,1.668292,1.546566,1.196758,0.868777,1.40589,1.472879,1.21015,1.085969,1.176889,1.614773,0.804434,0.516184,1.064362,0.946752,1.17666,1.114366,1.099044,0.953024,0.895787,1.330755,1.119743,1.217642,0.929903,0.939933,0.734135,0.976529,1.166415,1.000787,0.84026,0.969204,1.253398,1.193821,0.970097,0.824648,1.291683,1.126493,0.779843,1.192929,0.979264,0.996425,0.921034,0.984048,1.377456,0.662697,0.978545,0.895725,1.301176,0.886195,0.850226,0.870495,0.881769,1.015147,0.663315,1.038276,0.65763,0.667932,1.004074,1.154959,0.801515,0.735872,0.881279,0.879954,0.74936,0.575566,0.915242,0.970639,0.921316,0.678701,0.957337,0.758326,0.747859,0.978636,0.649457,0.727474,0.713979,0.713415,0.730666,1.34337,0.740466,0.597058,0.660268,0.833204,0.702303,0.843863,0.634019,0.857659,0.656103,0.762444,0.836045,0.616621,0.824779,0.550958,0.839084,0.520252,0.725259,0.639825,0.762786,0.640675,0.721482,0.77751,0.681759,0.917041,0.772834,0.783328,0.597886,0.576319,0.513605,0.72903,0.529361,0.373671,0.571368,0.549177,0.843479,0.556665,,,,,,,
3,2.367398,1.092414,0.696607,1.537113,0.91781,1.201271,0.994199,0.349188,0.657675,0.750693,0.36199,1.293097,0.900254,1.098216,0.858341,1.340162,0.533029,1.199478,1.337558,1.1434,1.376677,1.159825,1.042615,0.811503,1.035304,0.819319,0.676361,1.023069,1.004253,1.148511,1.626716,1.098515,1.018718,1.766628,1.793155,1.032975,1.524166,1.506463,1.224093,0.689614,0.780541,0.55615,1.155171,0.830396,0.819946,0.98698,0.55481,0.33841,0.5401,0.693245,0.371916,0.447992,0.593056,0.468984,0.598537,0.51922,0.303988,0.345836,0.675606,0.719832,0.750979,0.46031,0.808574,0.482581,0.529636,0.998298,0.557224,0.502528,0.838229,1.022838,0.700817,0.739932,0.676426,0.557801,0.260308,0.486944,0.720501,0.365608,0.310987,0.341272,0.574256,0.391126,0.454186,0.43868,0.504123,0.393233,0.430688,0.367654,0.490565,0.23665,0.410679,0.414976,0.554475,0.211941,0.646044,0.779421,0.691675,0.494181,0.583417,0.384312,0.468749,0.656976,0.414124,0.617067,0.361636,0.4411,0.139498,0.130339,0.602284,0.524305,0.309607,0.139163,0.877363,0.554519,0.14196,0.489753,0.646882,0.607152,0.529157,0.999233,0.483371,1.036817,1.122807,1.170314,0.565696,0.977171,0.650819,0.535484,0.672116,0.555431,0.705462,1.158908,0.633479,0.708125,0.656402,0.383542,0.979244,0.503989,0.413529,0.504692,0.463595,0.447531,0.159353,,,,,,,
4,2.035386,1.377988,3.023289,3.144938,2.986039,1.445757,2.033535,1.635702,1.690107,2.237969,1.48986,1.786049,1.557489,1.959455,1.699109,1.383696,0.975236,0.881535,0.939491,0.950777,1.864866,1.179274,0.994133,1.113192,1.1019,0.845633,1.017352,0.991914,0.688532,1.075911,0.600036,0.827109,1.456956,1.244138,1.473922,1.157718,1.569992,0.892581,1.014482,1.410346,1.037458,1.217017,1.164883,1.117831,1.028839,1.126526,1.325337,1.281875,0.939695,0.93383,1.174667,1.175383,1.056149,1.260991,0.761363,1.00281,0.969369,0.921097,0.683953,1.056606,1.130905,0.758869,0.984489,0.986797,0.930662,0.79562,0.924749,0.697641,1.071573,0.76679,0.791142,0.892371,0.810144,0.746443,0.716264,0.565116,0.643089,0.86648,0.800143,1.417223,0.892215,0.799739,0.7712,0.70955,0.542466,0.599131,0.667895,0.548697,0.779817,0.443095,0.61092,0.61597,0.507544,0.487895,0.641075,0.619474,0.404571,0.599355,0.523043,0.50434,0.819458,0.368659,0.659416,0.560075,0.543549,0.872735,0.829615,0.678809,0.691684,0.548589,0.958135,0.613242,0.413565,0.565234,0.317759,0.323429,0.545014,0.335173,0.614657,0.490158,0.313594,0.361728,0.486392,0.493432,0.490081,0.530086,0.312333,0.457868,0.562867,0.564834,0.356432,0.4867,0.211376,0.503063,0.479097,0.496876,0.635679,0.640097,0.690344,0.78185,0.832134,0.4929,0.493523,,,,,,,
5,3.563998,5.419963,0.603325,1.683515,1.232267,1.872919,1.775107,1.617824,1.708238,1.265881,0.621,1.276348,0.93407,0.823753,1.306384,1.106155,0.856514,1.394913,0.678578,0.810184,0.517613,1.096463,1.153908,0.865991,0.641987,0.899917,0.832432,0.68158,0.994024,1.162823,1.241133,0.679669,0.490313,0.745887,1.029588,0.852389,0.664495,0.538549,0.880264,0.879071,0.806436,0.841917,0.961176,1.232512,0.89498,0.723229,0.867403,0.729864,1.124885,0.647837,0.837227,1.208418,1.189194,0.912703,0.895227,0.674245,1.42741,1.255767,1.237985,0.715411,1.033397,1.085489,0.503795,1.270058,0.554411,0.782895,0.931833,1.534756,1.23064,1.030501,1.133967,0.704041,0.608143,0.671821,0.815463,0.717387,0.863471,0.718806,1.037883,0.878221,0.679594,0.675473,0.474713,0.361891,0.386149,0.62422,0.756248,0.83921,0.416598,0.945766,0.626075,0.466568,0.526471,0.58052,0.870751,1.180991,0.6471,1.303457,1.162333,0.809652,0.406497,0.42479,0.890172,0.420509,0.809034,0.92992,0.937835,0.724839,0.801908,0.373009,0.402189,0.624414,0.634482,0.449643,0.470503,0.29273,0.418411,0.298562,0.525485,0.235227,0.409084,0.310012,0.29886,0.60865,0.253709,0.227783,0.50724,0.191239,0.518364,0.402371,0.436322,0.382103,0.480585,0.535439,0.66671,0.710285,0.454434,0.606065,0.863136,0.566698,0.671844,0.900662,0.790844,,,,,,,
6,3.109888,0.922155,1.795099,1.674111,2.327527,2.030313,1.676501,1.500163,1.172143,1.223224,1.325782,1.364156,0.618249,1.143071,1.232321,1.178807,1.269369,1.403284,1.011125,0.883881,1.175198,1.248376,1.201046,1.25363,1.068535,1.55238,0.720855,1.37813,1.014309,0.793135,1.067157,0.713706,0.752808,0.713768,0.616912,1.088508,0.724961,0.841035,0.692354,0.833396,1.208659,1.397109,1.021097,1.064994,0.75577,0.967909,0.837318,0.924083,0.618989,0.871395,0.775544,0.817558,0.699415,0.731213,0.755237,0.665288,0.577155,0.873601,0.952791,0.800957,0.852399,0.755301,0.906503,0.922563,0.883616,0.697237,0.8271,1.081971,0.658215,0.55889,0.703652,0.747249,0.804927,0.635726,0.754863,0.714966,0.6931,0.71249,0.69982,0.503074,0.621203,0.774387,1.012765,0.736945,0.591185,0.69152,0.828448,0.939258,0.876352,0.736149,0.778387,0.466882,0.625863,0.599057,0.530224,0.989798,0.5981,0.835119,0.984667,0.792867,0.831955,0.867103,0.781043,0.813569,0.694881,0.626995,0.809719,0.654991,0.61006,0.508843,0.51693,0.589427,0.746122,0.683163,0.611285,0.631919,0.460276,0.303444,0.825326,0.768692,1.022901,0.919685,0.733564,0.938844,0.885827,0.743782,0.584293,0.859503,0.825641,0.928942,0.688066,0.27346,0.668054,0.913367,0.773648,0.593489,0.652763,0.814268,0.840494,0.622965,0.679951,0.781693,0.825676,,,,,,,
7,4.913658,2.082331,1.068899,1.07673,0.465064,1.316746,0.974795,1.479226,2.159505,1.976002,0.852249,1.223096,1.216937,2.268907,1.623147,1.288653,0.804619,0.794152,0.693073,1.352357,0.72461,1.448819,0.771004,1.111584,0.780575,0.824607,0.564217,0.87216,1.553429,0.975953,0.811468,0.734601,0.895489,1.016357,1.053825,1.177633,0.827292,0.792639,0.570747,0.73032,1.068784,0.655078,0.638027,1.017512,0.785962,0.655546,1.040493,1.056204,0.472373,0.753266,0.876423,0.922784,0.511403,0.787347,0.600966,0.906793,1.173564,0.66986,0.661889,0.49171,0.835483,0.608769,0.84764,0.299244,0.317852,0.290883,0.728362,0.427804,0.497983,0.52545,0.611154,0.779712,0.890675,0.213383,0.233783,0.394946,0.356491,0.437313,0.746325,0.430471,0.330029,0.314447,0.339369,0.630012,0.45035,0.421826,0.893152,0.464903,0.601894,0.722639,0.832258,0.52576,0.82317,0.517733,0.36102,1.002316,0.69791,0.881025,0.731413,0.456496,0.552395,0.799718,0.484446,0.434537,0.581241,0.471208,0.903104,0.595122,0.605954,0.491862,0.444715,0.249478,0.633784,0.702945,0.836798,0.547741,0.686224,0.489006,0.638198,0.393744,0.584146,0.331772,0.384049,0.820726,0.632244,0.36258,0.500097,0.485516,0.517567,0.637486,0.471176,0.474822,0.648314,0.467725,0.41294,0.709621,0.676855,0.400649,0.632601,0.422246,0.422056,0.300321,0.264248,,,,,,,
8,3.497618,3.425531,1.828006,1.235112,1.181647,1.311227,1.7537,1.675784,1.68566,1.348143,1.462031,1.31661,1.553986,0.995374,1.706764,1.324819,1.110139,1.703763,1.123545,1.39994,1.068292,1.071314,1.254908,1.154714,0.814067,0.33914,1.644754,0.870493,1.38222,1.232665,1.506201,1.280195,1.235727,1.052328,1.229658,1.034779,0.990823,1.304549,0.656648,0.831767,1.090952,1.117529,0.860153,1.104939,0.861078,1.026699,0.962377,0.731413,1.00913,1.132759,1.182476,0.640107,0.54296,0.773127,0.690931,0.834268,0.952863,0.759199,0.755379,0.810312,0.718135,0.832819,0.634285,0.83915,0.668705,0.699016,0.866352,0.868944,0.689048,0.660927,0.625849,0.706139,0.610509,0.484239,0.109133,0.79487,0.834279,1.065521,0.833267,0.818267,0.551191,0.849988,1.008137,0.854076,0.277511,0.753668,0.600429,0.294894,0.635978,0.88971,0.590101,0.43868,0.385736,0.903995,0.457819,0.2815,0.655147,0.781358,0.728544,0.907244,1.012928,0.663186,0.637936,0.565775,0.657533,0.467193,0.490622,0.301095,0.41955,0.377765,0.304549,0.297068,0.418756,0.395297,0.800792,0.439611,0.571726,0.957292,0.29254,0.289391,0.751501,0.739316,0.518062,0.390037,0.691728,0.446058,0.516723,0.260853,0.273678,0.470051,0.29846,0.244734,0.327648,0.358627,0.337533,0.384672,0.288048,0.356693,0.223317,0.269311,0.258204,0.541043,0.368133,,,,,,,
9,3.385413,2.148603,1.661882,2.293947,1.415135,1.370695,1.455705,2.345839,1.448746,1.227345,1.889588,1.770184,1.150539,1.554739,1.646623,1.574029,1.3062,1.018389,0.605924,1.301528,0.768905,1.535527,0.964554,1.196921,1.077362,1.267465,1.3515,0.815688,1.241323,0.460597,0.659276,0.567012,1.088435,0.718634,0.686395,0.633378,0.787457,0.221455,0.832849,0.580282,0.435367,0.566376,0.73403,0.508506,0.856157,0.883457,0.802526,0.786935,0.777179,0.838111,0.816457,0.351742,0.930916,0.736995,0.875818,0.585481,1.245288,1.189989,0.998736,1.2695,0.899853,1.462423,0.913756,1.297971,0.533718,0.39894,0.687773,0.489137,0.240418,0.5541,0.652018,0.298353,0.883518,0.489916,0.54583,0.704452,0.68477,0.735,0.74031,0.54986,0.784187,0.715769,0.642268,0.626289,0.279078,0.627926,0.303325,0.811125,0.752618,0.519086,0.732663,0.799229,0.448071,0.746135,0.617006,0.630065,0.874878,0.425809,0.797125,0.711358,0.700056,1.000258,0.924998,1.005244,1.108925,0.809693,0.933974,1.259278,0.758967,0.753412,0.554352,1.007187,0.646483,0.883986,0.558331,0.697406,0.720998,0.884123,0.381955,0.672536,0.538242,0.758676,0.656041,0.717947,0.705462,0.164358,0.607909,0.625408,0.844777,0.327971,0.945861,0.368246,0.336923,0.981568,0.45843,0.809524,1.024532,1.164085,0.783771,0.799585,0.642129,0.942473,0.607606,,,,,,,
10,4.763147,1.881221,1.561586,0.989315,1.251752,1.239965,0.745917,1.240126,0.795523,1.143299,0.987142,0.550099,0.957509,1.218217,0.64808,0.605426,0.915226,0.889233,0.694334,1.573066,0.937691,1.224225,0.671348,0.772557,1.098168,0.817043,0.431766,0.738124,0.668271,0.96349,0.883139,1.021563,1.252909,0.798057,0.990071,0.607704,0.681442,0.807154,0.69662,0.642933,0.682101,0.808394,0.345412,0.742904,0.907983,1.186526,0.704773,0.401346,1.061168,0.597892,0.41241,0.125124,0.863576,0.532379,0.537218,0.888975,0.469144,0.368475,0.487414,0.176511,0.344694,0.360491,0.728778,0.421555,0.623676,0.546904,0.477693,0.27202,0.569495,0.302538,0.322854,0.532642,0.315801,0.82435,0.614784,0.750691,0.574973,0.82499,0.439728,0.553243,0.164007,0.63671,0.292662,0.340834,0.503693,0.636556,0.354018,0.416499,0.466286,0.220031,0.336784,0.577624,0.211878,0.681858,0.675308,0.303856,0.312523,0.233635,0.228908,0.347184,0.67544,0.274092,0.341898,0.473977,0.466849,0.29003,0.257645,0.323863,0.155838,0.46571,0.627702,0.34516,0.80442,0.189757,0.331081,0.421552,0.300597,0.292183,0.156781,0.565918,0.437818,0.305088,0.611346,0.442353,0.53498,0.771631,0.332621,0.398555,0.744148,0.185465,0.362494,0.051288,0.456732,0.480293,0.151963,0.207669,0.658822,0.268559,0.15419,0.239597,0.290985,0.321058,0.281349,,,,,,,
11,3.314723,2.55537,3.471597,1.092022,2.291547,1.286756,1.251346,1.148911,1.180998,1.553142,0.55081,0.661675,1.302594,1.748387,1.92988,1.852154,2.177471,1.169898,1.437095,1.581105,1.465618,1.252121,1.139294,0.72613,0.871423,0.790795,0.462943,0.890707,1.00624,1.231514,0.546833,0.883798,1.057127,0.846501,0.69684,0.883284,0.588695,0.932009,0.561453,0.923608,0.79853,0.774907,0.761062,1.129973,0.889602,0.899751,0.628652,0.381322,0.686306,0.723584,0.470288,0.365402,0.850493,0.996356,0.830784,0.670582,0.807378,0.96337,1.022727,0.911745,0.68103,0.665481,0.68409,0.950991,0.764899,0.442056,0.97799,0.962677,0.828294,1.191553,0.913986,0.850248,0.632521,0.986647,0.890192,0.949222,0.870654,0.870999,0.790236,0.785591,1.067632,0.430123,0.436198,0.615977,0.55681,0.577609,0.867638,0.477443,0.673556,0.449381,0.543492,0.988255,0.515902,0.597162,0.300608,0.502649,0.495225,0.663551,0.362676,0.721324,0.485613,0.339838,0.517961,0.683436,0.826923,0.695031,0.817983,0.820826,1.00026,0.570496,0.676289,0.592749,0.712218,0.79381,0.655882,0.493393,0.238813,0.552524,0.509522,0.578405,0.686303,0.206873,0.551689,0.776637,0.411617,0.317587,0.446285,0.680304,0.255626,0.572353,0.558117,0.389147,0.454106,0.6503,0.492291,0.693223,0.483405,0.601825,0.644007,0.476398,0.368054,0.394757,0.500385,,,,,,,
