Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.554720,1.577289,1.162708,-0.108214,-0.106822,-0.069720,-0.054173,-0.033442,-0.061482,-0.078225,-0.093209,-0.014827,-0.003999,0.047457,0.002450,-0.032126,-0.070800,-0.004908,0.022138,-0.109494,0.021476,-0.093142,-0.007768,0.010015,0.011510,0.047393,0.008757,0.031898,0.007217,-0.075006,0.006344,0.025454,-0.093643,-0.058706,-0.105690,-0.085696,-0.079514,-0.074730,-0.057226,-0.077421,-0.105532,-0.060265,-0.055110,-0.069707,-0.057538,-0.091554,-0.059869,-0.067282,-0.082220,-0.058609,-0.071704,-0.090138,-0.072903,-0.099778,-0.057818,-0.070285,-0.055610,-0.058798,-0.086346,-0.044937,-0.078485,-0.057227,-0.062799,-0.086746,-0.082136,-0.076367,-0.068415,-0.061364,-0.077285,-0.062057,-0.108027,-0.101736,-0.065367,-0.075257,-0.083899,-0.077301,-0.099054,-0.056343,-0.067126,-0.073292,-0.046407,-0.073301,-0.081030,-0.061114,-0.072889,-0.098426,-0.040720,-0.056733,-0.080829,-0.086181,-0.055147,-0.075208,-0.075660,-0.098771,-0.055180,-0.079312,-0.068001,-0.109295,-0.082747,-0.053196,-0.110868,-0.087862,-0.083696,-0.077184,-0.066585,-0.054347,-0.067968,-0.083396,-0.073245,-0.075429,-0.074889,-0.125341,-0.043869,0.029114,-0.076554,-0.058119,-0.077443,-0.069209,-0.033248,-0.083998,-0.052817,-0.039861,-0.104674,-0.042070,-0.017743,-0.025713,-0.041933,-0.030230,-0.027514,-0.073005,-0.068922,-0.070984,-0.048440,-0.047523,0.004857,-0.037174,-0.058377,-0.041658,-0.038744,-0.060319,-0.037089,-0.234169,-0.270510,-0.255493,-0.242548,-0.247400,-0.215282,-0.250668,-0.202707,-0.249537
1,0.938198,0.477287,0.254499,0.513669,0.246672,0.264320,0.270453,0.255987,0.264418,0.182435,0.159925,0.084458,0.093263,0.078349,0.288673,0.101664,0.080475,0.078473,0.101958,0.092439,0.088790,-0.264066,-0.251676,-0.254394,-0.126704,-0.109359,-0.137540,-0.094181,-0.133262,-0.096070,-0.155522,-0.115827,-0.116194,-0.112372,-0.111618,-0.138147,-0.120739,-0.098382,-0.152421,-0.101206,-0.128521,-0.157035,-0.103994,-0.149799,-0.118545,-0.101460,-0.137588,-0.141343,-0.140629,-0.078670,-0.095838,-0.107533,-0.137377,-0.114026,-0.126268,-0.114107,-0.250669,-0.093436,-0.103581,-0.091278,-0.253304,-0.251296,-0.276503,-0.134930,-0.120439,-0.266029,-0.150331,-0.137078,-0.157707,-0.129259,-0.118056,-0.085565,-0.150965,-0.122193,-0.110223,-0.126940,-0.143185,-0.116933,-0.096181,-0.124922,-0.139324,-0.123097,-0.118580,-0.097683,-0.088277,-0.260498,-0.116744,-0.138815,-0.091266,-0.078623,-0.116184,-0.229174,-0.133747,-0.084562,-0.117410,-0.224095,-0.127860,-0.107807,-0.146564,-0.254149,-0.251162,-0.156517,-0.233341,-0.091041,-0.119064,-0.290026,-0.167726,-0.127865,-0.112166,-0.169678,0.002954,-0.020990,-0.108288,0.011005,-0.172956,-0.123879,-0.117351,0.008963,-0.042710,-0.263346,0.027500,-0.058907,-0.090513,-0.010452,-0.015128,-0.250826,-0.106687,-0.135862,-0.272651,-0.253756,-0.088997,-0.169900,-0.257084,0.023714,-0.280590,-0.173341,-0.014175,-0.248851,-0.245723,-0.248855,-0.290762,-0.228621,-0.270635,-0.254019,-0.245932,0.030095,-0.275801,-0.224937,-0.025891,-0.251569
2,0.287623,5.354029,0.283835,0.292589,1.075217,0.436819,0.292414,0.299319,0.299718,0.276084,0.193202,0.163278,0.159307,0.175120,0.165109,0.170579,0.173756,0.168752,0.132065,0.109961,0.162544,0.117174,0.155150,0.126742,0.140786,0.137770,0.150028,0.109621,0.097004,0.105585,0.076123,0.086511,0.049811,0.075818,0.049158,0.040646,0.073069,0.027350,-0.031623,-0.011279,-0.012303,-0.016284,-0.039806,0.003725,-0.042455,-0.053139,-0.031682,-0.036061,-0.063315,-0.026464,-0.044089,-0.080689,0.001385,-0.049301,-0.016457,-0.055433,0.018175,-0.018460,-0.016560,-0.006253,-0.052030,-0.024036,-0.064956,-0.073716,-0.038997,-0.018911,-0.077195,-0.039815,-0.001060,-0.033209,-0.052834,-0.056017,-0.038830,-0.016022,-0.028901,-0.016253,-0.028221,-0.017953,-0.017587,0.020360,-0.020460,-0.037521,0.008289,-0.062696,0.021556,-0.040687,-0.035281,-0.052478,-0.041254,-0.044023,-0.046249,-0.048253,-0.024880,-0.020278,-0.058906,-0.065307,-0.048448,-0.048217,-0.045261,-0.034321,0.025565,-0.000399,-0.025746,-0.025665,-0.014143,0.018003,0.007743,0.016018,0.004546,-0.039556,0.000360,-0.029398,-0.046906,-0.050585,-0.185728,-0.170401,-0.160736,-0.152875,-0.137656,-0.122125,-0.200985,-0.172181,-0.248744,-0.238019,-0.162290,-0.275807,-0.247413,-0.249439,-0.244033,-0.240050,-0.236657,-0.233924,-0.000134,-0.259352,-0.238632,-0.251339,-0.227427,-0.273559,-0.005388,-0.221362,-0.221116,-0.248231,-0.252598,-0.239194,-0.245571,-0.245179,-0.255665,-0.264166,-0.254152,-0.226677
3,1.784509,1.763021,1.893274,1.905054,0.519025,0.504932,0.448187,0.495930,0.482868,0.508894,0.527343,0.486553,0.511490,0.525734,0.497372,0.508816,0.475260,0.400492,0.384310,0.382509,0.343875,0.392143,0.374948,0.373006,0.382005,0.396123,0.363434,0.426107,0.365764,0.399416,0.412454,0.374135,0.388364,0.008787,-0.021727,0.005072,-0.013501,-0.027480,-0.017261,-0.044661,0.030754,-0.033566,0.011482,-0.008087,-0.037837,-0.023761,-0.009336,-0.021421,0.019325,-0.019974,-0.034393,-0.042149,-0.000470,-0.051387,-0.010750,0.004005,0.007394,-0.130124,-0.132776,-0.157314,-0.198004,-0.182117,-0.191847,-0.170720,-0.164171,-0.182465,-0.171373,-0.174517,-0.178084,-0.202722,-0.203098,-0.185758,-0.183212,-0.170659,-0.202772,-0.182895,-0.172540,-0.181865,-0.224529,-0.201305,-0.189475,-0.157102,-0.143652,-0.171045,-0.215176,-0.189552,-0.166831,-0.172135,-0.161932,-0.179065,-0.190532,-0.176020,-0.150080,-0.174913,-0.187165,-0.180782,-0.194809,-0.172885,-0.170785,-0.187108,-0.215510,-0.192836,-0.213448,-0.172390,-0.170505,-0.162319,-0.166917,-0.195704,-0.216103,-0.212887,-0.185421,-0.173623,-0.185743,-0.188557,-0.175207,-0.152428,-0.199485,-0.173814,-0.189370,-0.172196,-0.200984,-0.171213,-0.154449,-0.189775,-0.168071,-0.191522,-0.176257,-0.192938,-0.218828,-0.143629,-0.187176,-0.145096,-0.180413,-0.194956,-0.186632,-0.141640,-0.206199,-0.225211,-0.192019,-0.265934,-0.170423,-0.170410,-0.156465,-0.210782,-0.187106,-0.167664,-0.154339,-0.194315,-0.171052,-0.175714
4,3.554596,3.520649,1.647067,1.675790,0.385377,0.362786,0.367784,0.032118,0.072894,0.091210,0.067935,0.074275,0.028380,0.023896,0.076245,0.084366,0.041708,0.091803,0.109521,-0.093166,-0.114158,-0.137457,-0.115070,-0.098074,0.057824,-0.114448,-0.123870,-0.117867,0.094652,-0.145476,-0.132587,-0.078511,-0.106203,-0.112970,-0.119279,-0.105639,-0.136989,-0.127261,-0.134082,-0.118314,-0.113837,-0.102042,-0.126043,-0.093249,-0.133468,-0.109954,-0.067474,-0.137967,-0.124873,-0.116080,-0.100847,-0.142212,-0.094612,-0.114769,-0.104609,-0.095834,-0.109482,-0.112373,-0.100796,-0.136531,-0.095906,-0.136105,-0.129816,-0.145960,-0.166455,-0.133540,-0.115551,-0.156593,-0.126503,-0.121972,-0.123608,-0.138517,-0.113139,-0.115926,-0.127747,-0.121029,-0.169318,-0.114594,-0.104629,-0.096699,-0.091930,-0.089967,-0.119976,-0.152458,-0.122348,-0.116380,-0.111174,-0.119394,-0.130535,-0.088201,-0.100314,-0.110493,-0.136046,-0.128391,-0.088255,-0.111096,-0.127253,-0.122078,-0.133127,-0.083905,-0.146631,-0.076342,-0.115497,-0.106236,-0.118919,-0.120631,-0.106674,-0.118482,-0.145215,-0.089089,-0.077287,-0.076174,-0.118472,-0.095337,-0.075817,-0.118728,-0.104768,-0.112539,-0.127178,-0.103572,-0.120916,-0.111558,-0.156769,-0.112418,-0.101672,-0.083798,-0.104674,-0.118482,-0.130358,-0.089492,-0.140952,-0.101570,-0.085092,-0.102672,-0.126665,-0.048535,-0.127292,-0.134336,-0.117302,-0.121096,-0.115282,-0.105402,-0.127017,-0.099512,-0.122088,-0.100156,-0.084993,-0.111568,-0.112704,-0.096908
5,3.616065,1.256125,1.272341,1.578043,0.061996,0.092991,0.113160,0.081413,0.567217,0.557125,0.499113,0.478994,0.481559,0.483744,0.471706,0.539729,0.197023,-0.045878,-0.058812,-0.030759,-0.037067,-0.009948,-0.044622,-0.033744,-0.059062,0.201393,0.158301,0.141424,-0.066229,-0.079015,-0.093221,-0.116826,-0.142732,-0.094466,-0.092846,-0.094774,-0.094135,-0.101149,-0.117161,-0.090051,-0.094671,-0.068972,-0.088442,-0.106413,-0.105240,-0.087377,-0.085561,-0.094850,-0.090722,-0.090375,-0.091218,-0.106996,-0.072395,-0.064490,-0.132164,-0.084403,-0.050258,-0.115352,-0.086321,-0.050726,-0.097006,-0.092034,-0.049123,-0.078281,-0.081726,-0.156130,-0.082287,-0.176458,-0.150511,-0.168457,-0.130080,-0.128563,-0.093872,-0.123401,-0.100371,-0.101638,-0.163488,-0.143264,-0.132282,-0.138890,-0.135815,-0.126886,-0.090504,-0.167654,-0.146924,-0.091646,-0.098944,-0.126198,-0.103637,-0.121611,-0.114859,-0.147298,-0.141593,-0.139887,-0.115820,-0.162344,-0.176503,-0.119333,-0.132192,-0.123175,-0.108446,-0.147282,-0.116443,-0.142723,-0.121260,-0.132531,-0.156867,-0.142703,-0.144387,-0.123520,-0.139827,-0.123125,-0.148034,-0.154301,-0.151715,-0.149353,-0.132742,-0.138282,-0.136498,-0.098393,-0.153561,-0.152412,-0.150635,-0.116451,-0.149539,-0.114167,-0.140809,-0.127464,-0.166197,-0.151039,-0.143869,-0.127283,-0.116325,-0.169296,-0.130657,-0.147714,-0.125764,-0.140492,-0.134878,-0.134337,-0.142282,-0.107601,-0.141735,-0.109981,-0.134184,-0.126666,-0.183751,-0.158206,-0.156646,-0.134626
6,0.750501,0.764455,1.300036,1.076563,0.871297,0.733714,0.887878,0.693759,0.566412,0.588635,0.364757,0.382742,0.482711,0.012633,-0.015927,0.058391,0.048966,0.005461,-0.212945,-0.190143,-0.251830,-0.186187,-0.203119,-0.209971,-0.192946,-0.200782,-0.182765,-0.187076,-0.229630,-0.164160,-0.195783,-0.209295,-0.208154,-0.224394,-0.224046,-0.222417,-0.187180,-0.208271,-0.189419,-0.235776,-0.192008,-0.212448,-0.173731,-0.167613,-0.202126,-0.219131,-0.131564,-0.197380,-0.207868,-0.161267,-0.229823,-0.214447,-0.179710,-0.221952,-0.208015,-0.200021,-0.226967,-0.231043,-0.209780,-0.200234,-0.162584,-0.202168,-0.224785,-0.285270,-0.255945,-0.221834,-0.275570,-0.214462,-0.282599,-0.250539,-0.268003,-0.249128,-0.189703,-0.252433,-0.207358,-0.181224,-0.249444,-0.260038,-0.180605,-0.186068,-0.241072,-0.185278,-0.193490,-0.274481,-0.267357,-0.236690,-0.253095,-0.240429,-0.280469,-0.260571,-0.256332,-0.233576,-0.255540,-0.279154,-0.246717,-0.284089,-0.209210,-0.261828,-0.217236,-0.240147,-0.266840,-0.268078,-0.292187,-0.207709,-0.262931,-0.240957,-0.257635,-0.241491,-0.220649,-0.264699,-0.199504,-0.247191,-0.223769,-0.284355,-0.241460,-0.257601,-0.234525,-0.285316,-0.265912,-0.249859,-0.265582,-0.245172,-0.255828,-0.267220,-0.248499,-0.302701,-0.248659,-0.230114,-0.256733,-0.266048,-0.288652,-0.285812,-0.279039,-0.231173,-0.222992,-0.255458,-0.253770,-0.209086,-0.251577,-0.239756,-0.289060,-0.223925,-0.210743,-0.221902,-0.204105,-0.209602,-0.180560,-0.202332,-0.216874,-0.251926
7,3.626591,1.710142,1.699838,1.695584,0.135244,0.109543,0.120715,0.287762,0.310142,0.297868,0.280206,0.285352,0.291072,0.302449,0.299682,0.960551,0.973237,0.935236,0.328997,0.297942,0.233746,0.233684,0.291430,0.221451,0.229646,0.227050,0.228079,0.196955,0.220437,0.204221,0.111959,0.093732,0.105926,0.081669,0.059805,0.064185,0.066796,0.070658,0.000595,0.058484,0.055135,0.124613,0.050715,0.079744,0.042414,0.069267,0.091024,0.027704,0.108930,0.078110,0.053873,0.062417,0.051802,0.053881,0.063523,0.059192,0.048556,0.081370,0.059078,0.054156,0.074870,0.086464,0.055946,0.069443,0.099060,0.080578,0.079978,0.053703,0.067713,0.066940,0.045320,0.105839,0.097297,0.110592,0.076088,0.058588,0.016439,0.067499,0.104131,-0.018747,-0.012652,0.016154,-0.049583,-0.026166,0.008345,0.037599,0.003852,-0.044104,0.218345,-0.031523,0.191107,-0.057749,0.254112,-0.031480,-0.021152,-0.071858,-0.052810,-0.015608,-0.034859,0.093938,-0.013996,-0.032310,-0.023868,-0.040613,-0.015873,-0.025128,-0.047605,-0.006753,-0.021370,-0.008695,-0.027952,-0.034223,-0.015131,-0.023191,-0.003758,-0.014899,0.020767,-0.040366,0.069230,0.037688,0.060252,0.048694,0.063528,0.054601,-0.263978,-0.256301,-0.239568,-0.240573,-0.245994,-0.206976,-0.243845,-0.231862,-0.248688,-0.244458,-0.242984,-0.249297,-0.237059,-0.265439,-0.218018,-0.251638,-0.240512,-0.223575,-0.220232,-0.244513,-0.235480,-0.286745,-0.273520,-0.233095,-0.246001,-0.252190
8,1.553415,1.563457,1.539727,1.857974,0.467677,0.492663,0.475835,0.459580,0.492237,0.472000,0.477198,0.124788,0.118825,0.162248,0.152432,0.123030,0.175405,0.095006,0.132562,0.115949,0.064508,0.034573,0.033668,-0.010834,-0.173080,-0.196570,-0.168569,-0.154667,-0.163633,-0.133280,-0.195335,-0.148929,-0.174095,-0.092004,-0.159638,-0.170469,-0.165596,-0.156486,-0.155260,-0.185354,-0.092099,-0.126226,-0.184290,-0.191342,-0.181378,-0.055392,-0.146615,-0.148578,-0.101800,-0.175650,-0.060405,-0.047521,-0.165188,-0.070760,-0.072468,-0.042966,-0.046113,-0.064705,-0.039926,-0.068799,-0.063806,-0.102889,-0.204615,-0.235337,-0.251065,-0.209249,-0.228273,-0.097541,-0.051316,-0.051461,-0.127713,-0.063469,-0.052519,-0.056060,-0.066031,-0.079892,-0.073895,-0.110970,-0.209522,-0.086192,-0.056362,-0.060057,-0.067207,-0.079166,-0.087515,-0.061074,-0.063191,-0.237216,-0.054334,-0.068888,-0.082633,-0.042015,-0.100314,-0.032458,-0.092875,-0.098666,-0.251103,-0.056767,-0.058100,-0.079374,-0.066841,-0.265609,-0.197085,-0.228578,-0.230793,-0.210161,-0.070303,-0.271425,-0.156244,-0.212555,-0.252982,-0.225473,-0.069933,-0.080421,-0.242134,-0.209169,-0.065043,-0.057355,-0.057076,-0.040843,-0.070614,-0.094391,-0.179768,-0.213921,-0.065577,-0.089376,-0.074227,-0.045421,-0.061769,-0.070157,-0.072260,-0.085553,-0.061929,-0.082216,-0.075041,-0.258409,-0.051859,-0.065816,-0.072990,-0.074958,-0.072183,-0.082048,-0.083760,-0.101928,-0.078161,-0.104798,-0.084343,-0.061828,-0.100180,-0.091987
9,0.790470,0.750118,0.765814,0.786587,0.749498,0.793014,0.605159,0.607195,0.610826,0.626562,0.633920,0.616401,0.643795,0.642922,0.594457,0.641188,0.623606,0.089190,0.017635,0.032282,0.185968,0.178924,0.067961,0.161475,0.044658,0.056385,0.055645,0.033725,0.024546,0.010230,-0.000574,0.061160,0.034580,-0.021276,0.071773,0.047657,0.026066,0.007044,0.022921,0.054437,0.033459,0.021820,0.029106,0.012932,0.035366,-0.068214,-0.008600,0.015569,-0.005484,0.009698,0.030584,-0.023326,-0.007987,0.014749,-0.017339,0.074454,-0.039932,0.023614,-0.020214,-0.073120,-0.057580,-0.082507,-0.054134,-0.080632,-0.062665,-0.080470,-0.056112,-0.080906,-0.050873,-0.063484,-0.075966,-0.069531,-0.063510,-0.047995,-0.085410,-0.094180,-0.050972,-0.053907,-0.012762,-0.042629,-0.040920,-0.060745,-0.095744,-0.061519,-0.045162,-0.056088,-0.075876,-0.087451,-0.026523,-0.060105,-0.035823,-0.031264,-0.074114,-0.058136,-0.054869,-0.082409,-0.068471,-0.041214,-0.066371,-0.073009,-0.037261,-0.093367,-0.054916,-0.089561,-0.069413,-0.096153,-0.051219,-0.033864,-0.028423,0.046309,-0.086186,-0.065935,-0.031669,-0.089046,-0.048558,-0.047744,-0.053767,-0.085605,-0.055838,-0.072959,-0.081440,-0.085755,-0.071557,-0.081058,-0.037335,-0.080160,-0.048177,-0.043141,-0.274858,-0.265315,-0.293725,-0.265911,-0.250832,-0.270755,-0.290770,-0.273431,-0.253710,-0.295452,-0.261548,-0.255383,-0.292148,-0.252972,-0.285378,-0.305553,-0.290058,-0.262620,-0.284070,-0.308744,-0.264885,-0.288222
10,0.516964,0.232520,0.254225,0.229129,0.539609,0.516036,0.528352,0.581648,0.065762,0.446536,0.446686,0.073331,0.226799,0.117138,0.115838,0.128727,0.123742,0.104950,0.086674,0.138642,0.118980,0.113263,0.072832,0.147012,0.111267,0.130457,0.078956,0.077402,0.064828,0.088388,0.107057,0.068409,0.047875,0.121280,0.138790,-0.013384,-0.255678,-0.222261,-0.281229,0.115092,0.119879,0.103896,0.119838,0.131657,0.105869,0.126577,-0.244637,-0.247974,-0.277629,-0.277660,-0.273405,-0.240484,-0.293331,-0.254095,-0.247748,-0.283145,-0.285046,-0.248268,-0.260949,-0.280771,-0.259585,-0.260425,-0.289393,-0.247937,-0.280095,-0.285921,-0.252679,-0.249255,0.003921,-0.281625,-0.263418,-0.259555,-0.266618,-0.266031,-0.329682,-0.258869,-0.239603,-0.261281,-0.284235,-0.246076,-0.261126,-0.255736,-0.253898,-0.281519,-0.254189,-0.283158,-0.262101,-0.279912,-0.268658,-0.307804,-0.241863,-0.251456,-0.261747,-0.292597,-0.270398,-0.255711,-0.283157,-0.244461,-0.284989,-0.271185,-0.254045,-0.250543,-0.254644,-0.269471,-0.270437,-0.284888,-0.263636,-0.250581,-0.264350,-0.258630,-0.285570,-0.232782,-0.256925,-0.262209,-0.276940,-0.268594,-0.244481,-0.253458,-0.278866,-0.253822,-0.253019,-0.272777,-0.281878,-0.274643,-0.312727,-0.289544,-0.262648,-0.237922,-0.256536,-0.247567,-0.308537,-0.284884,-0.267308,-0.281864,-0.270843,-0.050018,-0.257598,-0.260522,-0.243810,-0.018705,-0.227152,-0.254664,-0.221693,-0.263824,-0.246564,-0.233208,-0.276817,-0.203976,-0.253483,-0.243903
11,1.132220,1.121281,1.542353,1.528289,0.413846,0.421831,0.376031,0.406928,0.656298,0.750699,0.046149,0.037088,0.069174,0.069386,0.045936,0.064348,0.074154,-0.064247,-0.056359,-0.031623,-0.016425,-0.069121,-0.032712,-0.057997,-0.049389,-0.039374,-0.030987,-0.061166,-0.023694,-0.061396,-0.021203,-0.023742,-0.022337,-0.040786,-0.044571,-0.065573,0.056978,-0.033866,-0.037492,-0.056860,-0.035301,-0.043341,-0.060394,-0.052724,-0.025032,-0.035478,-0.063032,-0.039565,-0.030909,-0.059987,-0.047005,-0.078921,-0.057608,-0.055456,-0.011425,-0.038666,-0.061917,-0.048901,-0.052941,-0.209676,-0.260559,-0.224357,-0.213835,-0.192408,-0.252443,-0.231005,-0.233519,-0.235989,-0.268018,-0.202870,-0.225630,-0.239129,-0.245568,-0.229608,-0.239321,-0.201841,-0.211988,-0.238110,-0.223300,-0.218774,-0.240550,-0.043248,-0.229514,-0.225414,-0.202416,-0.204626,-0.254307,-0.069674,-0.231761,-0.246690,-0.199146,-0.182588,-0.197517,-0.215562,-0.211116,-0.221688,-0.204473,-0.219600,-0.248202,-0.243764,-0.232521,-0.239141,-0.212887,-0.227335,-0.224199,-0.198945,-0.223867,-0.234706,-0.188487,-0.231058,-0.199360,-0.200269,-0.230240,-0.224814,-0.241814,-0.195881,-0.210669,-0.211292,-0.214379,-0.222437,-0.244626,-0.245989,-0.204231,-0.245841,-0.203207,-0.209865,-0.217232,-0.206544,-0.226711,-0.233347,-0.236070,-0.236413,-0.215900,-0.224176,-0.257593,-0.224215,-0.246643,-0.214723,-0.209522,-0.173807,-0.239367,-0.229030,-0.207861,-0.232169,-0.262096,-0.228795,-0.229515,-0.200841,-0.237133,-0.204669
12,1.670177,1.111289,1.108622,1.642942,0.308573,0.297413,0.295957,0.296611,0.318833,0.314659,0.308954,0.328731,0.269801,0.292382,0.095407,0.086817,0.290455,0.306144,-0.100620,-0.083296,-0.103887,-0.078790,-0.075587,-0.065420,-0.046743,-0.096835,-0.110028,-0.084626,-0.111602,-0.097293,-0.076071,-0.126299,-0.110959,-0.068916,-0.091564,-0.065940,-0.043142,-0.084423,0.060118,-0.091278,-0.086548,-0.110827,0.008558,0.030189,-0.070441,-0.069920,-0.116127,-0.074117,-0.064012,-0.000959,-0.104773,-0.060214,-0.110380,-0.068157,-0.003413,-0.113418,-0.075022,-0.115216,-0.117445,-0.076468,-0.112602,0.000983,0.022986,0.045220,-0.025505,0.000821,-0.059485,-0.067565,-0.024152,-0.052544,0.013067,-0.022064,-0.018285,-0.081662,-0.131535,0.006590,0.009062,0.015163,0.004999,-0.113562,-0.020903,-0.093111,0.070626,0.002736,0.007154,-0.034181,-0.104703,0.018215,-0.035365,0.003324,-0.120168,-0.125917,-0.124250,-0.126049,0.029939,-0.113281,-0.126155,0.009489,-0.135480,0.033198,-0.069453,-0.126929,-0.132859,-0.078965,-0.083726,-0.129297,-0.088859,-0.103694,0.029686,-0.002176,-0.006062,-0.146454,0.008196,-0.104182,0.027322,-0.113984,0.020934,-0.073883,-0.077731,-0.119266,-0.077149,-0.159829,-0.100899,-0.102339,0.018187,-0.066086,-0.107635,-0.135746,-0.138025,-0.153823,-0.140024,-0.076385,-0.004926,-0.015179,-0.090651,-0.098127,-0.139770,-0.028614,0.019230,-0.066322,0.024960,-0.080778,-0.097513,-0.077907,-0.120549,0.005637,-0.014589,0.000080,-0.099627,-0.117635
13,1.166442,0.910622,0.907865,0.945455,0.873576,1.565902,0.384134,0.384657,0.378039,0.381380,0.130878,0.134087,0.097082,0.115234,0.095270,0.126161,0.079662,0.082881,0.112705,0.098605,0.156979,0.126157,0.114967,0.130139,0.100134,0.154706,0.112710,0.145693,0.145766,0.101634,0.166429,0.116110,0.140041,0.154548,0.055857,0.137137,0.018998,0.080806,0.007712,0.024704,0.097080,0.120052,0.084290,0.077079,0.031516,0.078287,0.059769,0.043190,0.046949,-0.008520,0.053493,0.128372,0.080889,0.062864,0.076756,0.062894,0.095910,0.132268,0.017767,0.062304,-0.010470,0.049315,0.069565,0.083257,0.062821,0.114371,-0.013821,0.033448,0.056418,0.091623,0.090279,0.049208,0.093974,0.107811,0.080536,0.073365,0.083490,0.133173,0.130519,0.050480,0.083500,0.084666,0.040404,0.014529,0.102082,0.053720,0.025963,0.024090,0.071467,0.104379,0.048517,0.105794,0.021775,0.120161,0.084297,0.121298,0.032366,0.074433,0.010928,0.053107,0.007658,0.047303,0.119994,0.002098,0.037491,0.086321,0.036191,0.097020,0.024762,0.090907,0.109802,0.058056,-0.002496,0.013434,0.119799,0.008239,0.015914,0.059685,0.040263,0.024016,0.026947,0.067848,0.086756,0.094225,0.070777,0.095295,0.036834,0.046931,0.056475,0.033509,0.073680,0.078686,0.035003,0.077789,0.025817,0.081897,0.072560,0.044872,0.092271,-0.005626,0.046195,0.106801,0.084169,0.079161,0.025749,0.088852,0.064251,0.040068,0.063577,0.033121
14,0.517050,0.907326,0.348361,0.307482,0.535354,0.325044,0.325871,1.031804,0.299428,0.326042,0.316600,0.332171,0.301504,0.303647,0.301152,0.588033,0.486531,0.348451,0.261668,0.316065,0.315527,0.264560,0.299454,0.330093,0.139543,0.082924,0.158176,0.111731,0.070883,0.077416,0.121842,0.105551,0.051527,0.121079,0.070956,0.076783,0.075318,0.037345,0.055976,0.085103,0.108427,0.137359,0.107737,0.089307,0.049662,0.088763,0.086098,0.055371,0.089042,0.085504,0.070574,0.252861,0.093851,0.038557,0.113733,0.120842,0.085115,0.069944,0.083820,0.081288,-0.142214,-0.136398,-0.124745,-0.150872,-0.124853,-0.123359,-0.131478,-0.125292,-0.122674,-0.129047,-0.114612,-0.106858,-0.132162,-0.144029,-0.164538,-0.113173,-0.149589,-0.139999,-0.086098,-0.137539,-0.154704,-0.125018,-0.169006,-0.128825,-0.121164,-0.125778,-0.161092,-0.187123,-0.143600,-0.142065,-0.122019,-0.117490,-0.152829,-0.115703,-0.153202,-0.113965,-0.149367,-0.133707,-0.169983,-0.139771,-0.139081,-0.161193,-0.139139,-0.136517,-0.119237,-0.136101,-0.131483,-0.140519,-0.144461,-0.154170,-0.141350,-0.096132,-0.125141,-0.114054,-0.147069,-0.112024,-0.106774,-0.126788,-0.152474,-0.151118,-0.141744,-0.128283,-0.103344,-0.066494,-0.128910,-0.145878,-0.165485,-0.107412,-0.133221,-0.121711,-0.119076,-0.116557,-0.139325,-0.117438,-0.116297,-0.140298,-0.116734,-0.149601,-0.105646,-0.111543,-0.122917,-0.116510,-0.160334,-0.156296,-0.145407,-0.138783,-0.138875,-0.130981,-0.137700,-0.135452
