Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,2.449989,2.904428,1.170622,1.918705,0.936129,1.452332,0.733176,0.796047,0.901027,1.137556,0.585095,0.67045,0.75063,0.588108,0.615417,0.540633,0.534327,0.698728,0.579004,0.657577,0.622558,0.455511,0.709953,0.695575,0.828477,0.862929,1.043183,0.786872,1.025445,0.517174,0.762201,0.618705,0.51285,0.567563,0.495706,0.767059,0.960861,0.625518,1.053826,0.9701,0.973802,0.970337,0.800336,0.725589,0.448273,0.387653,0.815509,0.62873,0.822862,0.482157,0.488132,0.490964,0.499937,0.834096,0.601051,0.643221,0.621294,0.602983,0.800985,0.654716,0.613004,0.589381,0.602026,0.823982,0.575712,0.478973,0.641511,0.604326,0.500294,0.394357,0.52801,0.565393,0.54349,0.544908,0.467441,0.487636,0.382588,0.468591,0.490502,0.224699,0.199939,0.136799,0.133176,0.1295,0.139017,0.16877,0.178202,0.181125,0.164141,0.170715,0.151419,0.207345,0.167712,0.143063,0.15773,0.18203,0.163699,0.214191,0.184437,0.148424,0.170933,0.164853,0.163953,0.060828,0.180577,0.171472,0.058069,0.078228,0.233436,0.058941,0.073473,0.084146,0.088871,0.085135,0.086195,0.081081,0.073119,0.082687,0.115328,0.061283,0.072698,0.091958,0.146527,0.122612,0.133489,0.140959,0.181854,0.182559,0.258255,0.163029,0.184515,0.128033,0.263719,0.172879,0.164533,0.176714,0.156802,0.203145,0.161022,0.154318,0.119036,0.209804,0.150542,0.22114,0.163401,0.174001,,,,
1,2.139158,2.635494,2.848417,0.577205,0.411662,0.341741,0.540894,1.113126,0.653724,0.464847,0.628579,0.415718,0.578086,0.393456,0.397543,0.428254,0.50881,0.728947,0.443566,0.390946,0.516633,0.560219,0.432819,0.708134,0.650607,0.503816,0.314479,0.435446,0.647654,0.646168,0.659733,0.67952,0.439778,0.405251,0.517822,0.573049,0.688934,0.784125,0.732419,0.499089,0.324876,0.259565,0.244325,0.222271,0.409781,0.425713,0.217816,0.260446,0.218916,0.235737,0.238358,0.241216,0.215651,0.237076,0.261059,0.294686,0.192917,0.208599,0.221005,0.233248,0.195726,0.165999,0.149875,0.162439,0.174004,0.173578,0.135503,0.186859,0.180377,0.160438,0.203184,0.226521,0.137178,0.235078,0.15992,0.289909,0.189064,0.183916,0.211972,0.173016,0.164683,0.193,0.190445,0.182673,0.174969,0.20867,0.32627,0.329991,0.268952,0.079213,0.018409,0.128663,0.00591,0.0318,0.006883,0.044895,0.034,0.012831,-0.011702,0.031141,0.030298,0.037283,0.028779,0.026104,0.029141,0.017071,0.01167,0.019019,0.022047,-0.004148,0.041293,0.028197,0.010324,-0.013149,0.037364,0.042734,0.277153,0.059078,0.102063,0.302508,0.216362,0.192555,0.321209,0.218394,0.023918,0.22504,0.207749,0.034179,0.126983,0.112128,0.099685,0.260082,0.245221,0.103609,0.102623,0.126161,0.122955,0.066716,0.094138,0.190717,0.090641,0.092389,0.110757,0.099184,0.085374,0.095908,,,,
2,2.400052,0.80005,1.371535,1.352808,1.383494,1.242817,0.966527,1.19509,1.244594,0.64701,0.720054,0.675489,0.573208,0.671828,0.618667,0.496627,0.423708,0.39614,0.771878,0.715303,0.643625,0.613442,0.661855,0.591205,0.506135,0.386706,0.567334,0.575891,0.536009,0.558619,0.518245,0.528699,0.54144,0.545466,0.261483,0.350644,0.441235,0.340821,0.402407,0.38304,0.572387,0.407237,0.414315,0.456644,0.429272,0.465461,0.417305,0.544184,0.426701,0.467222,0.510458,0.340184,0.453625,0.45086,0.363358,0.557577,0.538882,0.32864,0.568471,0.655483,0.519926,0.680359,0.391444,0.567537,0.418247,0.446959,0.56913,0.584999,0.572765,0.577594,0.504748,0.56377,0.526846,0.705017,0.582881,0.491765,0.576061,0.561001,0.616365,0.563534,0.553947,0.559582,0.489542,0.554539,0.581587,0.571798,0.475653,0.547824,0.463102,0.434643,0.486228,0.501944,0.540299,0.499392,0.522548,0.312997,0.281482,0.347258,0.473612,0.507858,0.394175,0.396605,0.49176,0.481853,0.52983,0.51454,0.539237,0.549134,0.498024,0.34283,0.412134,0.488147,0.406029,0.412269,0.275085,0.496954,0.216609,0.210378,0.339538,0.204517,0.276978,0.192221,0.357402,0.183072,0.191729,0.178178,0.367244,0.340161,0.34826,0.227678,0.373948,0.375654,0.265831,0.254468,0.264011,0.400796,0.403391,0.36276,0.284242,0.366666,0.278721,0.221471,0.19639,0.240589,0.227714,0.192547,,,,
3,4.212836,2.379787,1.458457,1.008342,2.026073,1.534559,1.498048,1.448847,1.010661,0.816676,0.902757,1.031894,0.891706,0.575492,0.940467,0.978373,0.823339,0.896649,0.574007,0.585589,0.262542,0.76225,0.476336,0.601137,0.699364,0.684918,0.403718,0.431158,0.34442,0.38743,0.563861,0.599865,0.375199,0.515567,0.604315,0.73962,0.904033,0.662696,0.643308,0.485997,0.437804,0.405121,0.458716,0.285394,0.3995,0.431149,0.415607,0.317027,0.478972,0.599974,0.709804,0.393537,0.660247,0.380687,0.789518,0.647959,1.026454,0.8153,0.410558,0.625078,0.648777,0.6483,0.65435,0.678162,0.544871,0.532598,0.501351,0.425858,0.570774,0.403439,0.427649,0.607416,0.383377,0.564169,0.437784,0.72602,0.63055,0.747153,0.468904,0.465709,0.451654,0.582956,0.493407,0.407292,0.501906,0.368807,0.467557,0.50788,0.701279,0.4026,0.510094,0.614181,0.601415,0.428276,0.42882,0.415581,0.410067,0.458236,0.512497,0.427643,0.477061,0.502457,0.386426,0.498133,0.416665,0.432221,0.410281,0.419593,0.474577,0.405484,0.426357,0.282219,0.384654,0.417106,0.407681,0.379333,0.361839,0.404356,0.360573,0.279581,0.441741,0.451125,0.331922,0.350601,0.452833,0.294099,0.243708,0.362093,0.436277,0.469451,0.231106,0.341398,0.336802,0.472804,0.382794,0.41264,0.172961,0.193221,0.36681,0.1963,0.17467,0.28551,0.284561,0.334783,0.325216,0.303888,,,,
4,1.719302,0.708208,0.837142,0.908374,0.665197,0.807004,0.379752,0.249101,1.017806,1.192339,1.10599,1.044502,1.075575,0.820511,1.050203,0.640709,0.731085,0.643135,0.700082,0.632576,0.623976,0.942189,0.641158,0.700371,0.798082,0.543451,0.440638,0.31356,0.585513,0.65295,0.832995,0.570932,0.619522,0.438146,0.588135,0.606558,0.708887,0.589651,0.491961,0.650872,0.708669,0.586693,0.43557,0.341319,0.592444,0.419073,0.598551,0.637005,0.610675,0.633792,0.673885,0.894876,0.913578,0.758186,0.893779,0.890606,0.840312,0.825834,0.839266,0.746594,0.892514,0.714828,0.677973,0.704393,0.73942,0.852209,0.71164,0.618518,0.702565,0.494984,0.847925,0.837731,0.705699,0.731194,0.823682,0.687712,0.657479,0.628767,0.855646,0.805981,0.56289,0.552391,0.569738,0.619513,0.620627,0.400686,0.403593,0.584895,0.35757,0.622095,0.640261,0.586008,0.594017,0.563478,0.568429,0.559587,0.319925,0.595808,0.606414,0.587558,0.411611,0.502958,0.618345,0.541114,0.530309,0.499827,0.540915,0.546032,0.587926,0.369818,0.633864,0.611723,0.586031,0.586301,0.390231,0.278259,0.357695,0.383918,0.346854,0.343773,0.533299,0.369113,0.16932,0.13111,0.172008,0.589903,0.522737,0.412738,0.362355,0.527833,0.331464,0.431341,0.437507,0.295069,0.381411,0.49311,0.214365,0.261496,0.248806,0.221575,0.230651,0.214633,0.15764,0.255378,0.152905,0.234973,,,,
5,4.090106,0.711646,1.154746,2.390331,1.402735,1.263497,1.18647,0.55776,0.276709,0.576682,0.457854,0.443903,0.726627,0.103905,0.375064,0.215331,0.292033,0.576588,0.080845,0.357424,0.189305,0.197393,0.242193,0.263874,0.253974,0.22716,0.178598,0.21076,0.232171,0.24318,0.193304,0.227234,0.215343,0.229093,0.180676,0.476102,0.320437,0.219087,0.088012,0.19652,0.08118,0.198663,0.213059,0.164433,0.228921,0.226814,0.289425,0.071024,0.211896,0.200177,0.078104,0.24814,0.253813,0.204737,0.207428,0.368609,0.181292,0.202367,0.052462,0.029293,0.050546,0.076761,0.06212,0.051317,0.145278,0.12247,0.055446,0.074029,0.02855,0.03692,0.068337,0.032236,0.061625,0.108053,0.120957,0.301271,0.327146,0.307861,0.347553,0.204599,0.185598,0.196953,0.33369,0.322065,0.340448,0.335715,0.316242,0.298584,0.332883,0.21498,0.326783,0.332004,0.328756,0.115686,0.322532,0.131625,0.368102,0.214394,0.119261,0.110234,0.124346,0.46607,0.187115,0.133988,0.014087,0.008417,0.021149,0.130081,-0.002404,0.018828,0.032077,-0.002586,0.025625,0.040788,0.018161,0.015327,-0.003881,0.002881,0.005788,-0.007573,0.02635,0.139925,0.064004,0.105421,0.000928,0.022459,0.011596,-0.005249,0.048361,0.105514,0.067721,0.028414,0.047332,0.042307,0.042349,0.059023,0.033293,0.080163,0.109464,0.080058,0.084564,0.09774,0.028927,0.058057,0.044529,0.057542,,,,
6,2.916243,1.391533,2.24079,2.083889,1.062841,0.937267,1.478488,1.199326,1.385087,0.555757,0.350678,1.36197,0.4004,0.80176,0.61664,0.569565,0.661866,0.542059,0.824818,0.56768,0.299339,0.306401,0.31836,0.35922,0.76645,0.262871,0.375181,0.398432,0.112313,0.17443,0.312548,0.118362,0.116752,0.064745,0.116233,0.679592,0.37128,0.394053,0.375483,0.178158,0.124756,0.16823,0.161771,0.166481,0.24909,0.159625,0.140066,0.104069,0.290373,0.186794,0.120678,0.124229,0.144091,0.142162,0.142553,0.144359,0.20097,0.179539,0.178397,0.193539,0.107673,0.089079,0.138159,0.163772,0.124723,0.173421,0.237834,0.186779,0.169383,0.199709,0.210116,0.136213,0.146444,0.197038,0.190952,0.108889,0.041965,0.100683,0.185597,0.098209,0.15588,0.124778,0.142602,0.089375,0.128564,0.113745,0.140572,0.245267,0.185969,0.131166,0.157881,0.125836,0.125239,0.119718,0.144757,0.139436,0.117302,0.154567,0.153278,0.178173,0.181778,0.175307,0.139162,0.119098,0.088307,0.124074,0.132395,0.119346,0.100349,0.152793,0.142475,0.121356,0.155387,0.115913,0.098661,0.157544,0.09208,0.107316,0.106864,0.117998,0.085246,0.148342,0.13176,0.12733,0.125026,0.172001,0.201812,0.179954,0.188587,0.171859,0.170182,0.176724,0.170575,0.170112,0.195622,0.182339,0.17882,0.16302,0.180319,0.172437,0.176018,0.202372,0.170635,0.183715,0.182637,0.166057,,,,
7,2.993936,0.519005,0.611378,0.935885,0.558039,0.529962,0.539024,0.642459,0.698768,0.646317,0.549174,0.663094,0.710906,0.778384,0.650583,0.765205,0.668223,0.327862,0.401421,0.270461,0.423992,0.448092,0.414752,0.547964,0.503791,0.58319,0.915715,0.676936,0.709308,0.62952,0.624641,0.685234,0.937642,0.991129,0.739243,0.727164,0.821298,0.502329,0.484445,0.440255,0.465294,0.423987,0.516368,0.423318,0.403634,0.304411,0.302455,0.296432,0.440914,0.331821,0.383815,0.353034,0.338266,0.235684,0.347096,0.444949,0.455994,0.472262,0.333906,0.455724,0.455629,0.429974,0.473048,0.402757,0.430878,0.457133,0.375087,0.42163,0.469493,0.452034,0.441905,0.432403,0.408171,0.474737,0.454646,0.409691,0.214953,0.393827,0.418888,0.438743,0.428392,0.423876,0.393354,0.427711,0.398442,0.413136,0.470427,0.411483,0.440146,0.308863,0.289098,0.386595,0.43686,0.433573,0.39577,0.328751,0.41296,0.432707,0.427532,0.411735,0.431307,0.452472,0.435703,0.429768,0.444288,0.439799,0.417632,0.402495,0.438407,0.4577,0.457252,0.422459,0.423679,0.457423,0.356826,0.429644,0.483931,0.325272,0.360478,0.293839,0.30639,0.456422,0.425868,0.31831,0.387933,0.441899,0.402908,0.399479,0.345562,0.440407,0.544833,0.546481,0.551933,0.552681,0.26697,0.37593,0.292439,0.304327,0.332382,0.342878,0.329664,0.362035,0.331667,0.304784,0.323654,0.287882,,,,
8,2.430108,0.816798,0.84939,0.886153,1.455733,0.794531,0.649417,1.150417,1.1786,0.438561,0.161054,0.391394,0.335628,0.317973,0.582008,0.409831,1.070821,1.11181,0.815134,1.054182,1.308831,0.978165,0.214359,0.256721,0.190809,0.339826,0.262331,0.358536,0.32635,0.265169,0.217055,0.130567,0.204651,0.098895,0.172889,0.203856,0.1691,0.3089,0.405308,0.17569,0.15314,0.176913,0.158162,0.170293,0.118929,0.220009,0.018025,0.133437,0.163536,0.38437,0.126193,0.561625,0.472698,0.432413,0.302527,0.65678,0.56592,0.550587,0.56121,0.520065,0.388565,0.587072,0.355325,0.125384,0.137203,0.25008,0.264363,0.287431,0.251667,0.263636,0.13238,0.159989,0.25115,0.261862,0.314712,0.236981,0.21254,0.222564,0.233657,0.247701,0.241279,0.212044,0.2295,0.234876,0.217895,0.243806,0.229768,0.237257,0.235116,0.245087,0.216014,0.34061,0.204713,0.192975,0.212599,0.24768,0.223336,0.204879,0.184602,0.342823,0.222177,0.19143,0.156231,0.129242,0.25546,0.242763,0.164446,0.333063,0.153559,0.147948,0.150251,0.143842,0.149692,0.168604,0.159241,0.291001,0.28866,0.101711,0.125657,0.246992,0.290204,0.18045,0.263075,0.222409,0.141636,0.108052,0.244461,0.235516,0.118346,0.092102,0.236332,0.224479,0.117131,0.219793,0.231029,0.2231,0.261682,0.589824,0.854734,0.792411,0.253421,0.22288,0.20593,0.257302,0.2244,0.216959,,,,
9,1.583734,0.709518,0.503509,0.209323,0.185917,0.496656,0.521274,0.449404,0.441578,0.398193,0.587351,0.549272,0.524352,0.507715,0.989484,0.616846,0.509277,0.808822,0.529543,0.692884,0.630289,1.131834,0.532394,0.486057,0.582914,0.676516,0.690574,0.40898,0.514258,0.492096,0.407284,0.138785,0.358927,0.364086,0.467797,0.402629,0.478266,0.586928,0.590325,0.588966,0.559642,0.700261,0.474018,0.551938,0.712164,0.680658,0.423945,0.61577,0.438132,0.723383,0.758932,0.474388,0.48422,0.660862,0.484671,0.344687,0.34976,0.353311,0.319917,0.347965,0.363389,0.349686,0.379134,0.332766,0.326558,0.379183,0.24644,0.339267,0.336111,0.319329,0.350799,0.346994,0.156692,0.261261,0.241824,0.107862,0.256176,0.15573,0.228962,0.062066,0.146915,0.130776,0.125745,0.110667,0.119616,0.125945,0.106523,0.125208,0.107397,0.117553,0.160189,0.15767,0.104701,0.173367,0.151123,0.150863,0.171762,0.169613,0.191655,0.213325,0.133446,0.115793,0.11777,0.114481,0.108456,0.113712,0.120712,0.106068,0.113372,0.130964,0.133633,0.120829,0.133047,0.132121,0.11712,0.103122,0.110238,0.112412,0.144446,0.110758,0.117518,0.1116,0.130437,0.251609,0.187954,0.096671,0.116253,0.100324,0.10003,0.113954,0.080833,0.106099,0.220796,0.09504,0.204326,0.201488,0.19217,0.198759,0.187607,0.191865,0.197172,0.152771,0.237203,0.209737,0.176589,0.203624,,,,
10,2.94757,0.54462,0.638298,0.544085,0.667953,0.613638,0.828417,0.702522,0.492579,0.639334,0.52153,0.75781,0.7436,0.698699,0.543047,0.45523,0.444159,0.527765,0.385401,0.314678,0.523329,0.736742,0.95168,0.644821,0.655609,0.69338,0.730146,0.759453,0.66511,0.603946,0.763817,0.979026,0.625435,0.647938,0.827394,0.716927,0.737918,0.6922,0.703111,0.623971,0.848774,0.779622,0.678109,0.70931,0.626828,0.795985,0.776947,0.647557,0.493172,0.599527,0.36172,0.506101,0.555715,0.504442,0.572294,0.460391,0.509414,0.441882,0.501981,0.467484,0.478325,0.528353,0.48594,0.51797,0.504895,0.479851,0.439957,0.428839,0.331088,0.423913,0.519899,0.43038,0.461885,0.544943,0.297214,0.317583,0.40717,0.484186,0.531878,0.484396,0.377764,0.855294,0.689225,0.650447,0.383183,0.506907,0.524666,0.356096,0.460503,0.505997,0.524488,0.417864,0.59977,0.432907,0.434241,0.507828,0.573472,0.573954,0.554074,0.263589,0.357901,0.590387,0.568702,0.579752,0.574226,0.225263,0.786653,0.591042,0.644711,0.680797,0.767132,0.638108,0.459009,0.330217,0.480966,0.461722,0.316338,0.453223,0.44255,0.41662,0.224956,0.465908,0.457922,0.414792,0.428421,0.426612,0.390464,0.415646,0.249066,0.062233,-0.02341,0.217597,0.022099,0.029107,0.0594,0.097263,0.11396,-0.001215,0.113613,0.080269,0.198571,0.13281,0.159338,0.116034,0.18725,0.123948,,,,
11,0.693519,1.737183,0.49979,1.216589,0.686033,0.688922,0.985816,1.016497,1.043252,0.748547,0.498937,0.961332,1.012905,0.690639,0.801863,0.990167,0.791778,0.494216,0.276567,0.342057,0.317517,0.34327,0.335925,0.312304,0.522414,0.612502,0.763324,0.475102,0.3683,0.553368,0.410643,0.384182,0.267244,0.186748,0.156634,0.311262,0.243252,0.226408,0.209901,0.170402,0.28264,0.208524,0.201219,0.213371,0.468769,0.419873,0.465875,0.445649,0.435549,0.393762,0.493214,0.516439,0.35006,0.438599,0.416961,0.220429,0.18277,0.321166,0.178996,0.392852,0.230981,0.27128,0.299127,0.313063,0.311923,0.232066,0.136472,0.204021,0.262244,0.198229,0.398713,0.129077,0.160904,0.31011,0.358175,0.2502,0.188966,0.338211,0.311653,0.272039,0.269308,0.298927,0.262577,0.35765,0.342803,0.240415,0.214053,0.303173,0.231365,0.194163,0.336013,0.25054,0.445921,0.336904,0.356511,0.352,0.342668,0.279477,0.309846,0.356972,0.309256,0.316435,0.338302,0.346117,0.330365,0.40941,0.442507,0.346215,0.446286,0.434094,0.334481,0.443035,0.326165,0.330612,0.331925,0.375348,0.367539,0.352054,0.327973,0.353666,0.367239,0.354797,0.350639,0.371678,0.423437,0.409129,0.364421,0.384264,0.349695,0.359283,0.352276,0.371744,0.305277,0.302563,0.347513,0.336046,0.321418,0.346112,0.209098,0.270039,0.129905,0.307662,0.208499,0.322315,0.21785,0.233904,,,,
12,1.488036,1.730605,0.895384,0.494011,0.532559,0.600058,0.44735,0.301726,0.380266,0.241188,0.41267,0.656389,0.445788,0.188839,0.309928,0.185176,0.486771,0.263882,0.288051,0.378473,0.385628,0.293327,0.452611,0.502759,0.507368,0.359632,0.41402,0.271814,0.459169,0.293212,0.46126,0.439075,0.439652,0.457718,0.43662,0.464599,0.373031,0.409721,0.337635,0.478659,0.247653,0.231842,0.440603,0.484815,0.362834,0.338104,0.429329,0.462187,0.235612,0.44974,0.362063,0.489163,0.384153,0.359991,0.362162,0.355416,0.37529,0.411057,0.39608,0.387626,0.367443,0.382999,0.465854,0.356739,0.462495,0.406975,0.398468,0.313966,0.413446,0.465747,0.360764,0.356756,0.276523,0.323339,0.355155,0.396181,0.428208,0.41622,0.29667,0.404394,0.336704,0.332727,0.326095,0.334869,0.307219,0.26593,0.305733,0.300154,0.337675,0.336516,0.333985,0.361653,0.401705,0.330169,0.392815,0.390357,0.372345,0.382174,0.403162,0.354437,0.407201,0.407616,0.376872,0.266041,0.254503,0.283013,0.205717,0.225834,0.220218,0.254172,0.27321,0.265878,0.248786,0.251217,0.315985,0.309055,0.276512,0.286783,0.268571,0.324143,0.32727,0.312772,0.30982,0.329159,0.322808,0.268853,0.314533,0.257721,0.232552,0.282291,0.192089,0.26203,0.225974,0.354634,0.254867,0.355772,0.361759,0.279309,0.310999,0.306938,0.289497,0.302366,0.334966,0.424941,0.390131,0.395485,,,,
