Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.208262,1.768095,0.870558,1.552040,1.082571,1.137018,2.132161,2.498402,1.452169,2.468623,1.481898,1.238282,1.288868,1.397964,1.369922,1.389645,0.818506,1.423044,0.911951,1.604878,0.424208,1.619465,1.229553,0.701485,0.942661,0.972451,1.195842,0.955158,1.368481,1.199184,0.730114,1.246926,1.039275,1.311879,1.375258,0.803559,0.828206,0.858349,1.007161,0.491597,0.917806,1.199402,0.812746,0.752431,0.167647,0.717753,0.992434,1.097680,0.736392,1.507341,0.910007,1.267881,0.896038,0.981592,0.892140,0.827683,0.589699,0.447535,0.454959,1.659293,0.590419,0.954830,0.695209,0.547119,0.585226,0.861141,1.009922,1.266410,0.437481,1.433427,0.870104,1.320021,0.805055,1.157833,1.026398,0.616358,1.266660,0.561499,0.295622,0.802473,0.913002,0.997264,1.131781,0.986906,1.293430,1.205224,0.811294,0.768642,0.732559,0.470597,0.666774,0.682272,0.830867,1.471624,1.522342,1.186388,1.052623,1.678685,1.177385,0.693508,0.779738,0.464671,1.089067,1.374261,0.824711,0.785873,0.093607,0.925710,0.916055,0.777151,0.760927,0.776412,0.827901,1.080832,1.236786,0.433020,0.456499,1.309232,1.469772,0.805408,0.986487,1.222851,1.081496,0.940260,0.610753,0.538802,0.245167,0.632827,1.629614,0.698044,1.226365,0.951410,0.744224,1.300368,0.683824,0.835153,0.644189,0.832133,0.706467,1.132117,0.282020,1.773931,0.842826,0.644839,1.594852,0.800507,0.500810,0.864884,0.648817,1.371137
1,3.333933,1.128842,1.952452,3.662546,1.248628,1.146574,1.653714,2.213958,1.294608,2.135838,1.942760,1.558522,1.934288,1.077109,1.185974,2.025102,1.610737,1.086033,2.013308,1.435438,1.290890,1.352553,1.620418,0.771033,0.814948,1.480485,0.298787,0.955275,1.017900,0.696569,0.912849,1.035953,0.829795,0.758551,1.027103,0.726045,0.802072,1.349622,0.967197,1.422795,1.182130,0.753743,1.782015,0.872259,1.030948,1.083809,0.797563,1.678428,1.164719,1.440111,0.985928,0.692035,0.902751,0.926394,1.087634,2.157115,1.206148,1.875134,0.866073,1.344446,0.968565,0.479749,1.894473,0.819021,1.064580,1.650667,1.061946,0.972272,1.030757,0.418684,1.226472,0.744692,2.126373,0.726731,0.854512,0.611564,0.327732,1.579877,0.726854,0.883891,0.893818,0.605127,1.158626,1.139261,0.736618,1.219636,1.120258,1.365774,1.866561,0.648332,0.994351,0.915915,1.090586,0.870727,0.821515,1.304956,1.920178,0.784822,0.748480,1.448919,1.058567,0.623957,0.981650,1.613562,1.245117,1.058481,1.579424,0.245710,1.298918,1.002593,1.087903,1.234520,1.384374,1.164254,0.923311,1.267338,1.175054,0.425479,1.273753,0.901559,0.958918,1.532148,1.000608,1.205765,0.363231,0.728129,0.380828,0.475285,1.146292,0.814878,0.678190,0.813682,1.351567,0.635647,1.167487,1.021041,1.054631,1.072314,0.634570,0.839605,0.592813,0.438492,0.829363,0.402924,1.672798,0.996146,0.996232,1.380770,1.791925,0.764784
2,1.758394,1.135101,1.733396,1.602952,1.479314,1.052563,1.456622,1.414218,0.678126,1.259948,1.236172,1.702394,0.785772,1.648242,0.783671,1.501338,1.686686,1.413095,1.552559,1.133469,1.298753,2.737583,1.091612,1.268376,1.219265,1.054041,1.172770,1.214959,2.311595,1.392021,1.446951,0.927309,0.845408,1.472507,1.027382,0.703955,1.318057,1.351538,1.262204,1.288984,1.385689,1.264946,0.842997,0.959045,1.120549,0.907635,0.610477,0.848090,0.754958,1.694687,0.687944,0.219366,1.153176,1.098146,0.664339,0.684936,1.718753,0.820703,0.747405,0.237563,0.733263,1.040652,1.105851,1.518639,1.344320,1.309103,1.077949,1.388972,1.028116,0.571363,0.898485,0.749337,1.569292,1.244946,0.848093,0.889151,0.963412,0.897245,1.107813,0.825966,0.760424,1.199302,0.718140,1.358900,2.250192,1.412172,0.796407,0.749172,0.541772,0.856034,1.032432,0.500791,1.072450,1.056648,1.185386,0.933892,0.746940,0.580332,1.721827,1.230075,1.701879,1.246598,1.020336,1.609921,1.053742,0.763828,1.003690,1.352138,1.347354,1.103048,1.091898,1.545686,1.651504,1.100851,1.150782,1.063973,1.761403,0.841427,1.413771,1.034420,0.822625,0.921499,0.851098,1.502241,1.442245,1.365284,1.015312,1.185560,0.779346,0.714541,0.891803,0.717260,0.702118,1.408214,1.471018,0.764785,1.204457,0.642636,1.602825,0.224430,0.898414,1.528593,1.303252,1.598302,0.838588,0.792538,1.545803,1.167914,1.607534,0.641144
3,1.832449,1.215282,2.368155,1.445156,1.060732,1.116968,2.345487,1.784223,1.607672,1.637717,0.755106,2.232855,0.946998,0.468118,0.717790,1.656275,1.323426,1.424875,1.561929,0.907726,0.765498,1.303991,1.320763,1.050152,1.789463,1.166022,1.316237,1.377020,1.699602,2.128565,0.673220,0.897807,1.855482,1.070769,1.384839,0.973680,0.723569,0.685573,1.578260,1.211282,1.065052,1.429084,1.982102,0.761156,1.224160,0.715982,1.679005,0.915766,1.635990,1.177299,1.179097,1.084297,1.191318,1.323132,1.524681,1.320434,0.779545,1.467148,1.186592,1.801351,0.947616,0.934299,1.015327,0.799635,0.821603,1.338884,1.217723,0.938382,0.743326,0.923616,0.781955,0.812100,1.308059,1.232370,1.229371,0.828098,0.787477,1.072144,0.457898,1.135832,0.992412,0.970928,0.581801,0.788097,0.953373,1.199871,0.503678,0.833831,1.431686,0.550485,1.074557,1.378227,1.103963,1.179710,1.268625,1.414813,1.131067,0.977574,0.915966,0.729399,1.325179,1.344869,1.340194,1.377359,1.358191,0.916700,1.409463,1.266888,1.125753,1.374994,0.705275,0.547114,0.798941,2.030207,0.973760,1.316216,0.954623,0.578246,1.103851,1.301694,0.837672,1.428315,1.058639,1.074006,0.412041,1.033905,0.799594,1.141172,1.437001,0.567168,1.170042,1.318418,0.692652,0.687782,1.115072,0.726961,0.515650,1.009482,1.425075,0.964615,0.783967,0.779407,1.733486,0.652423,1.178180,0.832038,1.326097,1.102393,1.398922,1.255774
4,1.309944,1.587613,2.709106,1.426572,1.153566,2.489003,1.840729,1.867859,1.280091,1.318937,0.954699,1.313611,1.064764,1.569728,1.341707,1.910263,1.894754,1.930027,1.776142,2.153980,1.769334,1.846857,0.862566,0.575748,1.171512,1.209807,1.594831,1.482343,1.546724,1.392655,1.137840,0.734771,1.941026,1.401159,0.520543,1.575118,0.738893,0.891755,0.595960,0.460296,0.935120,1.383497,1.537379,1.953176,0.764589,0.952872,0.910959,0.938127,0.672238,0.701337,1.161636,0.343755,1.078279,1.255385,1.401434,0.673459,1.133692,1.303157,2.443475,0.709691,1.666680,0.766097,1.410058,0.774824,1.113563,1.111501,1.338048,0.774121,1.132970,1.099853,0.993115,0.729748,0.792072,0.788989,0.711989,0.477337,0.509250,0.597447,0.767963,0.791063,0.760789,0.681367,0.794119,0.727817,0.265788,0.615747,0.921489,1.157046,0.492898,0.402079,0.727782,0.493086,0.873547,1.154285,0.629814,0.633796,0.287361,1.408731,0.301639,0.961285,1.002000,0.526256,0.676857,1.060189,1.244480,0.927240,1.138584,1.638661,0.699998,1.791457,1.694793,0.770250,0.566853,1.105496,1.111404,1.217238,0.847708,0.691240,1.237801,0.809117,0.718863,0.473202,1.037155,1.039554,1.627456,0.824278,0.897822,1.055478,1.125599,0.670614,0.935361,0.928797,0.762308,1.423403,0.475371,0.961965,1.101195,0.681053,1.201697,0.863046,0.880250,0.996694,1.133049,1.141267,1.587082,1.944235,0.516484,0.919648,0.935912,1.571091
5,2.283100,1.179260,1.305969,0.622183,1.703182,1.572015,4.965955,1.772335,3.899554,2.178423,3.343142,1.450225,1.816691,2.486794,2.212838,1.571051,2.580765,2.468190,2.172179,1.463126,1.551154,2.210727,1.363812,2.316136,2.285520,1.768910,2.270797,1.712945,1.010260,1.901380,2.230109,1.592589,1.530478,1.614243,1.357605,0.734604,1.378798,1.724643,1.705459,1.584512,1.003494,1.000655,1.722691,0.901056,1.716763,1.481786,1.898822,0.959060,2.355130,1.601468,1.630699,1.731023,2.119488,1.577199,1.338020,0.895673,1.293888,1.425825,1.494872,0.573605,1.194543,1.238565,1.742198,1.734992,1.358945,0.791942,0.826403,0.817789,1.296771,0.957249,1.668649,1.002216,0.775766,1.307050,1.015016,0.880365,1.884248,2.244706,0.840385,0.846618,0.859000,1.361963,1.123332,0.839559,1.357899,0.874144,1.448968,1.285236,1.493851,1.390345,0.818664,1.989876,1.459937,0.926657,1.177776,1.517893,0.685735,1.276518,1.127010,1.359896,1.087198,1.320809,0.832966,1.080245,1.661547,1.182394,1.229255,1.148471,1.540173,0.858132,1.313705,1.040464,1.421860,1.390122,1.397582,1.440868,0.842168,1.579063,1.344026,1.245069,0.966670,0.962226,1.177426,1.056403,0.816228,1.501110,0.944068,0.850784,0.672778,1.464903,1.104123,1.171463,1.106761,0.813239,1.636988,1.464550,1.020988,1.053357,1.640044,0.974460,1.111216,0.758449,0.770455,1.048472,1.015410,0.660432,1.139102,1.172891,1.440490,0.754295
6,1.436163,1.260429,1.496841,1.491673,1.068629,1.365840,1.195022,0.620405,1.207827,1.099392,1.561997,0.941233,1.114448,1.257384,1.106211,1.641836,1.132682,1.056694,1.365940,1.625997,1.364741,1.051069,0.460002,1.442102,1.689112,1.127786,0.946381,1.470487,0.988266,0.726722,1.248334,0.660248,0.837855,1.066098,1.309235,1.078226,1.124308,1.206490,1.352055,1.177518,0.912214,1.411862,1.105219,1.454267,1.057834,1.368737,1.302655,1.855398,0.886149,0.793111,1.455380,1.229908,1.467096,1.316584,1.207455,1.111828,1.179613,1.337716,0.600863,1.499416,0.801020,1.101976,1.804860,1.247358,1.826162,0.693960,1.679156,1.374859,1.950389,1.732342,1.637696,1.047184,1.956398,1.078092,1.817356,0.432816,0.999939,2.159783,0.507291,1.214397,0.911967,1.919408,1.586703,0.802623,1.616426,1.163662,1.007094,2.121932,0.966436,1.157158,1.072845,0.849145,0.989515,1.880721,0.489518,0.864074,1.176373,1.607954,1.512707,1.169683,0.688147,1.993451,1.011903,1.241466,0.797823,0.594986,0.997598,1.176393,0.749233,0.746238,1.452714,0.764569,0.711808,1.586110,0.855599,1.419779,1.595005,1.103194,2.302187,1.397674,1.010538,1.130605,1.008390,0.768273,0.380348,0.507159,1.668841,1.257455,1.206441,1.679770,0.922268,1.473974,0.890043,1.524142,0.504260,0.564817,1.101831,1.067770,0.872859,1.047113,0.996254,0.811611,1.093607,0.655638,0.704146,1.242030,1.325200,1.421779,0.859308,1.136778
7,1.535581,2.203063,1.120139,0.726968,1.439295,1.206401,1.119000,2.767254,0.331366,1.724618,1.004942,1.784902,1.577706,1.428738,1.573249,1.523892,1.980699,1.578968,2.049723,1.099701,1.637033,1.529997,2.295147,2.170153,2.028688,1.994115,1.576481,2.129596,2.878831,1.391068,1.753404,1.539497,1.849319,0.520488,1.630935,1.512956,1.970606,1.749565,2.074948,2.333728,1.546791,1.409841,1.657422,1.820969,1.457089,1.618009,2.056604,2.286542,1.399355,1.412942,2.055429,1.096697,1.640406,2.381068,1.894009,1.999774,1.682932,1.478661,1.527384,0.720581,0.544634,1.160621,1.034625,1.048272,1.120204,1.416192,1.132210,1.083667,1.454089,1.460647,1.493987,1.278072,1.345247,1.168239,1.890638,1.473273,0.958479,1.551373,1.184265,1.068804,1.824521,1.106378,1.244872,2.026043,1.762382,1.268331,1.600006,1.258391,1.425912,1.774611,1.034399,1.157914,1.027672,1.448698,1.269432,1.360615,0.842397,0.666545,1.099438,1.256775,0.251222,1.193313,0.987159,1.222841,1.241129,0.745497,1.392982,0.771772,1.096500,0.816281,1.093987,0.928192,1.260035,1.193738,0.511101,1.029076,1.173767,1.327049,0.579611,1.790834,1.351910,0.777518,1.871399,1.181439,1.514008,1.863964,1.346054,0.995378,1.291723,1.372479,0.964241,1.317820,1.082175,1.501718,1.353888,1.110492,1.005070,1.138447,0.847395,1.239634,2.027885,0.914249,1.270927,0.871309,0.922946,1.390231,2.108541,1.335206,2.052950,0.948433
8,3.589482,1.315945,1.722875,1.946520,1.657048,1.877597,1.804413,0.879314,1.103088,1.161489,0.564615,1.773429,1.552678,0.977033,1.363315,0.585839,0.937121,0.667307,1.615882,1.659717,0.545536,0.932498,0.482277,0.737864,1.575078,1.375956,1.185177,2.119682,1.017713,0.598149,0.755407,0.346227,1.236203,2.092706,1.594296,0.550595,1.873999,1.722724,1.674491,1.930114,0.721399,0.665518,1.756848,1.595293,1.558544,0.726909,1.026456,1.016070,0.868147,1.169756,1.379756,1.474599,0.933198,1.056999,0.665486,0.152521,0.121576,1.068290,0.982366,0.693159,0.552858,0.906250,1.356146,0.686997,0.493427,0.987690,1.455930,1.349091,1.216285,0.973469,1.125529,1.473155,0.615742,1.051593,0.587497,0.393901,1.810508,0.905324,0.778478,1.499217,0.345998,0.971654,0.713834,0.604106,0.784959,1.064669,1.880278,0.667921,0.460552,0.643014,0.921137,0.630024,0.655502,0.726092,1.692794,0.856788,2.277057,1.427644,1.393926,2.259096,0.881385,1.576616,0.703443,0.695112,1.075445,1.092359,2.175031,0.964499,2.194833,0.765798,1.053655,1.570574,0.598068,1.511149,0.818061,0.947929,0.829435,1.508921,0.612304,0.739296,0.319036,1.636977,0.927702,1.039297,0.977724,0.833448,1.718347,1.069339,0.340787,0.333423,1.671709,1.425967,0.874789,1.331838,0.347582,0.698220,1.493007,0.498105,0.634667,0.590507,1.375476,0.577495,0.796181,1.685037,0.509896,0.354180,1.024407,1.249951,0.936094,0.359150
9,0.757145,1.173757,3.189209,1.255450,2.132689,0.934373,0.854365,1.614090,1.647392,1.270536,1.312717,1.375857,0.826053,1.771222,1.206705,1.005482,1.850798,0.337743,1.698306,1.235136,0.317850,1.964691,1.161807,1.338563,1.515314,0.671918,1.291957,1.466650,1.681924,1.270519,2.023197,1.218787,1.470344,1.441903,1.600228,0.937276,1.422220,1.316447,1.387808,1.429769,1.172419,1.901369,1.346874,1.262634,1.401567,1.218071,1.178300,1.643080,1.053274,1.121298,1.471650,1.328987,1.395536,0.953114,1.512054,0.718635,2.839351,2.677594,1.194355,1.817129,1.681566,1.648640,1.177608,2.193356,1.197243,0.812156,1.677478,1.597422,0.700273,0.604181,0.456188,1.153392,0.999676,0.729988,1.200616,1.324997,1.088113,1.610715,1.125623,1.646698,0.932934,1.424680,1.655269,0.840643,1.397810,1.289381,1.523465,1.206221,1.673234,0.393895,1.034165,1.588398,1.932496,1.255187,1.595709,1.342749,1.645420,1.341201,1.155746,1.757335,1.289335,1.195871,1.797684,1.048228,1.623562,1.509690,0.733247,1.123009,1.378664,1.692033,0.798326,0.672664,0.456818,0.783959,1.675779,1.545713,1.237890,0.671476,2.285952,1.113734,1.148630,1.101249,0.541245,1.648571,1.368798,1.051630,0.839372,1.257623,1.324761,1.083545,1.313066,1.081309,0.859933,0.748349,1.676051,1.429703,1.353610,2.059119,1.369816,1.341897,1.093138,1.292093,1.263042,1.356241,1.956512,1.082076,1.190439,1.143272,0.773317,1.077600
10,1.430669,1.880341,0.740994,1.423997,0.915110,1.537561,1.875592,1.032141,1.532416,0.740779,2.110595,1.454882,0.676067,1.257915,1.320629,0.164146,1.704824,1.056252,0.840019,1.483281,1.484969,1.767782,1.071591,2.451067,0.795047,1.416754,0.767537,1.365674,2.478878,1.441731,1.369821,1.453462,1.534940,2.441515,2.491132,1.424604,1.703189,1.239060,2.446880,1.408078,1.843793,1.637452,1.762490,1.785059,1.395028,0.985141,2.824470,1.226717,1.384987,2.058925,0.366736,0.343712,1.667748,2.092627,1.259653,1.215866,1.581858,0.915917,2.093057,2.426709,0.664257,1.370469,0.118824,0.988284,0.619625,0.580266,0.938665,0.764755,0.776669,1.025439,1.740832,0.899579,1.566344,0.350720,0.765463,1.517357,1.303020,0.881387,1.168187,1.082658,1.320566,1.030860,1.396507,1.151820,0.609242,1.067364,0.960140,0.639886,0.520660,0.466285,0.992372,1.020905,1.129626,1.369105,0.929483,0.978547,0.276497,0.902504,0.920064,0.934179,0.937175,1.038270,0.949887,1.068618,0.933417,0.727597,1.077134,0.423115,1.012105,0.377223,0.142763,0.394296,0.925575,0.772319,0.613665,0.835717,0.729565,0.622275,1.010831,0.907577,0.675494,0.761038,0.763471,0.746448,1.025404,2.556440,0.917425,0.975280,0.787688,0.954380,0.945700,0.956806,0.312008,0.758379,1.103125,1.223364,0.784051,0.875203,0.884024,0.382165,0.839388,0.355168,0.484807,0.674848,1.121719,0.843003,1.003587,0.728683,1.138167,0.475042
11,2.071867,2.025001,0.853835,1.907905,1.715097,1.050324,0.775412,1.540688,0.423805,0.525393,1.669224,1.174330,1.194087,1.118128,2.210860,0.808422,0.800392,0.607958,1.133568,2.400526,2.021277,0.676967,0.634631,1.174421,0.650673,0.450013,1.642057,0.546189,1.571052,0.600744,1.649668,1.366044,1.116354,1.008465,0.995215,1.761607,0.871282,1.568495,1.173113,2.310221,0.752930,1.575446,3.011674,0.239032,0.990279,0.875682,1.666727,0.754330,1.381036,1.319084,2.535854,0.625726,0.417951,1.063866,1.171920,0.871204,1.489209,1.834019,0.769940,1.348197,0.527271,0.967071,0.841060,0.615013,1.223773,0.828721,1.591431,0.532157,2.055937,1.504219,1.309644,1.035094,1.186774,0.607092,0.535058,0.756297,1.165768,0.808504,0.688286,0.814072,1.218117,1.177461,1.110562,1.456940,1.162635,0.569475,1.229270,0.579414,1.251993,0.663608,0.920419,0.978682,0.802505,1.262228,0.892691,0.894802,0.413811,0.806251,0.638287,0.885548,1.372257,0.808998,1.137886,1.526109,0.932509,1.010224,1.248876,0.511760,1.485678,0.747737,0.770037,1.555596,0.778697,1.367924,0.590770,1.253296,0.838913,1.131775,1.064207,1.906870,0.703642,0.876808,1.963252,1.009083,0.806073,1.248139,0.831921,0.964131,0.908829,0.442760,0.696565,0.931384,1.518491,1.100621,1.149899,0.804307,1.799161,0.347334,1.664012,0.707523,1.155604,1.322866,1.388803,0.670821,1.226722,0.790962,0.864972,0.588052,0.563178,1.889538
12,1.174113,1.513938,3.195558,1.858345,2.203292,1.254723,0.925093,2.124009,2.128896,1.922249,2.246924,1.801580,1.037975,1.691694,1.292034,2.413677,0.911973,1.222176,2.111760,1.191850,2.435227,1.904346,1.880911,1.961495,1.879947,0.971273,2.912912,0.346910,0.873965,2.109176,2.005138,0.779903,1.711861,1.811468,0.843826,1.644643,2.813879,2.453492,1.201028,2.138203,1.299692,1.887403,1.292117,2.273785,2.752134,0.869270,1.052063,1.492256,1.492389,1.943352,0.891385,1.698234,1.163753,1.524364,1.803308,0.966682,1.951987,1.423542,1.493848,1.473485,1.659986,1.448170,1.100098,2.194773,0.761413,1.463161,0.888687,1.431794,1.527406,1.369178,1.766539,1.593402,0.779226,2.027776,1.778434,1.587656,0.942248,1.148186,0.834212,1.265858,1.441716,2.022144,1.125637,0.768594,0.687519,0.784806,0.877759,0.851982,0.927089,1.784899,0.683241,1.084266,0.502462,0.936823,0.589023,1.819486,0.896362,1.835126,1.049168,1.111670,1.039130,1.015377,0.654861,1.402272,1.380983,2.225430,0.936538,1.508466,1.192058,0.406345,1.259808,0.998890,0.683561,0.626206,0.898033,0.937242,0.631927,1.134578,1.023046,0.733132,0.900035,0.863904,0.664036,0.834806,1.094350,0.753720,1.751663,0.643848,0.970469,1.263268,0.674983,1.187729,0.922472,0.827340,0.523073,1.052526,0.422534,0.757557,1.063190,1.223674,1.050398,0.811446,1.032171,-0.022202,0.510457,0.660241,0.722657,1.724921,0.454801,1.153287
13,1.040429,3.361041,1.420821,1.130910,3.303803,1.286200,1.554475,1.153336,1.665921,2.785627,2.993569,1.647919,3.379886,2.413873,1.284586,1.762662,1.408523,1.979568,1.606592,2.137395,1.741663,1.888116,1.425289,1.310974,1.913637,1.103526,1.181970,1.737674,1.271289,1.343093,1.676818,1.693604,1.463870,1.036155,1.056677,1.138561,1.162970,1.206783,1.239071,1.765570,1.008056,1.339167,1.004752,1.846733,1.170633,1.597170,1.347306,0.723498,1.377418,1.015954,1.511357,1.073776,1.185496,0.863434,0.348668,1.097896,0.633495,1.491576,1.597388,0.689173,0.801725,0.668698,1.404876,1.051433,0.651459,1.297416,1.531479,1.837630,1.116547,0.924236,0.705589,1.136386,0.906867,0.825993,1.051136,0.982265,0.928496,1.218014,1.296177,1.242073,1.214555,1.454055,1.265936,1.374730,1.157803,0.980941,1.689409,1.076401,1.711156,0.942820,1.222785,0.684522,1.631042,1.878148,1.537018,1.200093,1.498963,1.385416,1.160519,1.089908,1.091805,0.765023,0.633307,1.413010,1.003420,1.351106,0.793677,0.912094,1.367827,1.180545,0.597198,1.204965,1.318259,1.514182,1.076699,1.542392,1.286505,1.292745,1.041870,1.407423,1.367242,1.220505,0.763786,1.230332,1.032003,1.607046,0.361930,1.090376,1.195947,0.933252,0.793186,0.995346,1.008469,0.939406,0.887747,0.753463,1.294049,1.357096,1.176636,1.224320,1.017734,1.197291,1.095320,0.747300,1.333710,0.951454,1.209560,1.103500,1.073674,0.832012
14,3.009018,1.228235,2.838424,1.125975,2.114376,1.863938,2.360938,2.075357,0.959549,1.226319,1.586864,0.790384,0.474787,0.896964,1.434039,1.573188,1.954660,1.090229,1.343452,1.701675,1.117193,2.106527,1.370215,1.291674,1.043228,1.094490,1.227461,1.404450,0.755209,1.470205,1.213754,0.727994,0.975348,0.457146,1.742683,1.583859,1.450572,0.941268,1.477754,1.141624,1.345715,1.446946,1.803442,1.716812,1.183309,0.799786,0.700733,0.918292,1.001789,0.956845,0.953767,0.582252,1.344873,0.835912,1.251316,0.900311,0.861062,1.015307,1.572929,1.202176,0.669797,1.366382,1.166851,1.316252,1.006095,1.065869,1.077377,1.381494,0.759443,0.505889,0.768985,0.466446,0.950860,1.390728,1.104238,1.337799,1.150568,1.023609,1.097273,0.647816,1.518987,1.217132,1.332325,1.652830,1.549878,1.007559,1.300309,0.651241,0.922838,1.021663,1.708496,1.132537,1.332005,0.968348,0.754699,1.295980,1.102821,1.358256,0.568394,1.546260,0.867004,0.691223,0.878767,1.551513,0.960590,1.255142,0.848219,1.759137,0.997859,0.967034,0.731453,1.259584,1.045431,1.125686,0.955771,0.609736,1.262462,0.787692,0.951049,1.328914,1.383227,0.853959,0.938323,1.239671,1.262499,1.504499,1.173478,1.628923,1.358073,0.809257,1.185448,0.860146,0.819901,1.411313,1.385091,1.339970,1.269622,0.360462,1.044436,1.103695,0.761015,0.954842,0.748773,1.272036,1.205823,1.295284,1.300089,0.806110,0.892381,1.103921
15,1.364047,2.314803,1.263000,1.244671,1.564982,2.076060,0.944586,1.101478,1.209292,1.941895,1.289697,2.034844,1.313282,1.131803,1.167064,2.463358,1.402437,1.419056,2.332818,1.668496,1.896324,0.814813,0.910427,1.554357,1.100970,1.507362,1.857990,1.685471,0.930600,2.563786,1.375144,1.284707,1.309310,1.164903,2.135765,0.837299,1.291420,1.335950,1.012294,0.962553,1.695184,1.775819,1.560241,0.914161,1.243782,1.803451,1.622163,1.176046,1.021901,1.075379,1.007136,1.417377,0.449435,0.892602,0.990108,1.386163,1.276231,1.555014,0.828108,0.844219,1.516736,1.989852,0.832115,1.122323,1.371456,1.520035,1.190925,0.992468,0.768012,0.625551,1.147821,1.006131,0.794822,0.771909,1.119074,1.500853,0.883002,0.491576,0.707132,1.107173,0.849693,0.969934,0.667702,1.274834,0.871602,0.991830,0.729313,1.149007,0.833230,0.737121,0.778966,1.165583,0.526583,0.859870,0.701137,1.161860,1.444733,0.901589,0.628585,1.151916,1.329312,0.955057,0.744085,0.873456,0.864986,0.662208,0.608290,0.868883,0.983508,0.726065,0.941162,0.828319,0.839941,0.786091,1.092068,0.882722,0.886903,0.738260,0.837600,1.602532,1.056596,0.796655,0.826299,1.424515,1.121916,1.093397,1.349217,1.183187,1.020650,1.025158,0.946209,0.889211,0.967634,0.706272,1.363000,0.621897,1.055976,1.445407,1.127720,0.930836,0.904418,1.510060,0.807343,0.508407,1.794636,1.065404,0.794473,0.980707,0.941154,0.799165
16,2.113477,1.674554,1.833669,1.151115,0.727419,1.912187,1.124492,1.006516,1.109350,2.022583,1.362658,1.340425,1.091569,1.381360,0.887897,1.418313,1.646614,1.198622,1.475285,0.687322,2.312921,1.712657,1.082498,0.879527,2.380392,0.923988,1.160814,1.190616,1.583315,1.214558,1.491281,1.136325,1.271967,0.798449,1.502298,0.635592,1.014694,1.656836,2.411172,1.016487,1.220684,2.233467,2.585333,0.868962,0.789036,2.146130,0.698558,1.742442,0.783525,1.125905,0.816159,0.957617,1.872474,1.487810,1.109134,0.910197,1.053952,0.484785,1.222068,0.875902,1.962732,0.931924,1.148612,1.355616,1.160480,1.067345,0.712580,0.959599,0.823783,1.254998,1.751629,0.723157,0.979465,0.527601,1.037003,1.139624,1.188525,1.376550,2.373050,1.414569,1.319844,1.075900,0.844324,1.064329,1.220418,0.941472,1.114091,1.111410,1.129372,0.884889,0.654009,1.333308,1.022298,1.845539,1.208641,1.131772,1.127604,0.594373,0.816944,0.875966,0.967063,1.373958,1.690821,1.470118,0.553788,0.760445,1.660364,1.464888,1.041249,0.480086,1.686514,1.076972,1.054907,1.400823,1.335163,1.731880,0.780950,1.080734,0.990003,0.815932,0.789588,0.577190,0.613042,0.224967,0.684685,0.794013,0.944948,1.169659,0.468671,1.217388,0.963678,0.664713,0.830409,0.487523,0.590543,1.073102,0.651649,0.987548,1.382147,1.203988,0.720586,1.073274,0.998813,0.887167,0.762992,0.951009,0.555278,1.895513,1.123979,0.698262
