Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.614333,1.015972,1.190763,1.840055,1.598477,1.144308,1.042074,1.192857,0.970450,0.350271,0.361502,0.644480,0.669128,0.622068,0.581304,0.813414,0.636906,0.618905,0.692074,0.600212,1.022100,1.203476,0.681661,0.363762,0.324972,0.331376,0.511846,0.603350,0.650287,0.367387,0.678408,0.656879,0.675271,0.566434,0.658055,0.575317,0.652590,0.522444,0.667945,0.657643,0.409526,1.015966,1.018905,1.014512,0.624783,0.658246,0.479784,0.499564,0.499411,0.472869,0.510810,1.251707,0.477483,0.534671,0.662550,0.511595,1.233809,1.178530,1.083488,1.041059,1.005338,1.014543,1.127467,1.118207,1.068119,1.010366,0.959060,1.006370,1.001903,0.992147,1.026051,0.334198,0.275878,0.350121,0.304065,0.347915,0.290251,0.317906,0.351028,0.346022,0.362616,0.404103,0.279200,0.297122,0.319761,0.325929,0.344535,0.321428,0.381409,0.601430,0.617855,0.336781,0.296136,0.379202,0.613800,0.338772,0.325329,0.337480,0.381483,0.332704,0.292893,0.326234,0.380328,0.335593,0.323057,0.374146,0.303250,0.372490,0.328948,0.348571,0.343649,0.328399,0.340986,0.338551,0.310347,0.345517,0.352247,0.385491,0.340248,0.362438,0.317882,0.351100,0.360569,0.605365,0.353223,0.384040,0.627058,0.583620,0.600467,0.615276,0.630775,0.630004,0.604995,0.630506,0.641916,0.651463,0.542890,0.625192,0.616025,0.582287,0.595246,0.503028,0.418485,0.475676,0.597280,0.429620,1.026094,1.030794,0.641094,0.629733
1,2.760949,1.892109,1.923846,3.009510,2.999079,2.814366,1.182274,1.230661,2.285051,1.211840,1.178398,1.178014,1.166244,1.191865,1.208944,1.116794,1.194743,1.201550,0.591504,0.588997,0.838644,0.819221,0.755601,0.798367,0.824294,0.828662,0.779015,0.804107,0.773825,0.800486,0.802139,0.821516,0.807458,0.802455,0.689443,0.729087,0.717709,0.684305,0.719356,0.685371,0.654674,0.653043,0.637476,0.557764,0.535061,0.558087,0.553990,0.614179,0.648267,0.557163,0.382101,0.142483,0.138643,0.115073,0.158550,0.160679,0.107981,0.120804,0.170919,0.102055,0.118686,0.146394,0.115808,0.181905,0.132050,0.167975,0.085781,0.128487,0.101664,0.133571,0.125518,0.187158,0.153392,0.132451,0.152150,0.130029,0.183938,0.300071,0.259560,0.258344,0.290120,0.121244,0.174248,0.279494,0.311419,0.147336,0.174917,0.501199,0.501902,0.128990,0.310361,-0.086476,-0.078266,0.295517,0.188465,0.191644,-0.058315,-0.012225,0.088944,0.105958,0.094712,-0.053430,-0.072423,-0.037028,-0.056489,-0.061405,-0.007598,-0.077838,-0.061819,-0.071742,-0.028443,-0.033363,-0.037325,-0.066299,-0.088718,-0.051647,-0.072129,-0.107283,-0.038345,-0.025862,-0.064629,-0.075189,-0.041488,-0.055326,-0.053544,-0.070716,-0.055909,-0.004660,-0.084251,-0.064911,-0.045986,-0.033337,-0.039746,0.189661,0.187807,0.251179,0.139995,0.216389,0.181067,0.185503,0.175688,0.176552,0.173837,0.185285,0.182475,0.207962,0.205254,0.212996,-0.034810,0.158417
2,2.733679,2.723965,2.208756,2.497784,3.517181,3.478667,1.871677,2.148597,2.172891,1.257097,1.420208,1.406682,1.460027,1.454716,1.423282,1.248316,1.265331,1.920173,1.445607,1.344051,1.861778,1.916629,2.020935,2.012792,2.248692,1.820527,1.687300,1.842153,1.237011,0.887444,0.897273,1.228660,1.096875,1.297620,0.866691,0.843015,0.576993,0.576651,0.533355,0.574296,0.542971,0.570780,0.568096,1.104637,1.081256,1.137111,1.223107,1.252120,1.189013,0.920050,0.913600,1.080201,1.054118,1.049164,1.143583,0.279786,1.146173,0.838542,0.837496,0.019388,-0.018923,0.000903,-0.002444,-0.015241,0.002414,1.050285,0.989098,1.027059,1.020354,0.961456,1.055531,0.475271,1.318418,0.015508,1.000651,0.048995,0.002203,0.065422,0.028878,-0.040304,0.040393,1.004790,0.335277,0.005916,0.372015,-0.013778,0.335219,0.323019,0.310496,0.353845,0.362741,0.353243,0.308866,0.395186,0.332876,0.030468,-0.052913,0.003992,0.043905,-0.036298,0.053772,-0.085666,0.086161,0.412756,0.407371,0.466210,0.401479,0.460875,0.998402,1.024963,0.278882,1.011667,0.965043,-0.012121,0.287992,0.285619,0.286719,0.262448,0.258502,0.305564,0.144328,0.163027,0.115124,0.106787,0.197353,0.143413,0.081499,0.123192,-0.106160,-0.093969,-0.073074,-0.136884,-0.126620,-0.117837,-0.120735,-0.115842,-0.073461,-0.095792,-0.079257,-0.109622,-0.087600,-0.121873,-0.052782,-0.122330,0.071554,0.025373,0.002664,-0.154092,-0.111990,-0.100861
3,2.144053,2.170362,2.143583,1.609060,1.662276,1.965393,1.923677,1.940327,1.891348,1.955772,2.029142,1.863448,1.867804,1.819476,1.874066,1.244489,1.279326,1.237329,1.695547,1.706845,1.156243,1.125210,0.842728,2.201309,2.188915,1.134297,1.953510,1.150418,1.967996,1.946867,1.711740,1.725135,1.661980,1.716489,1.715187,1.745544,1.730290,1.748281,1.664596,1.618560,1.782396,1.718054,1.265694,1.327606,1.013070,1.744131,1.326248,1.768973,1.273583,1.303489,1.769337,1.334423,1.028150,1.025922,1.732228,1.291873,1.729533,0.993091,1.249576,0.457764,0.410591,0.439537,0.426643,0.211067,0.778813,0.797012,0.799762,0.803382,0.812360,0.363926,0.337659,0.353252,0.392454,0.347280,0.323925,1.066735,0.275264,0.180608,0.289623,0.638093,0.642556,0.645391,0.663465,0.672905,0.642818,0.472317,0.645855,0.636532,0.685942,0.624305,0.641123,0.930533,1.006435,0.291782,0.294084,1.100373,0.168414,0.207224,0.178458,0.222460,0.243794,0.221505,0.174789,0.209372,0.046204,0.423247,0.022428,0.192893,0.230832,0.210545,0.037175,0.184345,0.043842,0.026670,0.183618,-0.014341,0.036211,0.022940,0.037381,0.132112,-0.018523,0.021197,0.384856,1.144685,0.000710,0.007925,-0.001933,1.113995,1.100510,1.141633,1.082920,1.093320,1.056719,1.103678,1.036119,1.067748,1.074748,1.431744,1.434446,1.447726,1.428403,1.416236,1.445349,1.433075,1.455816,1.441161,1.447412,1.406601,1.470148,0.666457
4,0.972325,0.936383,0.981934,0.252784,1.792812,1.724886,1.441207,0.787432,1.204277,1.927485,1.857480,1.819259,0.220201,0.231214,1.092157,1.097000,1.103491,1.097656,1.042885,1.071551,1.078846,1.091862,1.787266,1.807570,1.943830,1.147658,1.162010,1.928975,0.553889,0.252531,1.902465,1.039579,0.424755,0.309125,1.829385,0.321072,0.501121,0.444297,0.454763,0.219260,0.288685,1.085030,1.086329,1.104111,0.432408,1.084865,0.436039,0.457054,0.340380,0.258151,0.230476,0.173518,0.468679,0.498740,0.460276,0.431332,0.197557,0.303081,0.465119,0.455043,0.424680,0.427561,0.453614,0.446102,0.473664,0.426099,0.385136,0.153166,0.451190,0.448999,0.457012,0.464526,0.478264,0.460042,0.451003,0.470417,0.446450,0.448038,0.454295,0.475875,0.448949,0.436426,0.430429,0.427278,0.463177,0.464931,0.460027,0.448215,0.445876,0.202470,0.119972,0.140901,0.163352,0.182962,0.154811,0.195749,0.151172,0.125286,1.067676,1.083981,-0.024179,0.196212,0.183197,0.169667,0.084016,1.059292,0.434737,0.426156,0.423086,0.418038,1.185881,1.143568,0.414968,1.116823,0.431722,0.325882,0.475325,1.274960,1.224202,0.433081,0.402289,0.426802,0.474351,0.477971,1.172447,1.225137,1.191842,1.213601,1.208505,1.233134,0.426872,0.370667,1.198402,1.159906,1.202772,0.414154,0.476366,0.457194,0.428190,0.462663,0.468188,0.295993,0.430842,0.325417,1.012495,1.009198,1.005180,0.465700,0.467245,0.467098
5,1.254308,1.403464,0.755181,0.677901,0.590060,1.381658,1.241139,2.054655,1.525904,1.931608,1.751112,1.765312,1.743902,1.832155,0.712819,0.668178,1.740465,0.626052,0.658251,0.692647,0.709263,0.593523,0.564066,0.293299,1.871575,1.447733,1.722000,1.682318,1.703785,0.816296,2.146658,0.793805,1.510537,0.785340,0.518754,0.316600,0.376880,0.354016,0.280609,0.335871,0.341489,1.009253,0.376650,0.309846,0.438952,0.523831,0.463529,0.317237,0.240800,0.293240,0.344125,0.310372,0.370580,0.351185,0.386965,0.334607,0.338885,0.350064,0.302309,0.378967,0.337762,0.324054,0.291481,0.343914,0.336361,0.319805,0.310541,0.358922,0.304227,0.357961,0.346247,0.311367,0.311150,0.471720,0.404715,0.411650,0.456819,0.412842,0.451510,0.468630,0.457591,0.468388,0.432479,0.443896,0.445133,0.472104,0.432066,0.462379,0.409136,0.412220,0.179397,0.161333,0.459802,0.449972,0.428248,0.467477,0.085583,0.068305,0.079401,0.061709,0.184003,0.124377,0.036798,0.310958,0.076864,0.088134,0.072788,0.053100,0.046886,0.381832,0.072217,0.087563,0.055627,0.288948,0.301508,0.336176,0.349978,0.345574,0.219937,0.369950,0.335640,0.318124,0.103004,0.101537,0.088178,0.047450,0.068828,0.062113,-0.000687,0.054319,0.170879,0.206071,0.088365,0.040988,0.075009,0.073216,-0.011716,0.024605,0.098584,0.059664,0.040242,0.128589,0.075384,0.032069,0.045071,0.052978,0.089097,0.080072,0.235945,0.090379
6,2.284258,2.127258,2.156588,2.202672,0.617433,0.669445,0.692943,0.624112,0.630246,0.639885,0.565753,0.976682,0.748964,0.398602,1.289200,1.309399,1.460363,0.580824,0.705510,0.712793,0.683032,0.688404,0.621684,0.587854,0.622329,0.645165,0.589583,0.569467,0.580581,0.607738,0.587926,0.619995,0.610427,0.557374,0.567204,1.208471,1.163991,1.214913,1.213195,0.918008,0.669792,0.659945,0.583282,0.664366,0.661446,0.607775,0.608509,0.632137,0.694775,0.646342,0.668119,0.657719,0.629255,0.579848,0.624750,0.651957,0.621690,0.656015,0.645019,0.689725,0.614277,0.618379,0.651884,0.643860,0.639082,0.342286,0.622728,0.617700,0.677447,0.374817,0.386095,0.326232,0.352691,0.374192,0.308960,0.348486,0.357529,0.313524,0.360014,0.351504,0.350801,0.371087,0.360156,0.385735,0.297405,0.332868,0.681887,0.633662,0.644618,0.620059,0.647459,0.631384,0.586797,0.608915,0.618077,0.637028,0.619569,0.642119,0.663341,0.368137,0.622413,0.621080,0.608169,0.613396,0.657988,0.299034,0.632256,0.585768,0.593075,0.644649,0.673676,0.616607,0.613349,0.613481,0.368680,0.360492,0.304665,0.315803,0.370892,0.333218,0.931335,0.484185,0.864160,0.316363,0.320077,0.324133,0.323750,0.310025,0.311172,0.346288,0.356712,0.395476,0.336996,0.638257,0.337787,0.330751,0.364596,0.356512,0.643738,0.688502,0.639871,0.646562,0.637619,0.292337,0.348488,0.354740,0.297186,0.344738,0.609019,0.618887
7,1.902819,1.684473,1.739164,2.192592,1.926613,1.910390,2.191961,2.640808,1.572853,1.470849,1.569090,0.032221,0.021328,0.049468,0.492827,0.283155,0.283398,0.309666,0.317321,0.334532,0.070740,0.959157,0.273405,0.541810,0.297712,0.250314,0.583333,0.559060,0.559185,0.565433,0.573683,0.542882,0.584063,0.563044,0.537151,1.571709,1.572059,1.527569,1.108820,1.248805,1.206477,0.158110,0.152143,1.219921,0.019483,0.059062,1.047821,1.007855,1.018631,0.077649,1.022946,0.370949,1.344929,0.369251,0.307040,0.352772,0.311431,0.341057,0.313822,0.352190,0.306823,0.383845,0.301283,0.325856,0.291119,0.319805,1.005423,0.723572,0.768138,0.360471,0.354141,1.310067,1.332229,1.334699,1.326791,1.159451,1.007717,1.017196,1.006443,1.008023,0.992459,0.956784,0.993732,1.008508,1.024325,1.228863,1.199487,0.982131,1.012279,1.002977,0.614349,0.634842,0.592434,0.586249,0.621760,0.619240,0.567173,0.628847,0.587738,0.257069,0.271524,0.804595,0.407309,0.348388,0.518467,1.099063,1.123574,0.770872,0.802879,0.818756,0.790949,0.769410,0.788627,0.728623,0.788876,0.776401,0.826045,0.771183,0.736654,0.828882,0.800197,0.793947,0.798254,0.821281,0.808416,0.818461,0.811772,0.761938,0.765930,0.797315,0.832307,0.812564,0.777762,0.794409,0.768837,0.816588,0.793180,0.774763,0.407307,0.426961,0.431027,0.584443,0.615731,0.429807,0.434101,0.422419,0.401066,0.408849,0.408965,0.589122
8,2.082511,1.969380,1.941704,1.809158,1.830726,1.253723,1.275234,1.232797,1.275875,1.690503,1.733200,1.708548,1.692559,1.775689,2.100440,1.999964,1.801016,1.273757,0.976321,1.947818,1.421828,1.862617,1.760871,2.093126,2.000969,0.941331,1.252484,1.882179,1.915815,0.964075,0.789121,1.249828,0.935161,1.287604,1.265245,1.068748,1.091204,1.325232,0.771629,0.823634,0.771565,0.822353,1.327236,0.554528,0.830991,0.855357,0.687837,0.517354,1.145808,1.128876,1.116897,1.335339,1.295967,1.319628,1.106772,1.120707,1.156813,0.696204,0.240189,1.111691,1.091166,1.095428,1.165538,1.099220,0.592659,0.648809,0.638844,0.675257,1.563365,1.670794,0.613116,0.600275,0.638246,0.548004,0.581181,1.218464,1.179012,1.176045,1.236665,1.213518,1.218281,1.209763,0.697609,1.685840,1.501431,1.702308,1.640515,1.580830,1.596572,1.619049,1.643355,1.021864,1.068222,1.636708,1.402275,1.367755,1.032435,1.038970,1.031367,1.023439,1.565024,1.031381,1.495410,1.503491,1.478783,1.476248,1.457507,1.447657,1.465529,1.632095,0.550693,0.598719,0.484675,0.521358,0.482669,0.502326,0.506462,0.490739,0.568699,1.165987,1.224995,0.203123,0.587930,0.561067,0.249808,0.208438,0.310451,0.356352,0.342234,0.321748,0.322444,0.317025,0.501393,0.409226,0.434703,0.205915,0.323127,0.198927,0.399034,0.202291,0.001938,0.011577,0.299907,0.341783,0.150486,0.162418,0.204291,0.155624,0.180333,0.253935
9,0.198794,0.738449,0.872644,0.587277,1.547933,1.312818,0.663020,0.669958,1.637654,1.603168,0.582640,0.584388,0.861586,0.542171,0.571362,0.653605,0.664782,0.767523,1.298272,1.265481,1.226339,0.077421,0.705793,0.740081,0.537641,0.692051,0.654759,0.530452,0.354522,1.076188,1.073205,1.068456,1.357775,0.974135,1.063308,0.924496,0.976545,0.970821,0.972380,0.948719,0.967496,0.521150,-0.106116,0.127335,0.285861,0.249058,0.283675,0.220139,0.237163,0.244727,0.251896,0.265205,0.235256,0.100651,0.137248,0.251505,0.294810,0.281812,0.200720,0.284257,0.244992,0.222042,0.227215,0.256220,0.230403,0.134579,-0.056134,0.258032,0.129953,0.130881,0.088743,0.273272,0.263181,0.288245,0.301343,0.315238,0.125519,0.488358,0.069867,-0.090987,-0.053717,0.470690,0.467066,0.489165,-0.028547,-0.061419,-0.066173,-0.083622,-0.095232,-0.025178,-0.084238,-0.097498,0.170885,0.171071,0.092341,0.135129,0.101482,0.156878,0.110967,0.141434,0.177316,0.187165,0.132947,0.100985,0.111551,0.135049,0.158539,0.122509,0.168129,0.096931,0.124219,0.104383,0.127404,0.141036,0.105929,0.141799,0.147722,0.088085,0.132453,0.217705,0.165094,-0.065082,-0.088385,-0.045173,0.158960,0.212690,0.179529,0.149603,0.211024,-0.133226,-0.080579,0.302300,0.248170,0.306351,0.291577,-0.100124,0.279695,0.320036,-0.079767,-0.077141,-0.092222,-0.020801,0.257527,-0.118767,-0.061729,-0.097375,0.304960,0.271144,0.320971,0.307834
10,2.125484,2.107798,1.905280,1.958075,1.913306,1.906303,2.174519,2.179560,2.172108,2.204753,2.185748,2.120832,2.208412,0.822867,2.098659,2.249969,2.264815,2.130538,2.282435,2.263691,2.246986,2.228607,2.256245,2.242653,2.229126,2.220919,2.310746,2.328746,2.358451,2.313240,2.349987,2.314286,2.362644,1.660781,1.640920,1.701297,1.468436,1.681838,1.661782,2.350137,2.309866,2.387307,1.659418,1.672691,1.651339,1.438848,1.502210,1.448168,1.502704,1.462918,1.443648,1.437603,1.450434,1.420492,1.463342,1.453795,1.415904,1.452676,1.478268,1.478235,1.427694,1.465478,1.483517,1.457984,1.467846,1.426417,1.464179,1.459578,1.477413,2.203186,2.220378,2.222343,2.176397,2.241987,2.170988,2.199396,2.227071,2.233705,2.133553,1.808489,2.195756,2.189413,2.187828,2.210647,2.201074,2.230910,2.014930,1.954084,1.965593,2.183396,2.167286,2.218026,1.965216,1.954738,1.987422,1.969828,1.959334,1.957635,1.949777,2.009471,1.964823,1.961677,1.945500,1.981255,1.991631,1.911189,1.966199,1.965093,2.437281,2.108192,2.008190,1.874142,1.883256,1.853494,1.871464,1.863228,2.205038,1.829413,2.103495,1.912943,1.862645,2.195260,1.967347,2.393985,1.979572,2.081453,2.080390,2.095575,2.094844,1.796572,1.824152,1.823190,1.797171,2.092920,1.783143,2.085506,1.842052,1.767068,2.338994,1.948434,1.944744,1.887378,2.065681,2.040246,1.995883,1.979697,1.991687,2.368115,2.024366,2.074741
11,0.704119,1.251411,1.232701,2.172508,1.843936,1.844112,1.846913,1.275098,1.302734,1.925006,2.127813,2.214478,1.989758,2.016779,1.977489,2.005227,2.064641,2.040403,1.989226,1.999139,1.991148,2.139671,2.137728,1.954712,1.951158,2.171382,2.442101,2.177139,2.151560,1.930738,1.943740,2.110437,2.046093,2.113745,2.108084,1.771232,2.073434,2.097508,2.076960,2.080455,2.124216,2.090533,2.077457,2.090513,2.058467,2.103441,2.060652,2.084423,2.098343,2.105969,2.079292,1.382933,2.104163,2.113354,2.125849,1.887698,1.861567,1.862946,1.884250,1.883325,1.921874,1.873766,1.073140,1.106235,1.656491,1.869725,1.846442,1.853706,1.864823,1.883508,1.833336,1.869814,1.900858,1.856875,1.839275,1.662966,1.669909,1.716341,1.660604,1.681131,1.649259,1.061383,1.116641,1.120501,1.147708,1.170224,1.136485,1.139304,1.055779,1.060353,1.002911,1.034133,1.079448,1.071321,1.070328,1.029073,1.680444,1.720833,0.967670,1.716659,1.016931,0.186222,1.730854,0.456074,1.007248,0.010690,0.006768,-0.019032,0.005490,0.102513,0.040826,0.004132,0.004986,0.025200,-0.033165,0.010514,-0.004289,0.008295,0.012904,-0.030307,0.055426,0.003481,-0.014874,0.034227,-0.036135,-0.058316,0.204154,0.117440,0.089256,0.516541,0.542860,0.561235,0.510052,0.512520,0.545813,0.470455,0.329851,1.025394,1.041338,0.590781,0.571660,0.528599,0.579139,0.574725,0.566153,0.584526,0.546737,0.557036,0.551815,0.406932
12,1.896666,1.794159,1.734961,1.818247,1.830339,1.880646,1.784222,1.550393,1.541118,0.988669,1.598753,1.986146,1.993579,2.257050,2.191327,2.187837,2.102351,2.142553,2.305500,2.335364,2.294870,2.148042,2.121909,2.018315,2.090925,1.827098,2.028958,2.050594,1.998136,2.045408,1.956539,2.228991,2.170483,1.948617,1.948580,1.968001,1.969331,2.239959,2.187425,2.220744,2.020611,2.015360,1.956284,1.925849,2.034285,1.941891,2.041359,1.967056,1.978922,1.960011,1.975002,1.964288,1.965768,1.968487,2.000756,1.973970,1.945764,1.968304,1.999682,1.964482,1.939481,2.001268,2.014048,2.004965,2.017361,2.010131,2.022941,2.025251,1.960644,2.003236,1.975765,1.350509,2.009557,1.956342,1.982278,1.365886,1.414977,0.506289,1.401706,1.366770,1.378717,1.319314,1.657991,0.499799,1.112547,0.466965,0.520922,0.530040,0.490759,0.498102,1.214320,1.178130,1.188510,1.190407,1.221644,1.239330,1.207227,1.204049,1.239468,0.459810,0.604338,0.473452,1.052612,0.485205,0.475913,1.157094,0.617769,0.634974,0.609103,0.508725,0.543335,0.992463,0.536274,0.496529,0.479396,0.474902,0.446542,0.689681,1.394670,0.735499,1.074595,0.796215,0.625679,0.802308,0.766852,0.756589,0.752679,0.792723,0.618792,0.591899,0.605047,0.615723,0.636386,0.605000,0.626960,0.623137,0.554767,0.623213,0.588619,0.604592,0.993394,0.990245,0.986266,1.016279,1.183839,1.171874,1.638331,0.982384,1.017951,0.974988
13,1.013536,1.032806,0.990034,1.023238,1.147070,1.018461,1.236252,1.079130,1.111169,1.121249,1.114611,1.153542,1.066343,1.118453,1.124629,1.117343,1.093544,1.128183,1.087813,1.128869,1.082444,1.076587,1.089567,1.152507,1.156960,1.369424,1.382457,1.034591,1.066273,1.341276,1.359261,1.366458,1.373072,1.013475,1.018325,0.998110,1.031849,1.394387,0.977560,1.341413,1.335663,1.373772,1.115072,1.076041,0.303653,0.693829,0.558971,1.356653,0.837340,1.398520,1.336112,1.325717,1.357161,0.567241,0.570707,0.514045,0.604837,0.539049,0.561191,0.363454,0.412240,0.562622,0.397956,0.435316,0.440978,0.534848,-0.100878,-0.088943,-0.041881,-0.052170,-0.038838,-0.096409,-0.095421,-0.098178,-0.062873,-0.078858,-0.008417,-0.019628,-0.019870,-0.010596,-0.034305,-0.097781,0.156071,0.188107,0.174665,0.161213,-0.018220,-0.031442,0.028814,0.159049,0.154902,0.172206,0.169395,0.159772,0.160156,0.188668,0.189790,0.196103,0.163099,-0.029225,0.179103,0.216327,0.176551,0.183356,0.152647,0.186038,0.160900,0.168886,-0.011911,-0.054623,0.370012,0.432555,-0.018773,-0.026189,-0.064380,-0.024281,0.392085,0.503230,0.550268,0.396795,0.400164,-0.096110,0.370250,-0.051057,0.011350,0.203965,0.160950,0.172975,0.155590,0.156988,0.116148,0.152931,0.174640,0.194155,0.176266,0.200877,-0.077935,-0.065433,-0.080111,-0.034992,-0.050948,0.017681,0.224596,-0.085635,-0.054246,-0.050984,-0.042289,0.020330,0.300469,-0.000984
14,2.011144,1.901710,2.034762,2.217943,2.243537,2.215358,2.250387,2.033540,1.825364,1.831081,1.908353,1.934403,2.000620,1.974145,1.979959,1.926263,1.874257,2.050941,1.890936,1.154246,1.203316,1.120091,1.200969,1.170397,1.245831,1.186852,1.100000,1.109344,1.835136,1.793737,1.868237,1.803242,1.839911,1.448844,1.423491,1.200278,1.994074,1.985627,1.935499,1.903862,1.858149,1.909354,1.049365,1.018288,1.171316,1.181396,1.197936,1.942955,1.952158,2.017650,1.075970,1.124202,1.108406,1.027654,0.987581,1.081172,0.993613,1.019952,1.060348,1.046692,1.149004,0.683111,1.175159,1.283457,1.065360,1.121029,1.149319,1.152391,1.123566,1.215857,1.256350,1.244208,1.141494,1.152768,1.182503,1.156544,1.204987,1.171822,1.206536,1.116181,1.084785,0.602723,0.668865,0.651031,0.606193,0.608203,0.671662,0.579086,0.605444,0.594496,0.651422,0.601965,0.598524,0.622544,0.600858,0.640050,0.617187,0.659513,0.639324,0.581099,0.608871,0.627107,0.586121,0.581487,0.611853,0.595280,0.609195,0.837104,0.549681,0.607997,0.603523,0.614542,0.869274,0.631728,0.611874,0.629868,0.579082,1.261606,0.644114,0.617298,0.513253,0.788122,0.876072,0.821129,0.840004,0.845701,0.793872,0.771791,0.615191,0.580294,0.632051,0.599996,0.319778,0.325548,0.666262,0.581965,0.555684,0.330312,0.864210,0.526180,0.578474,0.566532,0.601704,0.880637,0.858399,0.842113,0.858906,0.846650,0.866449,0.908554
15,2.127889,2.146810,2.108330,1.867842,1.852556,1.543570,2.114921,2.145640,2.130557,2.197042,1.828265,1.667362,2.071869,2.291257,2.276049,2.006494,2.099432,2.018686,2.037348,1.637209,1.605890,1.902006,1.394446,1.419416,1.661587,1.099349,1.674265,2.064428,1.951548,2.076994,2.218557,2.127139,2.107221,2.170944,2.155812,1.892466,1.860855,1.787760,1.891980,1.854712,1.921961,1.906508,1.912341,1.712436,1.516451,1.513147,1.476515,1.695713,1.658846,1.699901,1.858094,2.140188,2.267684,2.365757,2.390933,1.942690,2.391952,2.419108,1.292757,1.330553,1.324050,1.815965,2.078050,1.678949,0.766404,0.799972,1.877573,1.868464,1.995644,2.003186,0.219307,1.944073,0.230518,0.243957,1.951268,2.011580,1.598751,1.553219,1.600788,1.633755,1.580683,1.191300,1.621626,1.190259,0.779665,0.787702,0.773523,0.779166,0.774092,0.826475,0.804743,0.815966,1.813115,1.866927,0.798282,1.157894,1.170043,1.233494,1.126230,1.181808,1.168842,1.195385,1.177578,1.236345,1.149498,1.171075,1.185251,1.238753,1.594915,1.602073,1.570442,1.632061,1.591627,1.643268,1.630453,1.629905,1.608574,1.599087,1.177748,1.593143,1.603787,1.601378,1.613438,1.621499,1.609173,1.580836,1.629663,1.609716,1.628429,1.592850,1.586904,1.643606,1.616382,1.645358,1.634947,1.606301,1.629013,1.644988,1.647989,1.673171,0.882765,0.915877,0.891144,0.902248,1.096209,0.884056,0.851667,1.091323,1.095018,1.065393
