Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.639139,1.635776,0.715418,0.721301,0.692151,1.608023,1.581991,1.598423,1.578890,1.595102,1.628028,1.514131,1.503954,1.476033,1.509285,1.518193,1.482832,1.538007,0.712821,0.719416,0.649297,1.521486,0.324825,0.311227,0.306210,0.284570,0.260001,0.284678,0.296068,0.303927,0.259255,1.043574,1.060161,0.284847,0.299610,0.307465,0.314388,0.301797,0.307246,0.322842,0.330215,0.291776,0.307825,0.287548,0.288045,0.316650,0.314978,0.253087,0.294410,0.309059,0.299680,0.286334,0.274077,0.283214,0.338975,0.331598,0.282160,0.269939,0.229776,0.348081,0.279158,0.300559,0.272699,0.292997,0.296981,0.328880,0.308513,0.291754,0.283865,0.319436,0.311650,0.314466,0.305859,0.225550,0.227097,0.260818,0.358091,0.234010,0.314524,0.259928,0.395008,0.338845,0.341726,0.258516,0.224833,0.266739,0.385467,0.259210,0.245198,0.234043,0.243060,0.364536,0.244300,0.261201,0.204692,0.181668,0.155135,0.157329,0.222786,0.193636,0.154436,0.166246,0.193158,0.191011,0.246827,0.200547,0.160844,0.206755,0.169055,0.154491,0.193373,0.203225,0.247299,0.159557,0.210766,0.183536,0.187573,0.189569,0.194519,0.181772,0.185011,0.198033,0.224274,0.172088,0.173802,0.195213,0.192741,0.181416,0.187551,0.193516,0.180199,0.196573,0.196655,0.225854,0.172430,0.208679,0.175731,0.230855,0.185947,0.178805,0.171422,0.202903,0.183288,0.197944,0.188709,0.200809,0.208043,0.189012,0.249761,0.186547
1,1.591229,2.268490,2.272371,2.274673,1.150738,0.585292,0.623889,0.317642,0.324221,0.303070,0.292408,0.287121,0.329521,0.942845,0.705343,0.681379,0.846508,1.435948,1.447295,0.723764,0.707899,0.661640,0.664431,0.726819,0.717541,0.680046,0.718459,0.532330,0.523930,0.543535,0.702876,0.718013,0.668254,0.727503,0.694221,0.700976,0.696969,0.688182,1.019202,1.038285,1.074545,0.606543,0.596832,0.612811,0.632853,0.337238,0.351737,0.332555,0.328786,0.355238,0.328877,0.368902,0.344075,0.363095,0.358957,0.334774,0.385651,0.341161,0.324603,0.333535,0.038971,0.116811,1.169266,1.217712,0.073367,1.202154,1.246819,1.202557,1.199088,0.073784,0.047807,0.084881,0.092956,0.063334,0.082804,0.087300,0.119000,0.061360,0.096077,0.011199,0.073219,0.093038,0.069127,0.060907,0.076380,0.080688,0.080809,0.070978,0.064030,0.100814,0.057035,0.133632,0.106210,0.055546,0.060113,0.130179,0.100265,0.114241,0.092215,0.095460,0.781341,0.014346,0.042145,0.059517,0.068654,0.040346,0.017465,0.046419,0.029206,-0.001805,0.112967,-0.019662,0.064574,0.017240,0.090981,0.066343,0.070082,0.073172,0.041824,0.020738,0.019111,0.020830,0.011517,-0.009046,0.010441,-0.008998,0.007237,0.012078,0.009777,-0.040696,-0.027328,0.058062,-0.023105,-0.038843,-0.051893,-0.031405,-0.062244,0.001753,-0.009487,0.023428,0.014660,-0.050803,-0.025222,-0.040251,-0.004876,-0.001061,-0.041786,-0.045634,0.030529,-0.011391
2,1.607382,1.563372,6.913148,1.985080,2.832985,0.878153,2.008457,1.567922,1.575216,1.596861,1.592358,1.609652,1.590467,1.548055,1.542055,1.615700,1.536016,1.528672,0.985030,0.755912,1.235071,0.749097,0.810025,0.749273,0.792500,0.766796,0.770515,0.636391,0.652677,0.644115,0.656055,0.672459,0.637497,0.669860,0.654849,0.188907,0.168521,0.221343,0.147662,0.185360,0.156470,0.177257,0.166317,0.154924,0.162320,0.156450,0.177486,0.226773,1.063084,0.189891,0.211883,0.194395,0.189101,0.184252,0.197260,0.145112,0.165707,0.162714,0.148765,0.203107,0.158149,0.193250,0.217669,0.228073,0.227444,0.188512,0.171417,0.197682,0.216385,0.184439,0.176080,0.192027,0.203729,0.167561,0.226146,0.169820,0.539199,0.572087,0.561778,0.553719,0.522359,0.194728,0.134388,0.176005,0.178155,0.192603,0.194629,0.181536,0.177626,0.191968,0.408538,0.404588,0.400460,0.402032,0.568386,0.552183,0.557292,0.350573,0.346647,0.322385,0.381813,0.386489,0.343407,0.338723,0.333951,0.373593,0.345893,0.361116,0.346121,0.376353,0.367605,0.344816,0.364822,0.346944,0.340790,0.400685,0.370858,0.379840,0.365990,0.315134,0.371251,0.324048,0.362351,0.323704,0.349181,0.330788,0.335940,0.344744,0.355781,0.329731,0.220534,0.364454,0.334728,0.366076,0.349452,0.361182,0.371481,0.347805,0.382768,0.360639,0.362946,0.352431,0.313915,0.339777,0.379023,0.364480,0.365692,0.328860,0.332286,0.316960
3,1.679893,1.691963,1.851544,1.805135,1.869306,1.006770,0.993463,0.963736,2.142370,2.115817,2.105839,0.169828,0.182167,0.166421,0.161845,0.137005,0.159891,0.177563,0.146092,0.151140,0.144089,0.160417,0.375530,0.126303,0.158948,0.529072,0.177030,0.636920,0.623529,0.515270,0.482391,0.658044,0.494743,0.498466,0.490154,0.515276,0.471812,0.487253,0.601701,0.588109,0.595654,0.592418,0.574264,0.471958,0.490905,0.491443,0.532643,0.590297,0.473614,0.468530,0.480160,0.465817,0.492077,0.511979,0.537940,0.589301,0.462556,0.535011,0.514449,0.568256,0.489636,0.577410,0.157107,0.486252,0.164278,0.196789,0.213349,0.180943,0.189472,0.168131,0.143626,0.167038,0.151494,0.190727,0.193521,0.190255,0.204125,0.243791,0.156463,0.195369,0.147415,0.105236,0.166280,0.164555,0.154341,0.183340,0.130554,0.198716,0.161258,0.172805,0.133350,0.075245,0.138275,0.189152,0.175399,0.151807,0.164207,0.123356,0.140485,0.150015,0.168390,0.153402,0.181479,0.205446,0.164306,0.159386,0.148108,0.131975,0.132632,0.157646,0.131254,0.200687,0.161000,0.177578,0.144957,0.124464,0.149679,0.162177,0.180425,0.205438,0.174614,0.152678,0.166229,0.185228,0.214256,0.181336,0.127473,0.155331,0.165696,0.147321,0.129061,0.183792,0.159410,0.135227,0.198932,0.203513,0.145316,0.184989,0.152364,0.138980,0.221716,0.185400,0.159349,0.144522,0.145213,0.184981,0.203489,0.186706,0.165000,0.164226
4,1.165500,1.205818,1.225903,1.205540,1.148592,1.486010,1.479627,1.495913,0.951429,1.391680,1.366157,1.362855,1.400836,1.333604,1.385636,1.296902,1.283987,1.262979,1.266128,1.260708,1.262761,1.295120,1.269751,1.286705,1.269175,1.239166,1.252837,0.608153,0.594973,0.647935,0.610259,0.576915,0.631464,1.518374,1.489689,1.489060,1.272466,0.615943,0.647585,0.637673,0.626140,0.614083,0.644539,0.610079,0.620686,0.605881,0.614323,0.631331,0.635145,1.118370,1.025513,1.092981,1.093044,1.088190,1.090217,1.059183,1.096810,1.102068,1.512718,1.088732,1.082991,1.091261,1.027357,1.066841,1.059903,1.527796,1.478296,1.505545,0.629207,0.594928,0.606290,0.606456,0.632039,0.617637,0.622701,0.587670,0.614760,0.601106,0.599786,0.643094,0.629705,0.621011,0.607156,0.624996,0.618555,0.620877,0.633953,0.618664,0.637929,0.612664,0.637469,0.627063,0.619332,0.641954,0.634368,0.626304,0.635009,1.068197,1.031260,1.064183,1.052629,1.063656,1.063377,1.082122,1.051964,1.063115,1.091704,1.055648,1.063050,1.060266,1.042536,1.053214,1.050001,1.060392,1.037604,1.052618,1.048592,1.065692,1.030978,0.599460,1.043329,1.048375,1.065069,1.069307,1.028037,1.037254,0.997940,1.059710,1.062741,1.068869,1.045630,1.013263,1.074654,1.085847,1.043774,1.073360,1.107098,1.085178,1.088539,0.343930,1.069025,1.067799,1.039810,1.102582,1.093225,0.289402,0.213975,0.244566,0.610731,1.073850
5,1.605524,1.598779,1.582406,1.957655,1.511414,1.501906,1.516536,1.489512,1.579421,1.618743,2.508996,1.541602,1.559838,1.488916,1.528736,1.057569,1.085001,1.096158,1.073846,1.051070,1.036293,1.064498,2.160579,1.364734,1.090808,1.371820,1.117099,0.576472,0.568329,0.555018,0.524811,0.563433,0.545706,0.555230,0.500665,0.521439,0.543530,0.499926,0.573531,0.788516,0.030038,0.072111,0.066657,0.042401,0.004009,0.817229,0.819261,0.836038,0.830622,0.820675,0.799460,0.806904,0.748576,0.768543,0.779808,0.758562,0.739750,0.852147,0.805642,0.805175,0.828120,0.998961,0.823339,0.993867,0.980126,0.960591,0.747872,0.963335,0.737580,0.980779,1.080377,0.981812,0.786656,0.830443,0.957513,0.787418,0.754265,0.980766,0.928497,0.967940,0.763377,0.809834,0.984337,0.991582,0.978441,0.965726,0.760279,0.792020,0.778514,0.804170,0.973644,1.014080,0.999986,0.998516,0.992197,0.789521,0.765210,0.944021,0.982612,0.997579,0.967027,1.008793,0.956619,1.019922,0.941278,0.995041,0.987652,0.990028,0.931348,0.965283,0.928159,0.936748,0.793944,0.827573,0.812196,0.771318,0.820657,0.813719,0.911657,0.906447,0.780731,0.801870,0.825365,0.781781,0.796345,0.815647,0.820560,0.817212,0.802376,0.800679,0.809379,0.799927,0.800766,0.841941,0.785399,0.808544,0.825207,0.792733,0.789950,0.815279,0.778262,0.810866,0.821828,0.805015,0.846725,0.785236,0.794964,0.809525,0.748374,0.821996
6,5.005299,1.816017,1.821646,1.837235,1.812489,1.839448,1.843525,1.821698,1.861731,1.832495,1.854836,1.808472,1.838101,2.002880,2.014929,1.789528,1.749581,0.360853,0.416228,0.330631,0.330308,1.752278,1.733540,0.953898,0.923711,0.941010,1.743012,1.277120,1.014259,0.992337,1.000716,1.024067,0.993707,0.923791,0.960648,0.955798,0.952366,1.037215,1.110875,1.096129,1.424519,0.793447,0.798535,0.788603,0.786071,0.739102,0.965828,0.936786,0.945288,0.763358,0.656848,0.157079,0.774032,0.749435,0.156847,0.295538,0.281900,0.298704,0.308407,0.286401,0.235026,0.334884,0.051388,0.034299,0.072181,0.063327,0.076275,0.045635,0.296325,0.023676,0.212930,0.239194,0.229761,0.250617,0.214408,0.244801,0.041158,0.079235,0.041231,0.019750,0.286841,0.012572,0.044629,0.553794,0.043456,0.085895,0.166743,0.178492,0.319805,0.331428,0.354645,0.364362,-0.070596,-0.029785,-0.048025,0.001280,-0.075638,-0.008509,0.021409,-0.045573,-0.027031,-0.034788,-0.021404,-0.058367,-0.089908,-0.024786,-0.058840,-0.039225,0.017138,-0.068365,-0.050859,-0.040045,-0.063003,-0.042147,0.006521,-0.020375,0.195867,0.239949,0.197006,-0.072495,-0.003717,0.221723,-0.069969,-0.072381,-0.026880,-0.030077,0.205953,-0.049449,0.143996,-0.054315,0.104538,-0.039704,-0.038449,0.121872,-0.035775,0.105206,0.119828,0.090942,0.094843,0.114656,0.102694,0.110582,0.082600,0.111963,0.095350,0.112877,0.172566,0.055504,0.225547,-0.039212
7,1.529915,1.569584,4.356041,3.656599,3.644145,3.184452,3.185721,3.190883,1.029283,1.000060,1.019353,2.057473,1.014233,1.052428,1.030559,1.034077,1.010038,1.532803,1.605195,0.759912,0.850419,0.857408,0.788439,0.808213,0.827652,0.812066,0.788486,0.802876,0.797704,0.795189,1.671979,1.723848,1.651418,1.687997,0.773870,0.796772,0.820346,0.807013,0.832537,0.813374,0.784069,0.812113,1.367538,0.872988,0.806092,0.783650,1.079837,1.399224,1.387122,1.332679,1.375948,1.378397,1.375454,1.372634,1.238780,1.263348,1.257888,1.258214,1.296978,1.243530,1.225803,1.226928,1.305023,1.253012,1.255610,1.138641,1.218532,1.131115,1.282502,1.307407,1.265504,1.255975,0.796986,1.275882,1.250644,0.771879,1.255953,0.813243,0.747714,0.782160,0.749920,0.795549,0.783915,0.739349,0.774204,0.922106,0.941560,1.106692,1.106266,0.791558,0.904491,0.935113,0.925299,0.908370,0.983970,1.104020,1.116453,1.137237,1.079155,1.071806,1.103831,1.126086,1.122786,1.108960,1.096408,1.124835,1.106877,1.107478,0.781438,1.139871,1.141492,1.074989,0.839082,0.805844,0.821255,0.779286,1.104473,0.777589,0.817405,1.098335,0.816485,1.096076,0.814584,1.093280,1.124304,1.105353,0.896265,1.114798,1.086104,0.880255,0.891400,1.111868,0.874353,1.127247,0.853217,0.839355,1.084949,1.096961,1.152797,0.860053,0.863238,0.887681,0.921774,0.898822,0.892628,0.893445,0.876967,0.856838,0.865443,0.857666
8,1.979125,1.927280,1.946963,1.979359,1.960999,1.310879,1.385001,1.323705,1.739955,2.727876,2.740951,2.167301,2.121155,2.170724,2.165027,1.908506,1.006211,1.891720,2.149406,2.180851,1.474323,1.530254,1.496624,1.942891,1.856201,1.920390,1.505661,1.503564,1.498257,1.505015,1.528662,1.524055,1.502938,2.157035,1.913986,1.930335,1.396411,1.400040,1.933147,1.037524,0.993602,1.014200,1.060227,1.032669,1.038940,0.986658,1.001233,1.038983,0.990926,1.049075,1.019939,0.762962,1.012035,0.784907,0.577533,0.532201,0.542971,0.543803,0.560065,1.330755,1.307496,1.335256,1.312482,1.307024,1.361707,1.341410,0.728119,1.335070,1.301147,1.312277,1.311841,1.347123,1.270875,1.258158,1.247204,0.754314,1.287423,1.257572,0.762961,1.184700,1.278574,1.221311,0.732433,0.736042,0.755824,0.739065,0.749414,1.031979,0.746919,0.993391,1.034281,1.017119,0.977367,0.643201,0.989116,1.002090,1.015125,1.029333,1.003590,0.994994,1.041811,1.043598,0.165230,0.174967,0.358722,0.399261,0.372006,-0.064600,-0.076778,-0.059390,-0.104442,-0.077961,-0.067720,-0.087394,-0.099719,-0.066753,-0.077813,-0.026402,-0.009583,-0.040843,-0.085518,-0.040597,-0.091321,-0.077093,-0.105387,-0.071919,0.491749,0.471330,0.502141,-0.069768,-0.071641,-0.052530,-0.061797,-0.108620,-0.056740,-0.126751,-0.085482,-0.107231,-0.057182,-0.058462,-0.036758,-0.090008,-0.063518,-0.100567,-0.101357,-0.061472,-0.048678,-0.076219,-0.034142,-0.111925
9,1.560082,1.552790,1.814198,1.022730,0.999889,0.978348,1.089099,1.075946,1.141874,1.052588,1.147128,1.118651,1.085826,1.092306,1.106572,1.374139,1.361555,1.366651,1.331446,0.994908,1.018712,0.982395,1.018648,0.890203,0.853731,0.879210,0.868346,0.893020,0.905783,0.875737,0.851440,0.859446,0.897148,0.923276,0.877758,0.888717,0.880352,0.851996,1.048894,0.998600,0.875106,1.009796,0.948306,1.002611,1.032709,0.991415,1.020699,1.013555,1.019394,0.981940,1.004997,1.049127,0.985259,0.977950,0.342426,0.304871,0.349581,0.345283,0.962845,0.976975,0.874280,0.379188,0.416577,0.420892,0.362891,0.405496,0.399715,0.424311,0.384330,0.150571,0.430950,0.365631,0.363377,0.208890,0.150169,0.407019,0.400074,0.391445,0.302563,0.052991,0.096596,0.300171,0.300254,0.301543,0.277492,0.249063,0.266458,0.068867,0.075097,0.080048,0.088681,0.079481,0.068837,0.075414,0.070837,0.076877,0.057503,0.087475,0.083141,0.057177,0.029930,0.081838,0.077604,0.062334,0.027926,0.058891,0.042418,0.080086,0.049200,0.073371,0.079183,0.132062,0.086043,0.062618,0.095127,0.053784,0.048906,0.100956,0.339366,0.165025,0.063721,0.110947,0.118934,0.091153,0.084058,0.134668,0.019991,0.073961,0.156951,0.072076,0.100652,0.031590,0.292076,0.048681,0.054014,0.047978,0.075561,0.073478,0.165319,0.117499,0.072246,0.073179,0.098406,0.152481,0.098148,0.084408,0.102674,0.100736,0.075391,0.100711
10,1.619224,2.683429,2.675513,2.614500,2.611488,2.611816,1.307485,1.319221,1.363618,1.308406,1.283546,1.234712,0.972223,0.957640,1.229796,1.328627,1.342055,1.372121,1.337458,1.359438,1.751667,1.791736,1.795288,1.566657,1.514188,1.527463,1.543567,1.508528,1.520578,1.501154,1.533119,1.527804,1.505142,1.329792,1.263677,0.848760,0.835972,0.890305,1.143434,0.847818,1.122370,1.636620,1.628922,1.144339,0.842106,0.903430,0.845794,0.854904,0.863744,0.801936,0.830152,0.861958,0.877472,0.871281,0.847574,0.951898,0.998112,1.667412,0.960523,1.616088,0.957827,1.241854,1.243957,1.268727,1.182277,1.176938,1.241342,1.204209,1.199469,1.170010,0.941458,0.917698,0.993494,0.954344,1.117463,0.941863,0.842136,0.856511,0.830003,0.865787,0.841968,0.859488,0.866561,0.873351,0.890238,0.847014,0.823031,0.821003,0.848880,0.848494,0.898960,0.891487,0.895569,0.869597,0.868967,0.862797,1.070579,0.856638,0.880249,0.857670,0.868654,0.843724,0.867118,1.035497,1.023819,1.013876,0.845208,1.051166,0.836129,1.054326,1.067022,1.066754,0.864505,0.429698,0.406034,0.428115,0.432169,0.445253,0.446039,0.443078,0.269646,0.229433,0.448148,0.410571,0.430343,0.453766,0.205687,0.403795,0.385282,0.432014,0.382000,0.421629,0.173320,0.157459,0.189266,0.182408,0.190110,0.176545,0.182027,0.046068,0.025051,0.038780,0.042956,-0.013228,0.067756,0.013768,0.183182,0.040537,0.051335,-0.020702
11,1.578708,1.830509,1.839831,2.121830,0.920896,0.677482,0.653689,1.308177,1.339009,1.321777,1.350393,1.365597,0.788038,0.731872,0.784013,1.027585,0.405679,0.471395,0.456638,0.437277,1.032575,0.574463,0.576000,0.547637,0.569084,0.539889,0.608275,0.609908,0.557533,0.567602,0.602747,0.785147,0.558049,0.586761,0.597757,0.554705,0.569792,0.579221,0.576864,0.641926,0.559921,1.258766,1.215617,0.795530,0.365816,0.754260,0.376501,0.373885,0.524572,0.588405,0.504795,0.760189,0.482990,0.508349,0.829593,0.226581,0.600648,0.592198,0.186517,0.187787,0.578359,0.536211,0.209236,0.200974,0.193776,0.216379,0.257493,0.448709,0.209654,0.436996,0.415142,0.425597,0.540484,0.546527,0.548646,0.392185,0.422191,0.436187,0.348785,0.431204,0.425879,0.418743,0.411248,0.408990,0.432051,0.430374,0.362850,0.198667,0.389732,0.380698,0.334699,0.347100,0.379195,0.354810,0.378247,0.338550,0.334611,0.344959,0.324376,0.300768,0.282429,0.334304,0.313299,0.359093,0.340196,0.302014,0.298043,0.331645,0.273733,0.315098,0.291920,0.360483,0.336855,0.342858,0.323515,0.305533,0.305694,0.348665,0.312906,0.324964,0.330109,0.286560,0.328269,0.312843,0.336859,0.336186,0.358603,0.345208,0.295988,0.344012,0.325180,0.352683,0.295116,0.308508,0.358393,0.318954,0.407604,0.392367,0.343964,0.360111,0.322996,0.319929,0.341501,0.364283,0.342552,0.339746,0.325567,0.303564,0.333954,0.341983
