Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.774698,1.740045,1.119955,1.128469,1.704733,1.131552,1.682618,1.666584,1.124401,1.707372,2.924601,1.641514,1.620085,1.674697,1.674382,1.137995,1.137004,1.089089,1.141629,1.122225,1.109257,1.119093,1.088715,1.127248,1.084607,1.119955,1.101432,1.118054,1.114815,1.105419,1.206625,1.124823,1.214799,1.178441,1.159592,1.162178,1.165041,1.168761,1.177952,1.187948,1.113346,1.104461,1.097272,1.125973,1.148695,0.806413,0.801975,0.781721,0.821994,0.811511,0.836583,0.804112,0.792002,0.811819,0.775472,0.790634,0.805555,0.817765,0.773882,0.802190,0.961707,0.841344,1.004345,0.817605,0.970952,0.979709,0.946178,1.004164,0.989551,0.967630,0.976925,1.002350,0.992310,0.991229,1.007923,0.990015,0.984573,0.685520,0.992847,0.945873,0.949672,0.982286,1.296402,0.954724,0.714855,0.637266,0.709328,0.572966,0.633960,0.687565,0.658789,0.698924,0.673237,0.682336,0.687116,0.578581,0.592644,0.615060,0.584655,0.613450,0.579263,0.643641,0.577821,0.695950,0.687179,0.692880,0.657490,0.670066,0.686117,0.681165,0.682335,0.674115,0.959238,0.799910,0.983406,0.977794,0.674690,0.665181,0.980727,0.667758,0.717311,0.665822,0.690172,0.677428,0.985846,0.956947,0.664903,0.704239,0.685505,0.727958,0.703332,0.694202,0.616737,0.703389,0.592222,0.592370,0.613478,0.553644,0.606340,0.552639,0.584264,0.578485,0.581496,0.631625,0.681224,0.582583,0.652308,0.630820,0.644259,0.593591
1,1.544837,1.536929,1.520249,1.569564,1.429825,3.171488,3.148701,0.802173,1.462937,1.443365,1.456499,0.980703,2.795636,1.259799,1.254933,1.233971,1.228073,1.222541,1.273716,1.232813,1.279243,1.166419,1.247977,1.220123,1.248405,1.249649,1.247729,1.149528,1.285450,1.238301,0.413163,0.458438,0.415865,0.449868,0.426709,0.466245,0.412490,0.460850,0.402951,0.349607,0.329213,0.350917,0.366680,0.368519,0.310140,0.305101,0.364772,1.126941,1.157071,1.130532,1.151365,1.161575,1.006746,1.001114,0.970100,0.963301,0.975920,0.944020,1.146229,0.974429,0.998628,1.124172,1.005055,0.666923,0.704016,0.105554,0.661304,0.703337,0.653801,0.676861,0.672900,0.659400,0.628720,0.630553,0.923313,0.680446,0.659567,0.898975,0.893840,0.914303,0.909006,0.897440,0.915843,0.907011,0.925353,0.921345,0.899804,0.953462,0.918562,0.894160,0.906067,0.908294,0.901619,0.932711,0.927818,0.905456,0.904642,0.959487,0.879132,0.677583,0.646616,0.856441,0.731295,0.911913,0.688463,0.918991,0.758742,0.893472,0.883380,0.852164,0.831324,0.714044,0.835520,0.801876,0.837904,0.467402,0.865900,0.816055,0.479183,0.836945,0.497956,0.873759,0.707884,0.547424,0.535177,0.538390,0.524789,0.533437,0.559236,0.548004,0.548849,0.553698,0.546120,0.547616,0.520024,0.523375,0.521002,0.537763,0.533092,0.537894,0.523440,0.562550,0.525161,0.553233,0.538406,0.550667,0.599201,0.522951,0.577503,0.532120
2,2.053295,1.605154,2.401468,2.382767,2.392166,1.623682,1.586280,1.595891,1.594278,1.595436,2.230188,1.929296,1.921604,1.135936,1.144183,1.149998,0.704043,0.693493,0.680288,0.727232,0.697964,0.666554,0.703296,0.252824,0.190806,0.149682,0.165387,0.319080,0.190824,0.388500,0.368295,0.143766,0.144296,0.170668,0.207604,0.337829,0.224823,0.339678,0.356815,0.359824,0.334477,0.475968,0.338244,0.328363,0.373200,0.343819,0.329217,0.318307,0.337832,0.466703,0.457521,0.336084,0.497011,0.449047,0.488201,0.204865,0.235084,0.450085,0.248162,0.448104,0.310897,0.314948,0.329559,0.314204,0.312635,0.317699,0.330638,0.340066,0.339036,0.329401,0.330622,0.297354,0.333486,0.307824,0.327626,0.329107,0.337897,0.340236,0.370550,0.357060,0.206178,0.454052,0.324242,0.353630,0.341760,0.364099,0.317231,0.355811,0.134169,0.324816,0.320439,0.145830,0.083736,0.221864,0.328920,0.210684,0.104904,0.140970,0.156484,0.393468,0.334131,0.315916,0.145260,0.306103,0.150100,0.146993,-0.073473,-0.050337,-0.065427,-0.059890,-0.075457,-0.058756,0.114943,-0.065477,-0.064820,-0.098553,-0.084794,-0.094813,-0.084172,-0.104651,-0.097148,-0.027965,-0.044482,-0.067658,-0.097028,-0.073595,-0.082176,-0.076569,-0.026274,-0.073250,-0.109318,-0.024698,-0.119336,-0.054539,-0.106997,-0.081910,-0.050838,-0.069934,-0.083586,-0.053409,-0.056902,-0.038545,-0.093318,-0.085623,-0.102803,-0.109865,-0.077958,-0.043582,-0.055530,-0.078888
3,1.561739,1.618723,1.990058,1.989297,1.991840,2.018772,2.063004,2.062105,2.053849,1.403301,1.389370,1.440994,1.385923,1.359067,1.418575,1.390463,1.410764,2.015196,2.338182,1.822830,1.871009,1.855181,1.875064,1.754925,2.309286,2.343783,2.359234,1.578257,1.575043,1.544739,1.554401,1.554005,1.560538,1.545404,1.527814,1.558857,1.595467,1.334618,1.324232,1.558809,1.407469,1.260714,1.356726,1.559828,1.562805,1.525719,1.539367,1.573946,1.380174,1.406061,1.545525,1.375060,1.400118,1.434279,1.424446,1.452246,1.393059,1.387486,1.391239,1.374186,1.423239,1.355929,1.397632,1.376101,1.368292,1.419335,1.385430,1.383752,1.393012,1.418544,1.372524,1.413476,1.423756,1.201838,1.187688,1.189426,1.211872,1.184106,1.204597,1.218653,1.249684,1.433671,1.182729,1.191612,1.406553,1.249111,1.272113,1.265183,1.378257,1.247138,1.170488,1.277114,1.262688,1.200527,1.178167,1.260622,1.214570,1.196239,1.235374,1.235886,1.204778,1.178191,1.163132,1.202117,1.222041,1.225330,1.175854,1.218225,1.203662,1.203874,1.232174,1.181280,1.195368,1.188307,1.193800,1.179733,1.227167,1.228516,1.202897,1.211484,0.734059,0.779925,1.188666,1.204270,0.779498,1.223293,0.776865,0.751381,0.725273,0.790134,0.746084,0.718147,0.803261,0.776332,0.810058,0.822745,0.733638,0.800083,0.768180,0.757373,0.756696,0.855725,0.800514,0.756380,0.719645,0.754196,0.774339,0.748733,0.749946,0.743114
4,1.581043,1.253258,1.233247,1.267277,1.243097,1.268698,1.225210,1.212557,1.261268,2.400036,1.776603,2.365767,2.412159,1.255318,2.456914,2.422012,1.274643,1.255111,2.498577,1.249228,2.365944,2.460520,2.323414,2.362176,2.340173,1.176293,1.155313,1.893357,1.922966,0.829083,0.865586,0.874973,0.860739,0.885097,1.556473,1.614388,0.860952,0.865254,1.566223,0.827075,0.892730,0.856597,0.868202,0.865714,0.852348,0.814820,0.905818,0.843113,0.884658,0.926364,0.875817,0.907537,0.823529,1.586736,1.600970,0.874442,1.584933,0.864012,0.820789,0.856072,0.868455,0.901069,0.858814,1.626806,1.574620,1.544031,1.606596,0.910456,0.872890,0.899524,1.579017,0.861838,0.849915,1.597435,1.571143,0.886085,0.866506,0.885423,0.871256,0.873825,0.875980,1.566261,0.869361,1.603916,1.598593,1.573454,0.874245,0.895650,0.643574,0.655625,0.856534,0.347260,0.381230,0.355697,0.383357,0.388584,0.382382,0.378062,0.374426,0.333097,0.380116,0.343634,0.364004,0.354711,0.874735,0.857355,0.841736,0.036359,-0.014986,0.017307,0.414167,0.017097,0.001857,0.019352,0.391537,0.028073,0.012262,0.094055,0.134498,0.136602,0.150178,0.023221,0.029623,0.031557,0.032000,0.000563,0.007410,0.141790,0.051244,0.094234,0.170170,0.054130,0.364110,0.402567,0.192968,0.023372,0.024103,-0.015375,0.025964,0.882534,-0.044716,0.883195,0.029367,0.397187,0.026359,0.005797,0.086804,0.020208,0.011428,0.056231
5,1.536689,1.562478,2.067448,1.574312,1.586481,2.049592,2.066205,2.099113,1.836027,1.610047,1.587302,0.207343,0.253670,0.212695,0.205008,2.097620,2.044971,2.059720,1.784194,0.290091,0.290925,0.296368,1.808061,1.536865,1.534644,1.302420,1.784133,1.670427,1.779570,0.210285,0.206910,0.205179,0.282121,0.314217,0.489715,0.510228,0.460815,0.455065,0.728708,0.697383,0.708430,0.718238,0.806465,0.661357,0.471387,0.508640,0.084805,0.156457,0.140633,0.722784,0.083786,0.083723,0.140780,0.123962,1.129549,0.097008,0.105241,0.081222,0.089576,0.101322,0.093363,0.134581,0.131890,0.147464,0.080534,0.097544,0.106299,0.118267,0.089693,0.118014,0.119521,0.070767,0.146687,0.283964,0.102844,0.238165,0.247756,0.226353,0.239133,0.153610,0.122837,0.084855,0.102983,0.181983,0.112350,0.137472,0.118649,0.096748,0.095373,0.117818,0.102110,0.100077,0.110791,0.089512,0.092178,0.094049,0.078696,0.117979,0.122736,0.110527,0.102005,0.049568,0.121054,0.161358,0.113072,0.132660,0.100059,0.115748,0.132199,0.149249,0.092634,0.098694,0.068220,0.093754,0.115118,0.101649,0.099739,0.124965,0.105870,0.112933,0.135468,0.115565,0.097137,0.146567,0.113738,0.116503,0.132133,0.099387,-0.156137,-0.172265,-0.177351,-0.106526,-0.130289,0.225551,-0.158563,0.236334,-0.125886,-0.147515,-0.144906,-0.158980,0.011538,0.089285,-0.175080,-0.139984,0.252570,0.243449,0.033766,-0.117869,-0.176056,0.135062
6,1.605000,1.485139,1.587213,1.608905,1.593387,2.549143,2.519833,2.531032,2.534228,1.937584,1.933835,1.914444,1.975231,1.903093,1.945835,0.845170,0.637903,0.640524,2.246392,1.244331,1.239734,1.201567,1.010673,1.011070,1.025293,1.035193,1.072315,1.034963,1.022785,1.005404,1.192799,1.163786,1.214582,1.238023,1.193076,1.190911,1.241436,1.259114,1.212240,1.191114,1.199333,1.200355,1.213903,1.206807,1.185171,1.172571,1.198159,1.216793,1.217174,1.217740,1.213016,1.172297,1.231377,1.204584,1.241575,1.207740,1.174960,1.192418,1.200668,1.207157,1.209184,1.182699,1.215756,1.212370,1.203773,1.191838,1.226352,1.320711,1.289981,1.367043,1.325707,1.291493,1.275698,1.295916,1.307916,1.305855,1.315370,0.223836,0.239392,0.266721,0.257239,0.284881,0.274132,0.237910,0.208397,0.203521,0.254791,0.219835,0.229627,0.255069,0.291978,0.220015,0.212751,0.247862,0.206836,0.272126,0.215024,0.196048,0.205823,0.211334,0.202064,0.189227,0.194783,0.278414,0.219379,0.199104,0.079181,0.069541,0.227658,0.212353,0.276363,0.255736,0.212739,0.246785,0.233810,0.323543,0.230025,0.221748,0.184202,0.206071,-0.068194,-0.066775,-0.120346,-0.097174,-0.085945,-0.110524,-0.105153,0.287774,-0.119028,-0.101778,0.246102,0.277194,0.221546,-0.120064,-0.072042,-0.103926,0.256114,-0.131117,-0.054538,-0.104608,-0.120700,-0.094067,-0.045023,0.122421,0.064267,0.127431,0.225529,-0.108470,-0.155966,-0.091065
7,1.645690,1.636441,1.625499,1.639161,1.602352,1.614956,1.443694,0.871776,0.881424,0.892499,1.188354,0.810915,0.888170,0.878851,0.788391,1.181175,1.864573,1.604427,1.625262,1.624902,1.895134,1.085130,1.161687,1.137343,1.554633,1.647132,1.125926,1.149941,1.146158,1.209390,1.130260,1.130339,1.132477,1.186058,1.116431,1.153982,1.202349,1.144593,1.306481,1.114366,1.153892,1.175839,1.151124,1.149526,1.275596,1.302873,1.273949,1.252759,1.176231,1.480179,1.504422,1.532091,1.563032,1.538517,1.569450,1.575155,1.158765,1.118190,1.170953,1.148248,1.183842,1.150832,1.165589,1.136042,1.130532,1.122800,1.553152,1.164539,1.143209,1.125949,1.158835,1.149308,1.095816,1.141883,1.135335,1.613670,1.132402,1.124549,1.164578,1.132481,1.182459,1.133690,1.151806,1.142513,1.125930,1.177668,1.127356,1.128982,0.980498,1.061599,1.131909,1.174192,1.010923,1.119447,1.046916,1.548530,1.550869,1.080722,1.063256,1.094404,0.999578,1.035163,1.076234,1.033468,1.176594,1.029291,1.571753,1.539025,1.550080,1.604755,1.583793,1.556552,1.598596,1.601247,1.577301,1.587975,1.617255,1.626069,1.606080,1.592492,0.741383,1.595526,1.147092,1.209865,1.026374,1.164574,1.197910,1.185917,1.172764,1.187895,1.173760,1.153396,1.191691,1.203086,1.157141,1.167343,1.201385,0.897304,0.907573,0.924216,0.950908,0.906467,0.949384,0.905611,0.936850,0.913801,0.915597,0.938744,0.912017,0.900644
8,1.586355,1.037181,1.031403,1.023962,1.060245,0.993097,1.399125,1.390301,1.434480,1.405308,1.391181,0.660170,0.620910,0.632106,0.652358,1.155208,1.148853,1.110353,0.626339,0.629187,0.658119,0.644433,0.654464,0.367812,0.322253,0.306466,0.336724,0.297843,0.283572,0.328284,0.317564,0.339202,0.266995,0.328327,0.327715,0.294699,0.337528,0.309606,0.350610,0.261961,0.321271,0.287203,0.313144,0.310037,0.305794,0.274869,0.340240,0.290768,0.275741,0.354914,0.410831,0.318479,0.236539,0.250753,0.412897,0.395477,0.216175,0.277815,0.289390,0.525710,0.327658,0.284692,0.317284,0.360983,0.364602,0.332184,0.315335,0.253922,0.342547,0.317978,0.288472,0.321327,0.324282,0.294593,0.274521,0.298664,0.298622,0.300237,0.299796,0.262886,0.286041,0.277264,0.323087,0.298234,0.276778,0.261050,0.292700,0.313342,0.285799,0.337757,0.296508,0.093084,0.090212,0.036585,0.079320,0.306786,0.349721,0.326419,0.318516,0.316478,0.324094,0.103439,0.315304,0.305982,0.323592,0.356392,0.284317,0.282841,0.292988,0.307967,0.321600,0.293201,0.309439,0.317898,0.299126,0.308432,0.291536,0.329018,0.305951,0.278938,0.324573,0.325818,0.317117,0.329142,0.318469,0.256869,0.278796,0.307168,0.355849,0.287373,0.297817,0.290437,0.274854,0.307742,0.279051,0.284466,0.291417,0.316590,0.325531,0.285890,0.442763,0.286391,0.304382,0.322275,0.434397,0.297333,0.286059,0.278117,0.326570,0.299367
9,1.900718,1.957718,1.518013,1.524719,1.602721,1.536263,1.550165,1.542595,1.500570,0.838237,1.595557,1.577070,1.571697,1.580619,1.609030,1.907364,1.932353,1.913883,1.910144,1.761661,1.298476,1.255264,0.642968,0.694171,0.724679,0.895550,0.645591,0.713418,0.713735,1.412160,0.909755,0.896327,0.889451,1.132044,1.127366,0.852651,1.096343,1.105394,1.135125,0.911551,0.892608,0.925765,1.088055,0.927945,0.905010,0.927099,0.881809,0.893639,0.972248,0.914937,0.908118,0.886278,0.928066,0.895252,0.898224,0.924642,0.825473,0.818069,0.811519,0.866186,0.837819,0.821345,1.052293,0.833600,0.880851,0.832220,0.849374,0.840269,0.792844,0.842696,0.816617,0.815782,0.851203,0.843954,0.787731,0.834205,0.789707,0.799653,0.850440,0.840907,0.797384,0.788276,0.814946,0.823785,0.813133,0.854966,0.860411,0.866170,0.810674,0.846859,0.819436,0.841480,0.846847,0.889416,0.891327,0.802445,0.901494,0.829969,0.909321,0.837815,0.809108,0.837623,0.807401,0.830715,0.814521,1.079967,0.834769,0.827305,0.837148,1.017355,0.842918,1.043354,1.003993,0.999367,0.880084,0.842531,0.835487,0.851326,1.032212,0.840390,0.858649,0.826728,0.789918,0.827353,0.872307,0.848706,0.857424,0.934200,0.871339,0.843377,0.840065,0.886029,0.790723,0.850306,0.806923,0.767421,0.820147,0.811120,0.909024,0.826798,0.849845,0.787485,0.808999,0.834529,0.843927,0.926395,0.928707,0.901137,0.899359,0.901829
10,1.579245,1.560270,1.584993,1.443900,1.438014,1.552746,1.088056,1.470517,1.188726,1.238069,1.186786,0.310536,0.978754,1.025256,1.002736,1.006171,1.004148,1.011294,1.133992,1.149612,1.160924,0.294757,1.167038,1.171815,1.189429,1.172046,1.184900,0.296560,1.167670,0.280760,0.309926,0.275166,0.282884,0.305607,0.308856,0.339167,0.261000,0.266041,0.272536,0.243562,1.566408,0.241440,0.276429,0.271653,0.263905,0.293732,0.262994,0.269220,0.636560,0.277703,0.301424,0.306093,0.305334,0.305734,0.295434,0.284541,0.308923,0.233999,0.284119,0.641597,0.253861,0.632174,0.586502,1.100887,0.299506,0.584288,0.309145,0.337671,0.243861,-0.021812,-0.012681,0.271582,-0.013101,0.000494,0.272036,0.017990,0.326980,0.002264,-0.002238,-0.006559,-0.021163,-0.014120,0.008550,0.009533,0.008134,0.009927,0.027262,-0.005382,0.020850,-0.031422,-0.019097,-0.034536,-0.006153,-0.001552,0.021334,-0.007589,-0.016645,-0.013448,-0.005633,0.005443,0.019949,-0.038400,-0.024395,-0.014203,-0.030682,-0.001505,-0.012658,-0.028133,-0.034803,0.001895,-0.007275,-0.035677,-0.016906,-0.062669,0.007101,-0.009808,0.064970,0.015992,-0.016464,0.022552,-0.025074,0.030128,-0.044305,0.016405,-0.032885,0.037700,-0.015391,0.010690,0.003965,-0.001275,-0.024909,-0.031565,-0.093219,-0.036382,-0.004335,-0.012309,-0.011483,-0.011685,-0.019153,-0.008584,-0.037959,-0.030410,0.127226,0.004874,0.102573,-0.113245,-0.086810,0.011818,-0.095336,-0.093872
11,1.607912,1.566951,1.934948,1.957653,1.958988,1.952926,1.964982,1.603186,1.599977,1.575842,1.917372,1.894426,1.955718,2.625834,1.845202,2.561167,1.871498,1.877587,1.104995,1.059849,1.075989,1.088328,1.071445,0.692064,0.707017,0.676245,0.678539,0.708783,0.680641,0.676792,0.696239,0.514136,0.498734,0.491961,0.532167,0.522673,0.484519,0.705278,0.494245,0.519066,0.496160,0.525811,0.514263,0.554395,0.512956,0.506521,0.542509,0.530265,0.465526,0.504508,0.521035,0.491554,0.506501,0.529590,0.499397,0.486172,0.493359,0.541146,0.512971,0.537570,0.285625,0.272881,0.297271,0.279919,0.257678,0.247387,0.256552,0.312934,0.245782,0.265293,0.328054,0.292092,0.545209,0.522231,0.312476,0.296740,0.320260,0.541562,0.491375,0.512941,-0.035558,-0.003527,0.055522,-0.016139,-0.000558,0.009063,0.000835,-0.025316,0.024743,-0.021317,0.033841,0.014968,0.018596,0.000266,-0.004746,-0.002063,0.057226,0.085106,0.218767,0.031641,0.222913,0.199116,0.209624,0.233440,0.225212,0.075771,0.234129,0.042929,0.225453,0.209950,0.087370,0.029798,0.005322,0.243727,0.051955,0.165941,0.209722,0.034786,0.043194,0.051832,0.075874,0.039799,0.249624,0.062260,0.088620,0.208008,0.191664,0.079399,0.039020,0.001938,0.017822,-0.010658,0.094826,0.044446,0.224676,0.031579,0.242543,0.105435,0.031756,0.243880,0.244404,-0.016890,0.307574,-0.017154,0.255097,0.211466,0.278309,0.038765,-0.003621,-0.050884
12,1.559612,1.522445,1.559342,1.556831,1.580664,0.639836,0.613224,0.591112,0.870345,0.901509,1.023700,0.886404,0.964309,1.016678,1.040422,0.999312,1.316986,1.292405,1.345325,1.292858,0.323937,0.282385,1.339117,1.362421,1.368691,1.328054,0.352039,0.292040,0.418725,0.107411,0.472522,0.465832,0.458394,0.501827,1.121729,0.121722,0.105965,0.124278,0.121707,0.128495,0.125187,0.069480,0.136900,0.595044,0.099912,0.138850,0.119753,0.127338,0.344284,0.342872,0.380832,0.377737,0.367201,0.381221,0.090117,0.077889,0.077793,0.134128,0.098828,0.048440,0.110940,0.073883,0.015712,-0.006281,0.042958,-0.018823,0.007423,0.016340,0.024846,0.009072,0.036895,0.052153,0.046493,0.012242,0.055561,0.006921,0.026752,0.031504,0.011657,0.000104,0.018272,0.028220,0.041853,-0.012046,0.037097,0.035932,0.233960,0.009440,0.012304,0.042020,0.054336,0.018287,0.010159,0.000695,0.071467,0.014126,0.011221,0.038317,0.063457,0.016240,0.221321,0.005464,0.196013,0.095052,0.106596,0.118523,0.131138,0.086526,0.084831,0.077514,0.045938,0.127710,0.060706,-0.114814,-0.094542,0.101015,-0.082917,-0.115438,-0.112851,-0.102402,-0.078257,0.110281,0.099357,-0.134500,-0.050915,-0.168631,0.113477,-0.203374,-0.170098,0.025231,-0.136289,-0.103631,-0.133045,-0.089054,-0.131889,-0.185217,0.081401,-0.150784,-0.118407,-0.115769,0.058375,-0.155475,-0.100151,-0.111488,0.085584,-0.196728,-0.106912,-0.152404,-0.090564,-0.130200
13,1.576140,1.537692,1.563353,1.584611,1.573434,2.084668,1.202077,1.553441,1.293747,1.244532,1.306683,1.290953,1.232508,1.229239,1.306880,1.269288,1.231824,1.267649,1.233733,1.260119,1.238946,1.534487,1.572541,1.549349,1.617907,1.563553,1.570727,1.558919,1.573877,1.586758,2.001241,1.488616,1.478284,1.440313,1.460673,1.468422,1.469504,1.469695,1.489432,1.493929,1.466195,0.715942,0.725913,0.758969,0.743590,0.701054,0.741904,0.714235,1.485437,1.499468,1.154064,1.173483,1.183552,1.169469,1.184607,1.176408,1.172099,1.178527,1.090598,1.194246,1.221624,1.175325,1.212497,1.155020,1.176395,1.157177,1.198476,1.212657,0.729915,1.199638,1.198361,0.736691,0.757329,0.705551,0.729530,1.214722,1.189468,1.202325,0.731218,0.710614,0.689932,0.703349,0.760068,0.714827,0.695808,0.724259,0.743715,1.035452,0.722508,0.708395,0.726478,0.726940,0.740804,0.703179,0.691525,0.750925,0.728037,0.725243,0.723832,0.735241,0.739233,0.702819,0.725953,0.703321,0.746312,0.717783,0.740826,0.749470,0.755874,0.693418,0.712110,0.723950,0.727627,0.727302,0.721556,0.800236,0.709499,0.733104,0.848682,0.697007,0.230446,0.681756,0.234228,0.738284,0.723901,0.798792,0.724965,0.366499,0.714205,0.729656,0.789595,-0.034299,0.115960,0.351695,-0.027701,-0.040321,-0.024777,-0.053799,-0.008963,-0.041568,0.031698,-0.006693,0.007875,-0.017246,0.000228,-0.012904,-0.004723,-0.071021,-0.003817,-0.022437
14,1.551128,2.192532,2.172263,1.542069,1.568794,1.608446,1.606063,0.832057,0.856779,2.453947,1.703834,2.448057,2.442009,2.457338,1.737910,1.655893,1.708679,2.432320,1.715285,1.501974,1.708404,1.685818,1.709747,1.670024,1.670008,1.724754,1.682785,1.491779,1.502311,1.470253,0.453455,0.430710,0.411577,0.429406,0.430419,0.392973,0.851817,0.435727,0.431110,0.447120,0.420192,0.455618,0.459485,0.452779,0.460096,0.438722,-0.139551,-0.105859,-0.088449,0.862074,0.823605,0.863969,0.912792,0.905150,0.324373,0.289122,0.262331,0.275431,0.261555,0.296160,0.305521,0.281805,0.853520,0.857499,0.831498,1.037084,0.826939,0.288047,0.986453,0.967090,1.014216,0.989990,0.973511,1.004051,1.000524,0.991873,0.986324,0.271652,0.833049,0.277429,0.871386,0.958769,1.018340,0.990489,1.004448,0.857231,0.990812,0.251779,0.859663,0.990625,0.303947,0.995376,1.028666,1.008251,1.016438,0.870888,0.850714,0.853335,0.884823,1.038876,0.870682,0.888294,0.850363,1.013561,0.899994,0.844337,0.262595,0.873485,0.846806,0.859395,0.898247,1.006611,0.868018,0.850309,0.857864,0.993980,0.303896,0.132184,0.975896,0.129121,0.972349,0.096036,0.115372,-0.074988,-0.069541,-0.130405,-0.070086,-0.099763,-0.057708,-0.079745,-0.080844,-0.118934,-0.102354,-0.043474,-0.130737,-0.129744,-0.082005,-0.117089,-0.076250,-0.089778,-0.128833,-0.100232,-0.115374,-0.132835,-0.106060,-0.116853,-0.098591,-0.133563,-0.113904,-0.106317
15,1.540584,1.540564,2.854284,1.903166,1.871717,1.875938,1.878113,1.870343,2.326759,2.302118,2.302623,2.339000,0.835140,0.836555,0.797210,0.790586,0.838721,0.797173,0.786568,1.831155,1.809387,1.826776,1.816578,0.825003,0.830604,1.807054,1.786447,1.813792,1.809731,1.811006,1.831476,0.907383,1.784424,1.827313,1.792878,1.813318,1.522176,1.597030,1.551514,1.594311,1.591551,1.552679,1.635776,1.657946,1.604242,1.633936,1.643245,1.638690,1.149721,1.123430,1.089966,1.128369,1.078859,1.084475,1.183003,1.128848,1.078595,1.067356,1.096676,1.145927,1.124906,1.096992,1.140360,1.116322,1.141847,1.122040,1.106430,1.082887,1.114013,1.112144,1.099618,1.104753,1.099987,1.090336,1.121632,0.998420,1.092867,1.095112,1.089912,1.078302,1.104326,1.047424,1.157469,1.069958,1.146841,1.104831,1.043464,1.083342,1.067759,1.113206,1.035060,1.219570,1.091185,1.117077,1.527903,1.562475,1.589454,1.609723,1.077085,1.103008,1.107063,1.123363,1.014027,1.098860,1.004202,1.358979,1.349149,1.374932,1.348216,1.169335,1.127893,0.932236,0.999735,1.180779,0.911303,0.963374,1.331522,0.938416,0.947520,0.996882,1.012021,0.877619,0.871159,0.924962,0.916513,0.897992,0.900162,0.902394,0.876317,0.903238,0.905065,0.856506,0.912891,0.900297,0.856405,0.914945,0.887741,0.889260,0.943838,0.876512,0.872888,0.920311,0.920966,0.877703,0.898384,0.897226,0.902493,0.879883,0.882551,0.898591
16,1.542440,1.598377,1.579614,1.594004,1.536796,2.359552,2.304895,2.378452,2.314002,0.820478,0.829354,0.841945,0.849116,1.608986,0.889135,1.454550,1.490723,1.491292,1.472708,1.478405,0.822255,0.833837,1.646990,0.827322,1.657646,1.444588,1.453540,1.459929,1.455579,1.454213,1.461089,1.496786,1.496185,1.454088,0.288382,1.489050,1.489345,1.497944,0.601590,0.645445,0.287891,0.308693,0.447811,0.273577,0.279577,0.318223,0.443838,0.285119,0.433281,0.266325,0.280333,0.262953,0.308095,0.440578,0.410743,0.473120,0.418190,0.468389,0.673244,0.451465,0.477148,0.779970,0.453347,0.738753,0.448363,0.424170,0.458244,0.462010,0.463352,0.432288,0.379811,0.422790,0.456159,0.667158,0.218176,0.234434,0.233013,0.203221,0.198594,0.211206,0.168140,0.244328,0.219628,0.200813,0.172768,0.220222,0.211243,0.195509,0.169575,0.174193,0.176700,0.186482,0.208674,0.193006,0.191273,0.233289,0.226931,0.260924,0.215145,0.209558,0.146049,0.168057,0.208137,0.299958,0.167486,0.166617,0.200064,0.220798,0.229128,0.208602,0.204821,0.190779,0.202618,0.198305,0.213841,-0.085615,-0.072563,-0.088774,-0.082809,-0.078946,-0.068476,-0.109063,-0.109604,-0.119694,-0.082718,-0.055357,-0.145158,-0.070875,-0.075284,-0.098350,-0.082556,-0.072190,-0.085673,-0.070768,-0.096108,-0.105477,0.020852,-0.030061,-0.004607,-0.006417,0.030464,0.017291,-0.061780,-0.009276,0.055536,-0.081763,-0.008699,0.010928,-0.050308,-0.088726
