Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,3.192314,3.619544,1.017007,0.495028,0.523597,0.513755,0.037746,0.051488,0.03192,0.244324,0.255699,0.257914,0.258504,0.23722,0.284342,0.314157,0.24405,0.263325,0.235571,0.286878,0.292588,0.062842,0.27854,0.311618,0.301985,0.072124,0.089374,0.060341,0.096073,0.076193,0.02702,0.184653,0.187402,0.187764,0.190094,0.195889,0.176105,0.168769,0.168277,0.168462,0.16297,0.211097,-0.109778,-0.083712,-0.073941,-0.073831,-0.086472,-0.077384,-0.087412,-0.099528,-0.097771,-0.102146,-0.093544,-0.096722,-0.080407,-0.074482,-0.105909,-0.085028,-0.054826,-0.084742,-0.076606,-0.085472,-0.076203,-0.08379,-0.087482,-0.094103,-0.089326,-0.110467,-0.072059,-0.079091,-0.087601,-0.080807,-0.06731,-0.07304,-0.118259,-0.089434,-0.108477,-0.067166,-0.090833,-0.115813,-0.090921,-0.07851,-0.077345,-0.099326,-0.092258,-0.068447,-0.076056,-0.090567,-0.085305,-0.120086,-0.086249,-0.115872,-0.090395,-0.100796,-0.070476,-0.100397,-0.100459,-0.099104,-0.087213,-0.09766,-0.059117,-0.100481,-0.069816,-0.112605,-0.088834,-0.093206,-0.06698,-0.113314,-0.08701,-0.095072,-0.091763,-0.101339,-0.099256,-0.095898,-0.083326,-0.107183,-0.069969,-0.078642,-0.057204,-0.081613,-0.101222,-0.092386,-0.0941,-0.095949,-0.09676,-0.098999,-0.092908,-0.061049,-0.096076,-0.093004,-0.085298,-0.102051,-0.122382,-0.086801,-0.077408,-0.065027,-0.089488,-0.080055,-0.089824,-0.103811,-0.100181,-0.118502,-0.094149,,,,,,,
1,2.965442,1.415969,1.387503,0.240383,0.179052,0.061474,0.057228,0.341688,0.359586,0.326713,0.334902,0.346505,0.357724,0.333884,0.325147,0.368358,0.323155,0.407081,0.448363,0.434504,0.48154,0.416122,0.313563,-0.094733,-0.113478,-0.061437,-0.086579,-0.073763,-0.077815,-0.082124,-0.067898,-0.081303,-0.070603,-0.069217,-0.068946,-0.076579,-0.0735,-0.115249,-0.0988,-0.073165,-0.109108,-0.080021,-0.09528,-0.066149,-0.090675,-0.119819,-0.058576,-0.082251,-0.056523,-0.092698,-0.067166,-0.08929,-0.06805,-0.120913,-0.102651,-0.116452,-0.095647,-0.112618,-0.077382,-0.102063,-0.105445,-0.094339,-0.118218,-0.106372,-0.104957,-0.084169,-0.078727,-0.092966,-0.066585,-0.096174,-0.091299,-0.081667,-0.107882,-0.084781,-0.103469,-0.08896,-0.081239,-0.08851,-0.106699,-0.079148,-0.106576,-0.12215,-0.068378,-0.09087,-0.102349,-0.112914,-0.064049,0.035492,-0.082228,-0.067056,-0.105813,-0.071934,-0.080718,-0.108113,-0.079566,-0.085469,-0.095408,-0.096078,-0.080919,-0.069366,-0.077834,-0.138711,-0.08915,-0.087445,-0.092642,-0.071745,-0.095834,-0.093776,-0.064578,-0.110681,-0.108169,-0.097921,-0.070482,-0.101962,-0.090052,-0.073835,-0.076356,-0.086364,-0.114967,-0.076163,-0.092477,-0.073907,-0.068922,-0.089336,-0.065563,-0.090938,-0.080833,-0.101335,-0.093996,-0.087275,-0.103737,-0.095402,-0.088541,-0.109107,-0.075652,-0.115205,-0.113175,-0.052624,-0.124123,-0.061391,-0.055876,-0.097343,-0.123,,,,,,,
2,1.557755,1.541362,1.265333,1.269214,0.939444,0.934167,0.812103,0.80679,0.797631,0.807341,0.812382,0.808842,0.552246,0.548237,0.552974,0.533552,0.556951,0.538458,0.194828,0.178737,0.195801,0.526557,0.525135,0.181185,0.180879,0.163282,0.196365,0.214661,0.196428,0.197794,0.218113,0.217013,0.208197,0.200147,0.207566,0.202339,0.188631,0.176506,0.22017,0.191224,-0.097525,-0.058115,-0.105015,-0.080825,-0.081163,-0.107625,-0.094106,0.176631,-0.087329,-0.073943,0.333374,0.349013,0.214275,0.218689,0.162139,0.202255,0.364584,-0.100318,-0.096426,0.1843,0.197352,0.187944,0.353373,0.349742,0.316514,0.183053,0.337244,0.353046,0.324008,0.354418,0.362215,0.343062,0.219514,0.332733,0.337401,0.34681,0.204455,0.322265,0.330934,0.20018,0.20159,0.190354,0.202452,0.167501,0.203796,0.210231,0.192888,0.207127,0.190717,0.205676,0.355733,0.311597,0.315445,0.302767,0.346031,0.192366,0.323226,0.193723,0.35428,0.333612,0.191464,0.32884,0.155299,0.218286,0.216725,0.175887,0.355777,0.348836,0.203551,0.327821,0.346465,0.202545,0.188443,0.208969,-0.105539,0.193783,0.368207,0.371105,0.378444,-0.095071,0.303745,0.197996,0.329044,0.360447,0.320247,0.340412,0.317356,0.334507,0.34102,0.330463,0.343749,0.207431,0.327948,0.344983,0.348948,0.214907,0.337435,0.216736,0.314391,0.341517,0.335958,0.365805,0.331045,,,,,,,
3,1.573076,1.549895,0.568571,0.657955,0.677174,0.59473,0.611043,0.367033,0.617225,0.61724,0.384793,0.167276,0.129086,0.173966,0.177775,0.037987,0.034318,-0.106276,-0.082525,-0.109579,-0.096241,-0.09525,-0.105452,-0.066287,-0.110804,-0.108175,-0.066523,-0.110287,-0.058409,-0.092411,-0.099072,-0.092139,-0.067409,-0.073162,-0.11107,-0.097955,-0.075551,-0.096827,-0.07504,-0.071581,-0.092652,-0.090338,-0.095697,-0.075729,-0.090879,-0.089402,-0.077424,-0.050334,-0.069064,-0.069836,-0.088601,-0.096748,-0.121933,-0.120129,-0.091694,-0.107451,-0.100182,-0.068504,-0.076404,-0.094015,-0.091009,-0.072746,-0.058414,-0.103142,-0.102928,-0.078857,-0.088227,-0.076905,-0.088799,-0.098121,-0.065016,-0.109122,-0.10364,-0.098166,-0.082737,-0.092148,-0.085643,-0.072876,-0.093205,-0.071181,-0.076153,-0.075763,-0.116264,-0.09728,-0.063653,-0.083263,-0.098397,-0.083195,-0.110371,-0.080375,-0.071099,-0.118914,-0.083236,-0.101374,-0.073807,-0.100059,-0.073566,-0.076746,-0.095362,-0.084134,-0.057311,-0.076635,-0.096233,-0.100676,-0.068618,-0.072552,-0.087249,-0.111047,-0.095327,-0.096243,-0.075424,-0.089627,-0.075841,-0.071514,-0.104939,-0.076618,-0.090617,-0.060951,-0.066613,-0.080401,-0.085381,-0.085379,-0.117239,-0.071815,-0.102703,-0.079321,-0.118486,-0.114952,-0.08733,-0.068023,-0.094128,-0.098728,-0.084387,-0.092993,-0.014076,-0.071986,-0.08607,-0.104176,-0.063337,-0.08746,-0.063644,-0.096971,-0.074365,,,,,,,
4,4.606662,0.346376,0.344486,0.299631,0.330951,1.131665,1.330586,1.336795,0.335712,0.387415,0.38768,0.260397,0.241587,0.061108,0.178989,0.180304,0.181325,0.175217,0.533313,0.166451,0.527902,0.534671,0.248031,0.184247,0.183724,-0.046339,-0.067103,-0.07923,-0.057546,-0.062002,-0.072337,-0.068163,-0.053964,-0.071049,-0.046711,-0.060634,-0.04607,-0.046773,-0.053009,-0.06817,-0.053158,-0.075234,-0.040322,-0.074396,-0.085328,-0.082221,-0.055224,-0.054142,-0.07072,-0.050567,-0.082379,-0.088426,-0.066227,-0.071179,-0.055324,-0.062568,-0.049751,-0.049199,-0.079453,-0.067692,-0.087584,-0.09099,-0.050717,-0.087813,-0.085068,-0.05648,-0.097784,-0.081939,-0.101889,-0.104689,-0.079993,-0.073835,-0.071802,-0.067318,-0.086236,-0.095825,-0.099562,-0.104247,-0.091258,-0.083118,-0.10533,-0.08766,-0.059502,-0.101573,-0.094915,-0.08047,-0.104552,-0.098933,-0.072703,-0.067431,-0.074604,-0.084814,-0.106594,-0.089573,-0.052838,-0.063946,-0.092584,-0.059491,-0.080396,-0.079519,-0.079788,-0.063726,-0.10537,-0.071096,-0.093557,-0.088501,-0.094054,-0.085924,-0.086112,-0.067631,-0.07923,-0.069322,-0.113132,-0.094419,-0.091215,-0.089463,-0.089293,-0.073664,-0.079599,-0.085523,-0.100663,-0.091496,-0.08008,-0.093175,-0.080522,-0.076969,-0.073965,-0.089531,-0.06796,-0.090598,-0.095836,-0.096206,-0.074739,-0.079599,-0.10861,-0.098756,-0.10325,-0.070646,-0.092539,-0.101207,-0.10079,-0.078007,-0.092067,,,,,,,
5,4.107621,1.499128,1.494512,1.249858,0.661873,0.673351,0.412727,0.431479,0.38839,0.40127,0.516791,0.330867,0.37936,0.498095,0.379751,0.439663,0.368592,0.372024,0.328844,0.422202,0.384336,0.411275,0.423104,0.398485,0.396249,0.438046,0.463244,0.44029,0.422399,0.414804,0.413467,0.402927,0.366549,0.375359,0.356584,0.356024,0.428567,0.377506,0.354688,0.406662,0.371761,0.368182,0.387473,0.386635,0.420958,0.387575,0.380055,0.394035,0.38648,0.421577,0.40532,-0.09692,-0.071415,-0.078162,-0.069393,-0.045492,-0.048191,-0.038605,-0.074687,-0.067793,-0.052742,-0.0526,-0.079076,-0.086129,-0.090118,-0.073357,-0.051934,-0.002988,-0.037103,-0.005194,-0.039168,-0.058628,-0.069028,0.002341,-0.078557,-0.038605,-0.072749,0.029897,-0.083294,-0.060746,-0.06732,-0.055494,-0.076603,-0.068293,-0.070922,-0.073971,-0.058773,-0.063927,-0.058251,-0.068391,-0.072147,-0.072471,-0.079688,-0.050643,-0.081823,-0.119832,-0.059995,-0.055262,-0.049589,-0.066089,-0.072539,-0.034649,-0.072299,-0.100377,-0.076299,-0.063326,-0.073917,-0.052271,-0.062302,-0.089378,-0.100387,-0.094382,-0.07849,-0.089156,-0.084531,-0.066649,-0.092158,-0.104169,-0.08941,-0.08922,-0.062184,-0.085207,-0.064073,-0.050018,-0.042809,-0.057588,-0.073678,-0.052757,-0.038474,-0.070223,-0.060146,-0.03292,-0.031343,-0.069993,-0.092878,-0.078658,-0.119206,-0.044398,-0.055298,-0.066309,-0.050586,-0.0465,-0.048531,,,,,,,
6,3.760323,3.72968,3.755696,3.084941,2.420869,0.611738,0.609457,0.5939,0.58971,0.580201,0.57189,0.577509,0.586789,0.589349,0.613489,0.582354,0.589865,0.591182,0.282679,0.296288,0.294438,-0.058883,-0.05126,-0.0838,-0.040228,0.032948,-0.068483,-0.069473,-0.064344,-0.110349,-0.056146,-0.097728,-0.083793,0.054469,0.060737,0.032803,-0.040818,-0.026813,-0.047602,-0.039343,-0.037157,-0.047023,-0.058913,-0.024648,-0.062783,-0.025683,-0.067422,-0.041499,-0.061891,-0.047553,-0.06875,-0.060294,-0.045761,-0.066784,-0.099421,-0.097669,-0.057476,-0.080421,-0.107987,-0.070031,-0.086506,-0.08683,-0.095514,-0.099016,-0.093112,-0.061112,-0.066139,-0.096669,-0.094257,-0.072413,-0.092134,-0.088208,-0.086799,-0.087364,-0.097172,-0.092779,-0.085601,-0.078042,-0.090315,-0.077263,-0.073484,-0.091402,-0.073281,-0.074828,-0.075235,-0.113059,-0.077401,-0.064249,-0.099143,-0.070614,-0.062119,-0.074347,-0.07167,-0.054833,-0.0523,-0.082744,-0.038597,-0.052873,-0.057704,-0.067469,-0.057395,-0.059073,-0.075037,-0.05122,-0.075872,-0.087851,-0.067754,-0.007511,-0.076061,-0.079924,-0.049963,-0.068175,-0.063347,-0.063389,-0.06373,-0.049489,-0.070406,-0.073349,-0.059297,-0.058808,-0.077967,-0.06335,-0.055169,-0.064593,-0.054783,-0.058283,-0.058747,-0.054062,-0.062086,-0.048416,-0.041449,-0.056768,-0.068805,-0.074617,-0.043697,-0.070413,-0.060306,-0.056492,-0.048293,-0.044739,-0.048558,-0.05634,-0.104895,,,,,,,
7,2.666165,2.672471,0.900411,2.269332,2.254511,1.777912,1.764231,1.762616,1.785363,1.78631,0.828837,0.817104,0.407205,0.436462,0.400318,0.397833,0.401299,0.407357,0.431862,0.404128,0.455052,0.412847,0.382249,0.413379,0.422924,0.419189,0.448838,0.421954,0.422142,0.425687,0.442266,0.419239,0.386589,0.42978,0.381384,0.420344,0.412027,0.228832,0.416877,0.261265,0.404291,0.410695,0.41501,0.437279,0.423948,0.419861,0.253439,0.427041,0.411068,0.427082,0.428604,0.408597,0.444504,0.228329,0.430756,0.399994,0.434372,0.424227,0.43271,0.426498,0.443564,0.41035,0.425313,0.398423,0.382177,0.37284,0.398301,0.393177,0.402276,0.388646,0.409703,0.401944,0.405255,0.407009,0.392592,0.3648,0.380844,0.415553,0.390932,0.396283,0.4045,0.401458,0.413716,0.383515,0.391951,0.391766,0.081028,0.409859,0.412342,0.03999,0.416271,0.390729,0.406294,0.054323,-0.092104,-0.092762,-0.041599,-0.098684,-0.091886,-0.088612,-0.095034,-0.107311,-0.079848,-0.080055,-0.095744,-0.088177,-0.087458,-0.060088,-0.079128,-0.100837,-0.07532,-0.092873,-0.080412,-0.078977,-0.113096,-0.093533,-0.090533,-0.08396,-0.092603,-0.103832,-0.068941,-0.106882,-0.048771,-0.083908,-0.118618,-0.081257,-0.098102,-0.084015,-0.095443,-0.10363,-0.066755,-0.080383,-0.076927,-0.111731,-0.075182,-0.083365,-0.097363,-0.110582,-0.072076,-0.111727,-0.092478,-0.088065,-0.078791,,,,,,,
8,3.079887,3.094188,3.079267,0.868774,0.704398,0.690947,0.705968,0.722838,0.736827,0.698272,0.291356,0.757171,0.750495,0.743099,0.315528,0.84431,0.834798,0.766777,0.456158,0.394708,0.387751,0.395314,0.380026,0.393675,0.355788,0.368521,0.376935,0.395124,0.362254,0.390061,0.374981,0.381881,0.395612,0.367489,0.382074,0.374688,0.175329,0.381999,0.188571,0.217581,0.360638,0.375946,0.186876,0.370494,0.197288,0.367414,0.375238,0.370024,0.387852,0.400628,0.384825,0.386917,0.407817,0.394122,0.398942,0.367953,0.382615,0.38909,0.356673,0.363035,0.393147,0.381453,0.385356,0.380355,0.383542,0.023694,0.387389,0.38664,0.384064,0.370925,0.186379,0.025715,0.054104,0.026635,0.174642,0.070986,0.056047,0.066312,0.041875,0.04984,0.0412,0.037947,0.055668,0.034547,0.032775,0.041034,0.040365,0.042849,0.055827,0.025117,0.028763,0.038499,0.019023,0.039382,0.050557,0.054482,0.028485,0.055901,0.057032,0.051008,0.068899,-0.072279,0.04185,0.03512,-0.101473,0.010585,0.038293,0.036125,0.051508,0.077115,0.058821,0.048838,-0.059504,0.038572,-0.088832,0.029002,0.192045,0.036097,0.027019,-0.060587,0.046467,-0.012215,0.062235,0.05565,0.032876,0.05707,0.040984,0.021513,0.055896,0.039844,0.074907,0.015454,0.064127,0.025609,0.047831,0.169582,0.038274,0.17719,-0.06638,0.041102,-0.05812,-0.042165,0.033263,,,,,,,
9,1.734761,1.732756,1.717564,0.829176,1.836669,0.485057,0.488344,0.469311,0.497591,0.299681,0.300395,0.269661,0.313763,0.303149,0.043938,0.085112,0.301819,0.294261,0.24837,0.370377,0.380482,0.381461,0.386735,0.35731,0.174644,0.404029,0.290214,0.287394,0.432224,0.290521,0.287157,0.300928,0.280126,0.310043,0.424901,0.438928,0.431091,0.451119,0.305106,0.454631,0.46232,0.156165,0.45169,0.159444,0.19965,0.277159,0.206501,0.449161,0.169461,0.183972,0.161582,0.189363,0.186367,0.180795,0.18516,0.182519,0.202654,0.182138,0.172002,0.036307,0.182141,0.182197,0.191261,0.188917,0.195178,0.173928,0.186099,0.195759,0.015897,0.031432,0.058056,0.21297,0.042014,0.022542,0.0321,0.034004,0.028139,0.003463,-0.011211,0.026938,0.056397,0.044304,0.033466,0.056967,0.028301,-0.007406,-0.078257,-0.00085,-0.007575,-0.068845,-0.069979,-0.072265,0.036102,-0.041266,-0.115737,-0.079024,-0.093494,-0.098138,-0.05891,-0.08246,-0.115765,-0.081944,-0.001126,0.045797,0.050413,-0.083672,-0.067957,-0.075731,0.053177,-0.041733,-0.064752,0.033655,-0.064826,-0.080643,-0.08897,-0.060433,-0.087155,-0.095398,-0.096891,-0.054971,-0.063681,-0.086408,-0.041838,-0.120647,0.03334,0.016395,0.06223,-0.056258,0.046361,0.036305,0.054003,0.045922,0.052369,0.04893,0.019625,0.070029,0.036446,0.052404,-0.026923,-0.056682,0.041862,-0.043859,-0.064864,,,,,,,
10,1.097163,1.081682,1.066671,1.070288,1.872159,1.095661,1.933909,1.210263,1.204939,1.195245,1.204137,1.218936,1.18917,1.176758,1.230661,1.189994,1.231273,1.227589,0.264917,0.248779,1.099314,1.212056,1.102552,1.098592,1.080689,1.111989,1.090804,1.111736,1.131446,0.260501,0.243995,1.198196,1.090839,0.234948,0.198794,0.235056,0.224244,0.225627,0.234255,0.192339,-0.09155,0.199606,0.19505,-0.097257,0.187487,-0.076587,0.183749,-0.077649,-0.085562,-0.082935,-0.107411,0.190251,-0.069612,0.192978,-0.076715,-0.078336,-0.106385,-0.080787,-0.071502,-0.089688,-0.081403,-0.0831,-0.082423,-0.098449,-0.086077,-0.091095,-0.085932,-0.083361,-0.083386,-0.084009,-0.10585,-0.093502,-0.116144,-0.078583,-0.061366,-0.07386,-0.089376,-0.094231,-0.061934,-0.07458,-0.110404,-0.081798,-0.09404,-0.103284,-0.083491,-0.083842,-0.077699,-0.077178,-0.090077,-0.072476,-0.069224,-0.072583,-0.115053,-0.091763,-0.101664,-0.085306,-0.068721,-0.09405,-0.09252,-0.084323,-0.079481,-0.089008,-0.052451,-0.061566,-0.066779,-0.112912,-0.078181,-0.078348,-0.10438,-0.093781,-0.091447,-0.077931,-0.104387,-0.105577,-0.084391,-0.089889,-0.08589,-0.098157,-0.093041,-0.085623,-0.100718,-0.094245,-0.090017,-0.073635,-0.08307,-0.066348,-0.086029,-0.088239,-0.096682,-0.075179,-0.079528,-0.100431,-0.078575,-0.087515,-0.095323,-0.100007,-0.110665,-0.074364,-0.089472,-0.08479,-0.075111,-0.080768,-0.117197,,,,,,,
11,3.922588,1.045838,1.018196,0.788669,0.39581,0.427449,0.434602,0.117006,0.121669,0.121929,0.419625,0.24456,0.25399,0.140268,0.166624,0.127616,0.190819,0.177829,0.17238,0.169161,0.065285,0.131293,0.113702,0.120339,0.08889,0.119739,0.091573,-0.015293,-0.059311,-0.0541,-0.063226,-0.039713,-0.063471,-0.081323,-0.08625,-0.054038,-0.085393,-0.088405,-0.06976,-0.101988,-0.082308,-0.069029,0.178507,-0.05168,0.180002,0.149053,-0.074905,-0.064481,-0.03405,-0.052404,-0.034386,-0.040452,-0.064413,-0.073472,-0.03017,-0.036837,-0.048211,-0.052458,-0.069331,-0.046609,-0.079883,-0.081138,-0.068656,-0.088434,-0.076682,-0.073589,-0.057553,-0.06237,-0.059571,-0.089639,-0.081996,-0.061546,-0.093568,-0.073859,-0.076502,-0.035707,-0.041928,-0.080006,-0.080811,-0.058596,-0.060758,-0.073908,-0.061657,-0.067603,-0.067554,-0.059527,-0.0632,-0.068416,-0.055963,-0.062306,-0.058721,-0.104805,-0.063232,-0.046145,-0.063633,-0.041873,-0.057711,-0.054782,-0.063358,-0.090521,-0.074804,-0.055187,-0.073864,-0.06055,-0.078946,-0.054308,-0.068243,-0.082444,-0.069009,-0.039321,-0.051281,-0.026518,-0.047952,-0.080958,-0.064163,-0.063146,-0.074145,-0.099878,-0.07849,-0.06107,-0.071421,-0.074088,-0.067024,-0.057101,-0.091497,-0.0504,-0.060401,-0.074424,-0.095527,-0.059858,-0.048444,-0.049625,0.047021,-0.056634,-0.0563,-0.087703,-0.046646,-0.06605,-0.05158,-0.089584,-0.073841,-0.05182,-0.097303,,,,,,,
12,5.037538,4.181525,0.651578,0.677879,1.441413,1.11864,0.686597,0.895378,0.728501,0.389032,0.389996,0.386249,0.625277,0.385475,0.376237,0.371614,0.387678,0.398501,0.402079,0.349784,0.364988,0.377416,0.380161,0.380979,0.196003,0.179659,0.368333,0.379572,0.664097,0.313631,0.33172,0.194516,0.19021,0.350559,0.351454,0.206073,0.240217,0.231822,0.204617,0.209138,0.210747,0.232108,0.040972,0.052384,0.001689,0.038379,0.028593,0.042822,-0.02381,0.03279,0.242801,0.018732,0.044109,0.04742,0.027815,-0.072008,0.029905,-0.070197,-0.068517,0.017394,0.050587,0.030164,0.039536,0.027398,0.029189,0.052974,0.054386,0.060644,0.216245,0.032262,0.197135,0.252202,0.048479,0.21893,0.223616,-0.054063,-0.056011,-0.053229,0.20854,-0.070968,-0.061613,0.218155,0.237811,0.238297,0.229679,0.225834,0.216339,-0.071943,-0.070221,0.037329,-0.042955,-0.053529,-0.077508,-0.075278,-0.098585,-0.06047,-0.048236,0.013332,-0.053779,-0.074897,0.014039,-0.039033,-0.054934,-0.063686,-0.076385,-0.052187,-0.06123,-0.077559,-0.076764,-0.072163,-0.08133,-0.080399,-0.082774,-0.093346,-0.046276,-0.063239,-0.068745,-0.08612,-0.080111,0.055567,-0.088042,0.021683,-0.074968,-0.06908,-0.066442,-0.07675,-0.085977,-0.061437,-0.067902,-0.043949,-0.056492,-0.107433,-0.100822,-0.071664,-0.083288,-0.095424,-0.055826,-0.050935,-0.049559,-0.053713,-0.048603,-0.071543,-0.056299,,,,,,,
