Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,1.026488,0.447195,0.317512,0.355545,0.364029,0.335934,0.064585,0.334979,0.347196,0.015745,-0.006182,0.030079,0.014165,0.00541,-0.001745,0.033501,0.03718,0.053554,0.037306,0.024539,-0.001141,0.051734,0.041308,0.042256,0.01233,0.050255,0.065698,0.077696,0.007778,0.045878,0.03814,-0.014263,0.03164,0.019559,0.064672,0.019732,0.067797,0.029312,0.019332,0.048319,0.070813,0.007464,0.024997,0.053071,0.00884,-0.006749,-0.004424,0.062699,0.023678,0.018851,0.049043,0.042938,0.030978,0.030061,-0.010845,0.016073,-0.000696,0.004923,0.021085,0.01788,0.019123,0.012961,-0.002571,0.009318,0.043889,0.007605,0.020017,0.016299,-0.008485,0.023031,0.03925,0.009764,0.00218,0.036681,0.049223,0.050703,0.009008,0.002449,0.028776,0.017147,0.020099,0.004621,-0.005111,-0.009365,0.015857,0.028926,-0.001032,0.012314,0.006943,-0.006736,0.01373,0.000352,0.045666,0.019743,0.024353,0.007189,0.02268,-0.010372,0.038973,0.023268,0.022842,0.015153,0.010491,0.018736,0.02202,-0.016297,0.015265,-0.011046,0.02315,0.026483,0.033467,0.024673,0.005622,0.008349,-0.017046,0.005814,0.028649,-0.014214,-0.005737,-0.008227,0.01585,0.010376,0.026637,0.014127,0.000404,0.029377,-0.011411,-0.00182,-0.004026,-0.008266,-0.00301,-0.010831,0.039208,0.021129,-0.016882,0.008572,-0.000483,0.008809,-0.006096,0.00032,0.045467,0.012683,0.005074,-0.002049,0.007935,0.01225,,,,
1,2.168555,1.227937,1.223068,0.496886,0.49778,0.489508,0.462202,0.489937,0.538603,0.407097,0.492668,0.513532,0.49295,0.503286,0.445496,0.49849,0.45948,0.435724,0.430884,0.451081,0.434809,0.189141,0.410343,0.444677,0.241808,0.450312,0.19665,0.197683,0.210086,0.181563,0.181082,0.202133,0.209912,0.167705,0.193651,0.159806,0.250459,0.188657,0.167284,0.038994,0.202161,0.139479,0.006301,0.139465,0.056578,0.021141,0.022177,0.022704,0.189805,0.047854,0.042002,0.135109,0.039362,0.040016,0.067942,0.05252,0.050758,0.031379,0.019321,0.005544,0.043041,0.01127,-0.011176,0.063045,0.069471,0.069058,0.014702,0.016696,0.048315,0.024801,0.044148,0.044021,0.012489,0.019245,0.014049,-0.001372,0.034822,0.031164,0.010942,0.033085,0.040515,0.004489,0.047472,0.002592,0.042943,-0.015579,-0.006616,0.030005,0.000424,-0.018925,0.007251,0.02799,0.048522,-0.002088,-0.008155,0.047015,0.014622,0.016327,0.041298,0.036616,-0.007264,0.026566,-0.003912,0.034351,-0.00899,0.033894,0.019375,0.059171,0.017609,0.021045,0.026735,0.017885,-0.01135,0.03946,0.00492,0.01237,0.011829,0.046695,0.031802,0.016287,0.033805,-0.010029,0.02748,0.068132,0.031297,0.015171,0.004233,0.024373,0.023785,0.008378,0.011056,0.038876,0.047236,0.01304,0.01881,-0.010447,0.029664,0.042143,0.009647,0.031385,0.029147,0.060138,0.004738,0.017855,-0.017826,-0.004894,,,,
2,0.567153,0.962386,0.460283,0.262242,0.247692,0.052606,0.088744,0.029031,0.037416,0.04526,-0.002358,0.054809,0.043806,0.071596,0.023848,0.010166,0.017535,0.025888,0.037209,0.009503,0.048947,0.039502,0.04859,0.038223,0.021467,0.030488,0.031365,0.039052,0.027704,0.020676,0.02835,0.030473,0.028055,0.039636,0.049486,0.018275,0.014589,0.05025,0.019989,0.023841,0.051346,0.037197,0.041065,0.016465,0.019589,0.014391,0.055416,0.038248,0.049377,0.024105,0.015175,0.033202,0.028703,0.00861,0.026387,0.036725,0.023132,0.017373,0.009691,0.018353,0.020376,-0.005426,0.004913,0.01336,0.0011,-0.002824,0.030341,0.003018,0.028483,-0.003544,-0.014062,0.022889,0.009283,0.043589,0.034641,0.034401,0.044714,0.021043,0.00597,9.8e-05,0.019151,0.023469,-0.005779,-0.006046,-0.020743,0.007786,-0.01633,-0.005265,0.008418,0.011827,0.043754,0.008443,0.008932,0.004117,-0.002677,0.041256,0.012645,0.036216,0.006622,0.000241,-0.005616,-0.01207,-0.005903,0.001908,0.014767,-0.011111,0.005389,0.035849,0.006649,0.007431,-0.00833,-0.035153,0.003387,0.002643,0.014263,0.010284,0.000621,-0.013356,0.024887,0.003611,0.009444,-0.001543,-0.005227,0.004724,0.004281,-0.008709,-0.002139,0.027151,0.04403,0.01088,0.028255,0.023677,0.008967,0.00241,0.011066,0.011567,0.04492,0.017387,-0.006175,0.004208,-0.012578,0.027108,0.000573,0.049256,0.003786,0.039628,,,,
3,1.680733,0.073722,0.369606,0.375784,0.069871,0.078338,0.043944,0.045672,0.081817,0.104756,0.092043,0.087558,0.056704,0.070675,0.016099,-0.002271,0.029742,0.004566,-0.001646,0.008167,0.048424,-0.02104,0.068956,0.060457,0.001856,0.059014,0.022332,-0.008634,-0.006888,0.016796,-0.004536,0.010729,0.011956,-0.001512,0.037887,0.013099,0.006092,0.01154,-0.007054,0.033529,0.024275,0.028785,0.049083,0.024444,0.024225,0.030612,0.047792,0.036573,-0.002044,-0.0166,0.034824,0.026085,0.032977,0.01431,-0.004529,0.020835,0.036103,0.010729,-0.005148,0.051997,0.018121,0.030703,-0.000869,0.049912,0.055481,0.047632,0.03903,-0.000104,0.055027,0.04706,0.025797,0.040186,0.032467,0.04121,0.041856,0.053293,0.043403,0.00296,0.018814,0.020623,0.056815,0.027751,0.001429,0.017409,0.024486,-0.023313,-0.004898,0.001597,0.006367,0.027664,0.023822,0.005363,0.01999,0.007154,0.012905,0.008863,0.014726,0.023951,-0.007218,-0.001578,-0.014962,0.044551,0.016053,-0.033941,-0.002467,0.027055,-0.009331,0.005138,0.041424,-0.023567,0.000871,-0.001643,0.012715,0.056147,0.033341,0.021519,-0.001288,0.034095,-0.000706,0.007424,0.023715,0.025672,0.024013,0.041281,0.017016,-0.001575,0.0059,0.005252,0.04326,-0.028261,-0.013108,0.022,0.022533,0.003173,-0.020241,0.002182,0.017001,-0.00786,-0.010976,0.011755,0.010729,0.010017,0.002279,0.018076,0.022631,-0.001751,,,,
4,1.766297,0.361182,0.347122,0.127395,0.141489,0.118262,0.448336,0.141483,0.141946,0.221642,0.113174,0.132832,0.201044,0.270755,0.042845,0.029948,0.013398,0.028442,0.240339,0.239082,0.221001,0.028883,0.051555,0.039687,0.038568,0.038974,0.031591,0.039216,0.023646,0.015026,0.032821,0.060331,0.027335,0.036894,0.033211,0.039874,0.016916,0.049044,0.050823,0.02315,0.138245,0.053134,0.045685,0.014414,0.031975,0.058066,0.103208,0.044139,0.040309,0.03881,0.043525,0.042936,0.014041,0.020161,0.022283,0.044593,0.085072,0.0885,0.051277,0.034556,0.050276,0.037255,0.057414,0.021891,0.056741,0.052791,0.042474,0.033614,0.010193,0.061291,0.060845,0.031661,0.038138,0.054481,0.044527,0.051298,0.088674,0.05589,-0.013014,0.019018,0.031643,0.016042,0.028191,0.025999,0.045477,0.015867,0.005263,0.049755,0.032215,0.049368,0.030233,0.019525,0.046188,0.030757,0.039705,-0.010288,0.045857,-0.012135,0.003921,0.022689,0.013617,0.031942,0.005043,0.027667,0.022033,0.014982,-0.000111,0.064225,0.016743,0.00665,0.021336,0.00818,0.014186,0.014823,0.000163,-0.003143,0.00141,0.008867,0.021173,0.01192,-0.014383,0.040157,0.049062,0.002333,-0.005893,-0.000755,0.04502,0.052481,0.018363,0.019534,0.056484,0.003469,0.041848,0.013014,0.012713,-0.00098,-0.003755,0.041176,-0.009977,0.040927,0.0032,0.000166,0.012602,0.006054,0.029631,0.001503,,,,
5,0.806467,0.909593,0.154619,0.179146,0.133162,0.166894,0.181819,0.145391,0.164897,0.36046,0.357182,0.172763,0.017602,-0.007025,-0.006991,0.001994,0.009105,0.010098,0.003961,0.000504,0.02761,-0.008149,0.01163,-0.003142,-0.006275,0.012296,-0.007692,0.023046,0.01777,-0.022347,0.012709,-0.01516,-0.001228,-0.00045,0.05556,-0.002382,0.049241,0.018442,-0.015305,0.028819,0.00338,0.009777,0.063901,0.079054,-0.014314,0.014967,-0.004797,0.047296,0.022768,-0.013302,0.000313,0.018644,0.017994,0.055827,0.007005,0.002534,-0.003908,-0.001482,0.013475,-0.011636,0.008402,0.014185,0.022355,0.016252,-0.002865,0.004083,0.034005,-0.000897,-0.003874,-0.002713,-0.013688,0.021531,0.033551,-0.00264,0.014913,0.007155,0.031766,-0.011862,0.01287,0.026342,0.022731,0.008855,-0.008845,0.008009,-0.036409,0.015656,0.00381,0.012489,0.01644,0.00865,-0.002529,0.024103,0.021555,0.007846,0.013088,0.013381,0.006907,0.024003,0.023237,0.020378,-0.007844,-0.002074,0.010411,0.012574,-0.008415,-0.005686,-0.006254,-0.007028,0.020859,0.012732,-0.003142,0.008559,0.001687,0.009029,-0.021876,0.020831,0.035372,-0.02067,0.007578,-0.016949,0.003544,0.020063,-0.006847,0.024205,-0.022345,0.001574,-0.010959,0.03429,0.033406,0.001682,-0.005614,0.032233,-0.003024,0.003925,0.017281,0.016493,0.016168,-0.001301,0.020979,-0.022651,0.024951,0.006641,-0.011346,0.005188,0.011616,0.015779,,,,
6,2.643246,0.140118,0.1668,0.138389,0.158052,0.539014,0.130527,0.122456,0.14764,0.154142,0.058119,0.126682,0.15042,0.063975,0.082328,0.072166,0.087751,0.063784,0.1451,0.065849,0.047351,0.07129,0.059745,0.054295,0.038247,0.044347,0.023996,0.004784,0.01032,0.002179,0.013846,0.049303,0.002234,0.073385,0.078253,0.027773,-0.001493,0.028496,0.016335,0.05321,0.011457,0.061449,0.068936,0.064197,0.040651,0.018844,0.002539,-0.00081,-0.008505,0.041162,0.062019,0.00797,-0.006905,0.019026,0.028597,0.025183,-0.00038,0.044631,0.004707,-0.006499,0.050727,0.001074,0.027381,-0.004399,-0.004573,-0.01275,-0.015284,0.010081,0.021513,0.049678,0.030522,-0.016771,0.049876,0.031744,0.020728,0.064706,0.014287,0.020045,0.010013,0.007844,-0.001776,0.007886,0.026433,-0.008023,0.019527,-0.014105,0.042937,-0.001553,0.004456,0.01613,-0.006552,-0.011915,-0.011369,0.029413,0.031938,0.019449,-0.023415,0.0128,0.020506,0.009117,0.001337,0.003266,0.007153,0.021517,0.002868,0.025196,-0.012926,0.008774,0.004559,0.011563,0.011362,-0.003907,0.007132,0.003034,-0.010283,-0.00745,0.014159,0.020241,-0.003312,0.02421,0.010364,-0.007057,0.007303,0.012752,-0.00285,0.000785,0.005791,0.009565,0.002196,0.009975,0.016827,-0.004669,-0.001169,0.008667,-0.002872,0.027413,-0.007192,0.002603,0.016528,0.00842,-0.009735,0.024723,0.007593,0.003918,0.000466,0.016953,,,,
7,1.66373,0.375573,0.54873,0.737697,0.706488,0.742917,0.68614,0.364203,0.26532,0.297827,0.288767,0.300117,0.282576,0.031317,0.304162,0.308042,0.032783,0.292656,0.019467,0.166427,0.007342,0.034597,0.019783,0.008399,0.007741,0.002616,0.012372,0.0566,0.011021,0.013384,-0.006958,-0.001339,0.026179,0.014227,0.015479,0.037709,-0.013759,0.01525,0.016106,0.046857,0.018019,0.019657,0.021991,0.003086,-0.011052,0.014481,-0.00928,0.010118,0.026762,0.008753,0.010218,0.024883,0.009991,-0.00462,0.02507,-0.002563,0.025416,0.021773,0.012883,-0.014098,-0.006915,-0.005364,-0.004491,0.035071,0.00547,0.004018,-0.009026,0.006432,-0.008986,-0.002327,-0.023534,0.002557,0.025625,0.010219,-0.006838,-0.006658,0.002889,0.017127,-0.011081,0.047404,0.014769,0.029862,0.006925,0.003078,-0.001155,0.004963,0.034724,0.023194,-0.026831,-0.006911,0.00985,-0.004416,0.005461,0.001887,-0.007514,0.007848,0.000869,0.020392,0.019838,0.012145,-0.003792,0.005555,0.034807,-0.014816,0.010908,0.005778,-0.010477,0.018749,0.017099,0.02063,-0.014146,0.015599,-0.000699,-7.9e-05,0.003154,-0.011759,0.007708,0.014578,0.011577,0.005711,-0.00156,0.020976,-0.009244,0.001063,0.01243,0.00972,-0.011786,0.039434,0.00693,0.004289,0.015151,0.014717,-0.000621,0.055209,-0.041687,0.028908,0.022388,0.011009,-0.023486,0.000169,0.02323,0.0132,0.023101,0.005741,0.010907,0.02582,,,,
8,2.06895,1.476854,0.344433,0.328364,0.319884,0.335643,0.316245,0.31327,0.342628,0.211524,0.10292,0.303384,0.067512,0.023857,0.019258,0.010196,0.080335,-0.010998,0.050401,0.021515,0.047643,-0.012678,-0.001649,0.028132,-0.00518,0.01732,0.045825,0.012466,0.00262,0.006825,0.060378,-0.003472,-0.025131,0.017084,0.005529,0.051813,0.067806,0.02285,0.07337,0.001644,0.05875,-0.045001,-0.002186,0.045908,0.039863,0.001881,0.025033,0.032585,0.001859,0.004507,0.060832,0.000681,-0.004798,0.03017,0.021545,0.014399,0.017323,-0.000645,0.002098,0.008007,0.067083,0.016372,0.013259,0.055187,0.002678,0.03755,0.001201,-0.017947,0.038959,-0.013666,-0.016852,0.032337,0.025985,0.016243,-0.007787,-0.009417,0.008348,0.005212,0.042199,0.016368,0.009043,0.02057,0.000102,-0.013078,0.013499,0.011275,-0.019704,0.023486,0.006172,-0.012691,0.018082,0.004589,0.009412,0.006117,-0.007538,0.029213,0.000854,0.008946,0.025007,0.038499,0.011108,0.004406,0.047018,-0.001852,-0.013965,0.002545,0.02967,0.002186,0.015826,0.011765,-0.013804,-0.01864,0.013791,-0.000749,-0.010118,0.04123,0.0027,0.028788,0.032966,-0.024396,0.021613,0.026773,-0.014705,0.02221,0.010987,0.008889,0.024945,0.019069,0.011148,-0.023813,0.013442,0.009238,0.020126,-0.023066,-0.018523,0.002933,-0.013004,-0.002995,-0.005517,0.030628,0.014742,0.01078,0.008805,0.012133,0.023128,0.00478,,,,
9,2.338565,0.739341,0.48201,0.101061,0.098207,0.10403,0.128692,0.1214,0.10872,0.168649,0.067354,0.059533,0.095867,0.061255,0.015442,0.024708,0.0119,0.055515,-0.010749,0.07689,0.037183,0.019418,0.006392,0.027248,0.016161,0.036334,0.016711,0.043722,0.02338,-0.008749,-0.001878,0.014745,0.020195,0.025003,-0.03084,0.015087,0.010659,0.027123,-0.019056,0.054533,-0.000927,0.030817,0.007278,0.02072,0.015549,0.012698,-0.007563,-0.016115,0.01957,0.012303,0.033756,-0.002991,-0.005225,-0.007027,0.032922,-0.00269,0.006384,0.000438,0.027993,-0.011007,0.01738,-0.002737,0.039525,0.002776,-0.004012,0.039483,0.005595,0.025418,0.036648,0.006256,-0.001772,0.004826,0.016836,0.04823,0.006827,0.026513,-0.007253,0.039251,0.046567,0.011739,0.018029,0.008886,0.013079,-0.009005,0.009581,0.020364,0.018997,0.008535,0.037316,0.036136,-0.011663,-0.010387,-0.009167,0.003172,0.021902,-0.012672,0.000231,0.002322,0.030238,-0.008465,0.008181,0.031869,0.015496,-0.008635,0.033958,0.034612,0.001197,0.007934,-0.010782,0.025592,-0.007294,-0.007865,0.025614,0.049484,0.016219,-0.021127,0.001299,-0.006624,0.004123,0.044274,-0.00173,-0.007563,0.025613,0.024133,0.027469,0.017809,0.01752,0.009672,0.008449,-0.021876,0.001479,0.006792,0.04177,0.042688,0.031952,-0.010109,0.012875,0.017776,0.028144,0.004628,0.000244,-0.000947,0.023928,-0.008263,0.004713,-0.000714,,,,
10,2.008236,0.472526,0.224456,0.196492,0.091665,0.094674,0.071593,-0.003878,0.009152,0.047322,0.004194,0.020308,0.058196,0.013412,-0.010552,0.01799,-0.010862,-0.007082,0.062368,0.041657,0.022919,0.004522,0.034268,0.003803,0.004213,0.027288,0.02791,0.036595,0.067207,0.0393,0.015022,0.016912,0.01348,0.073377,0.035389,-0.003116,0.027109,0.02101,0.037997,0.076127,0.017447,0.015917,0.016617,0.030606,0.022357,0.003475,0.011758,0.024766,0.023796,0.026651,0.043764,0.020576,0.048343,-0.008389,0.023283,0.017346,0.009761,-0.026768,0.021412,0.026819,-0.000258,0.030162,0.048072,-0.008597,0.013919,0.028801,-0.02605,-0.00732,0.021943,0.031633,0.015508,0.014624,-0.00423,0.025652,0.0166,0.039742,0.002934,0.065731,-0.022617,0.039379,0.028797,-0.005278,-0.003511,0.01269,-0.017482,0.033365,0.024161,0.02711,0.010071,-0.009378,-0.006293,0.013926,-0.00432,0.034588,0.01663,0.042486,0.04332,-0.004838,0.009568,0.039077,0.027178,-0.020795,0.02806,-0.029429,0.022833,0.028122,-0.011379,0.017989,0.008321,0.01663,-0.017061,0.054112,0.013826,-0.001382,-0.020759,-0.006975,0.001004,-0.016574,0.002752,0.026068,-0.009461,0.006929,-0.009165,0.014229,0.039619,0.012514,7.2e-05,0.018228,0.064623,0.012062,-0.00745,-0.005596,-0.00162,0.026617,0.009704,0.011685,0.034203,0.037681,0.005959,0.007429,0.023709,0.023955,0.048917,-0.00834,0.017334,0.039869,,,,
11,0.665756,0.482323,0.519882,0.492622,0.428867,0.423908,0.024529,0.049581,0.048349,0.160309,0.014253,0.05969,0.025409,0.025118,0.033416,0.027838,0.015791,0.005317,0.044021,0.041682,0.018047,0.054318,-0.015569,0.017015,0.028609,0.012566,-0.009308,0.028274,-0.000176,0.021554,0.046553,-0.001868,0.025536,0.043528,0.003342,0.009311,0.058695,0.038764,0.038941,0.037129,0.001869,-0.010982,0.020165,0.002917,0.035186,0.013419,0.040379,0.051887,0.039705,-0.004017,0.002919,0.003373,0.04199,0.007,0.017922,0.077979,-0.007079,0.058795,0.016347,0.009533,-0.01115,0.035035,0.035938,0.014362,0.014343,-0.00788,0.048702,0.04755,0.012723,0.014828,0.010528,0.038054,0.022044,0.015768,0.00711,0.004108,-7e-06,0.039989,0.017,-0.013324,0.004101,0.025252,0.071429,0.015304,0.010405,0.019715,-0.012591,-0.017577,0.02472,0.039614,0.015032,0.010168,-0.010483,0.000749,-0.006631,-0.010134,0.005927,0.007333,0.002812,0.004796,0.008821,-0.025862,-0.012772,0.009097,0.001548,0.003526,0.008655,-0.013828,-0.009772,0.021063,-0.004829,0.009361,-0.026108,-0.010915,0.037737,0.0188,-0.018112,-0.00877,0.014147,-0.011674,-0.000587,0.000899,0.006026,0.030346,-0.001169,0.003805,-0.007441,-0.00878,0.002729,-0.005456,-0.006216,0.005327,0.016213,0.043309,0.001903,-0.015814,-0.016219,-0.02099,0.00327,-0.005859,0.003138,0.027969,-0.006008,0.003851,-0.009341,0.020937,,,,
