Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,3.057045,3.081389,1.496371,0.999109,0.457261,0.44291,0.45627,0.407653,0.422288,0.418052,0.458729,0.445901,0.433887,0.439094,0.456754,0.458103,0.461545,0.447147,0.416025,0.472331,0.444246,0.457923,0.44966,0.430466,0.427517,0.432005,0.431725,0.444536,0.465855,0.456119,0.43117,0.436809,0.437463,0.441035,0.433386,0.418496,0.4484,0.44463,0.444527,0.451457,0.462277,0.451147,0.440741,0.452812,0.371189,0.377416,0.364597,0.469632,0.431715,0.4596,0.385834,0.368044,0.35022,0.352146,0.357348,0.351778,0.366807,0.360873,0.358356,0.391697,0.365685,0.392094,0.375033,0.354999,0.376087,0.363353,0.365084,0.348041,0.361905,0.371077,0.353174,0.345829,0.364691,0.338686,0.375334,0.357188,0.353682,0.359476,0.393714,0.356383,0.351933,0.359206,0.36997,0.355885,0.383574,0.374927,0.356309,0.374878,0.374404,0.355397,0.349777,0.372885,0.3476,0.352211,0.393878,0.344609,0.355485,0.365585,0.354185,0.339149,0.345436,0.364948,0.337223,0.369369,0.359095,0.364293,0.365528,0.369477,0.375416,0.353663,0.351689,0.377296,0.344002,0.36237,0.361473,0.363902,0.369859,0.377216,0.362382,0.379677,0.358587,0.382931,0.357405,0.348396,0.363349,0.366378,0.354754,0.343454,0.369503,0.390924,0.374823,0.363562,0.369677,0.355729,0.352837,0.338997,0.363859,0.379093,0.356186,0.365138,0.339677,0.359444,0.365084,,,,,,,
1,4.583757,1.903,1.015497,1.004293,0.684523,0.647891,0.660435,0.598918,0.606545,0.568197,0.369317,0.370878,0.36572,0.349712,0.356341,0.352616,0.392149,0.375786,0.344486,0.353681,0.367088,0.359215,0.387466,0.373249,0.381425,0.382585,0.367778,0.350877,0.344471,0.377541,0.351717,0.36103,0.370515,0.39195,0.369692,0.34545,0.375185,0.356023,0.355089,0.385313,0.355712,0.384722,0.350073,0.364285,0.36349,0.367294,0.35536,0.323367,0.346718,0.362975,0.370773,0.369893,0.360916,0.359531,0.379941,0.353569,0.378356,0.380611,0.365011,0.375175,0.355969,0.374742,0.359198,0.391757,0.386476,0.383041,0.361302,0.357308,0.3624,0.34529,0.361688,0.351785,0.363116,0.366383,0.37523,0.369823,0.382193,0.341006,0.383181,0.367634,0.360256,0.351896,0.360834,0.342987,0.391506,0.378152,0.355844,0.374111,0.351192,0.351156,0.360408,0.37708,0.382717,0.366857,0.362811,0.368975,0.364637,0.392346,0.374571,0.361927,0.358067,0.333975,0.359808,0.339562,0.356645,0.376982,0.354315,0.355275,0.369727,0.374943,0.375914,0.391995,0.371523,0.352725,0.368023,0.358903,0.374181,0.349469,0.336728,0.366053,0.345005,0.353788,0.35284,0.346631,0.377883,0.378604,0.340741,0.361199,0.364933,0.372863,0.33959,0.373031,0.36898,0.36396,0.360857,0.345284,0.355133,0.372847,0.377408,0.363608,0.358524,0.368412,0.352372,,,,,,,
2,2.778239,1.259181,1.742736,1.758228,0.65781,0.617677,0.651646,0.371946,0.369096,0.348111,0.372283,0.433287,0.456393,0.431823,0.447864,0.362053,0.435391,0.431516,0.450593,0.445228,0.4447,0.463984,0.426356,0.454866,0.441131,0.427974,0.416079,0.462438,0.437947,0.42673,0.45551,0.43928,0.432587,0.218528,0.233131,0.206176,0.421282,0.424841,0.201361,0.208328,0.22159,0.438576,0.431878,0.425914,0.444076,0.443365,0.408825,0.426645,0.437438,0.432654,0.418701,0.465751,0.433351,0.446977,0.42748,0.454934,0.437337,0.42372,0.429938,0.416439,0.425725,0.414563,0.415257,0.397142,0.434837,0.416215,0.428306,0.414129,0.434848,0.419545,0.429921,0.410576,0.449238,0.434569,0.411596,0.429114,0.427283,0.431449,0.426051,0.438457,0.399749,0.408624,0.411647,0.432369,0.435514,0.415985,0.445076,0.439529,0.20256,0.221282,0.206687,0.438273,0.429416,0.440827,0.449865,0.457603,0.221164,0.204605,0.445657,0.417885,0.20475,0.429386,0.440135,0.202424,0.208535,0.23415,0.192243,0.210576,0.228471,0.195818,0.183524,0.215073,0.190381,0.218374,0.196073,0.203878,0.214034,0.20874,0.22527,0.202818,0.216971,0.358853,0.353254,0.367962,0.375449,0.353502,0.380973,0.372443,0.353987,0.35992,0.319981,0.364938,0.359684,0.367538,0.350651,0.365514,0.359607,0.347733,0.235464,0.204754,0.345599,0.351558,0.346138,,,,,,,
3,3.441577,2.138379,2.130448,0.975188,0.954812,0.961739,0.497806,0.37385,0.369817,0.369871,0.384563,0.353361,0.360523,0.390644,0.389332,0.344991,0.376765,0.351078,0.338306,0.360484,0.398299,0.339212,0.346267,0.355059,0.363208,0.37036,0.37499,0.353272,0.355581,0.348148,0.34767,0.387558,0.440904,0.422248,0.415919,0.410327,0.414468,0.440186,0.413053,0.432156,0.435717,0.428664,0.347384,0.371155,0.365783,0.375545,0.381531,0.37419,0.370025,0.357864,0.371591,0.362335,0.361447,0.350178,0.345128,0.369546,0.347032,0.355075,0.372219,0.369025,0.364106,0.373051,0.361122,0.363478,0.365294,0.354167,0.35797,0.356914,0.334509,0.358148,0.350491,0.355911,0.384598,0.351275,0.361876,0.366761,0.379284,0.375847,0.365793,0.366222,0.375576,0.360932,0.354099,0.344034,0.342117,0.367427,0.349284,0.346061,0.340906,0.375011,0.372052,0.351951,0.350965,0.336704,0.362277,0.351617,0.370901,0.367159,0.342044,0.348814,0.371246,0.355673,0.366944,0.358853,0.37382,0.345542,0.359174,0.3594,0.365189,0.352249,0.395137,0.374787,0.383891,0.337545,0.370929,0.33361,0.352026,0.340797,0.348337,0.358786,0.373716,0.345314,0.387598,0.35824,0.349321,0.362242,0.390892,0.357556,0.367375,0.344402,0.370113,0.339803,0.325731,0.380214,0.364817,0.361834,0.365508,0.344115,0.347185,0.352481,0.368436,0.36271,0.353516,,,,,,,
4,5.63155,1.144884,1.176804,1.160492,1.149749,1.858356,1.847978,0.377008,0.366461,0.503878,0.509613,0.555462,0.56641,0.567658,0.653618,0.55156,0.550713,0.539477,0.577214,0.56369,0.566476,0.574397,0.577643,0.371576,0.360857,0.364547,0.372442,0.37154,0.362328,0.364767,0.370366,0.364075,0.364219,0.343319,0.38177,0.37816,0.363263,0.349447,0.361478,0.353779,0.379734,0.37563,0.378727,0.36139,0.362883,0.35794,0.33891,0.361951,0.366148,0.367308,0.343316,0.363988,0.368562,0.374139,0.350944,0.364829,0.368597,0.367791,0.359256,0.386894,0.365061,0.351602,0.382957,0.359662,0.366728,0.358806,0.39094,0.36136,0.379135,0.356168,0.352775,0.369483,0.326487,0.356371,0.356586,0.37206,0.358512,0.381276,0.361715,0.38372,0.3605,0.381953,0.371865,0.370517,0.3539,0.369897,0.358154,0.363689,0.345771,0.356356,0.383621,0.354987,0.366958,0.350336,0.355081,0.361919,0.349179,0.378105,0.349977,0.362843,0.360132,0.35112,0.381905,0.370715,0.357558,0.373702,0.37092,0.367018,0.391776,0.351269,0.356133,0.336258,0.365387,0.363294,0.38929,0.384876,0.37009,0.366715,0.354545,0.376771,0.346905,0.357718,0.369982,0.345981,0.365078,0.348426,0.348865,0.356625,0.337808,0.35127,0.379952,0.352937,0.352482,0.360829,0.355357,0.363105,0.371865,0.350112,0.366211,0.365663,0.366041,0.351483,0.3842,,,,,,,
5,2.38985,1.258529,1.260894,1.244383,0.425179,0.432197,0.593468,0.57652,0.609369,0.594301,0.590642,0.632668,0.606122,0.575807,0.612481,0.606991,0.620639,0.568914,0.665187,0.567911,0.643071,0.626787,0.610367,0.608939,0.60859,0.600892,0.611308,0.583957,0.626003,0.625289,0.594146,0.601859,0.612019,0.61635,0.612975,0.624074,0.619355,0.447421,0.60304,0.428853,0.599089,0.407706,0.605864,0.424624,0.593924,0.604657,0.632155,0.61711,0.594049,0.625065,0.605129,0.632699,0.580297,0.623337,0.435262,0.591004,0.613097,0.610363,0.449495,0.607276,0.427803,0.602918,0.606537,0.422653,0.428757,0.426709,0.420578,0.424183,0.419872,0.440921,0.434842,0.410837,0.423587,0.420537,0.420242,0.417678,0.434448,0.428575,0.433937,0.423497,0.411008,0.413519,0.417869,0.438788,0.424358,0.44601,0.421588,0.431157,0.420699,0.392952,0.403143,0.431301,0.439073,0.420497,0.455821,0.432062,0.435553,0.448127,0.433141,0.2341,0.258753,0.235429,0.229522,0.263664,0.231177,0.245853,0.24787,0.222557,0.253213,0.25903,0.254185,0.244573,0.256728,0.21387,0.224136,0.238861,0.253399,0.271941,0.293429,0.252159,0.253233,0.229201,0.220186,0.24478,0.256257,0.243334,0.256326,0.2797,0.249865,0.245807,0.223498,0.230889,0.240513,0.258484,0.249919,0.221903,0.2367,0.258539,0.243747,0.262002,0.253509,0.240155,0.227361,,,,,,,
6,1.918489,1.9246,0.73307,0.751875,0.709291,0.737754,0.714391,0.483329,0.486763,0.471923,0.486718,0.470596,0.477384,0.476656,0.469437,0.460804,0.463073,0.481225,0.496378,0.500935,0.475055,0.492662,0.485302,0.482616,0.480482,0.481368,0.492182,0.463834,0.470036,0.450293,0.47991,0.374732,0.341095,0.369519,0.494209,0.487823,0.420663,0.39574,0.398035,0.390838,0.40284,0.410847,0.40101,0.435583,0.407953,0.418591,0.399036,0.424501,0.394752,0.386225,0.394298,0.394491,0.427185,0.416232,0.400741,0.403797,0.410556,0.420619,0.44487,0.393969,0.391431,0.407296,0.384555,0.377543,0.419742,0.405006,0.427718,0.413728,0.428481,0.409484,0.403767,0.405531,0.417069,0.401257,0.416661,0.382042,0.413293,0.415078,0.405575,0.419621,0.393336,0.398966,0.448764,0.393637,0.382993,0.409695,0.418933,0.388959,0.398106,0.410455,0.411297,0.398692,0.418119,0.423742,0.403458,0.399788,0.420563,0.411557,0.390128,0.383738,0.406638,0.403591,0.409186,0.394854,0.40995,0.390639,0.396798,0.412287,0.393799,0.400996,0.404475,0.424841,0.421396,0.407296,0.414522,0.435507,0.398916,0.390043,0.417692,0.404996,0.438355,0.425388,0.408042,0.410311,0.398853,0.39579,0.407462,0.409294,0.408782,0.427995,0.401821,0.396763,0.409538,0.403302,0.39986,0.415187,0.40229,0.420847,0.418091,0.413578,0.413666,0.418811,0.380557,,,,,,,
7,4.020519,2.478288,0.742877,0.759983,0.819493,0.748335,0.802491,0.817337,0.741523,0.267607,0.255651,0.266758,0.28539,0.242692,0.272789,0.289627,0.269461,0.246494,0.293981,0.275939,0.276328,0.282774,0.249747,0.27858,0.263576,0.29254,0.287192,0.304489,0.294371,0.268492,0.275438,0.255131,0.287981,0.283533,0.292757,0.283881,0.271823,0.283239,0.279375,0.272379,0.263255,0.28829,0.258798,0.236056,0.322143,0.286303,0.261202,0.298854,0.266464,0.275419,0.290818,0.28099,0.250396,0.302266,0.261409,0.265628,0.268819,0.261156,0.281951,0.275671,0.276911,0.256846,0.272684,0.273058,0.292584,0.283413,0.276645,0.293264,0.287597,0.285016,0.289537,0.277393,0.280392,0.271804,0.276387,0.290264,0.271908,0.281904,0.266472,0.263749,0.23837,0.278463,0.284465,0.281254,0.280642,0.285521,0.27849,0.291446,0.290897,0.29742,0.27187,0.278194,0.28937,0.277048,0.269302,0.27161,0.290926,0.299182,0.281175,0.267018,0.271803,0.289835,0.284802,0.272938,0.287973,0.255303,0.27471,0.270632,0.271861,0.249675,0.294159,0.283628,0.284538,0.243237,0.28383,0.298907,0.265972,0.226341,0.274975,0.293898,0.257316,0.265152,0.285246,0.298852,0.289298,0.272721,0.257907,0.269569,0.268344,0.272642,0.267896,0.302922,0.273049,0.280404,0.297979,0.267345,0.253749,0.292372,0.235531,0.262898,0.28082,0.236458,0.284144,,,,,,,
8,3.646665,2.244594,1.773693,2.302474,0.635135,0.346571,0.582133,0.579676,0.578129,0.53354,0.37158,0.37156,0.432439,0.449262,0.413693,0.425551,0.428543,0.45115,0.372253,0.359751,0.369841,0.457734,0.342749,0.347142,0.437242,0.449818,0.43099,0.351741,0.422522,0.363447,0.380201,0.367328,0.358969,0.333775,0.375714,0.36535,0.391305,0.365076,0.361409,0.377453,0.366294,0.372046,0.350429,0.371836,0.342681,0.45257,0.391029,0.459145,0.361537,0.42281,0.358664,0.35127,0.376887,0.3606,0.379081,0.362253,0.408409,0.376357,0.343837,0.371438,0.367716,0.379124,0.365553,0.367437,0.351501,0.378509,0.351482,0.362652,0.393207,0.354835,0.386602,0.379958,0.360606,0.343687,0.380311,0.362737,0.358236,0.38539,0.393071,0.359373,0.352727,0.363448,0.378224,0.360765,0.38934,0.366425,0.38026,0.359887,0.374444,0.372069,0.373883,0.377767,0.387016,0.365728,0.359007,0.372114,0.392879,0.37008,0.389406,0.389021,0.371995,0.342109,0.375342,0.382456,0.389209,0.364905,0.364514,0.40839,0.366202,0.36375,0.380586,0.369801,0.369029,0.370435,0.341418,0.368551,0.373067,0.377714,0.374,0.367273,0.345886,0.385706,0.368601,0.354892,0.398769,0.380675,0.361989,0.353284,0.385596,0.367213,0.388386,0.382772,0.362658,0.377242,0.388665,0.39056,0.353772,0.38412,0.397828,0.37948,0.342329,0.357862,0.365308,,,,,,,
9,0.480224,0.509905,0.473276,0.62956,0.370421,0.379499,0.383785,0.367413,0.397256,0.372025,0.384125,0.382074,0.376824,0.387239,0.359396,0.373336,0.393285,0.35634,0.376427,0.393815,0.370226,0.394841,0.381238,0.405057,0.389378,0.376124,0.405502,0.364061,0.368466,0.377376,0.38038,0.378745,0.379004,0.390926,0.389527,0.246753,0.230173,0.206235,0.22249,0.213346,0.214237,0.230604,0.225654,0.210985,0.211631,0.200744,0.207768,0.227912,0.218173,0.375828,0.234828,0.230324,0.221024,0.20162,0.213465,0.18138,0.221699,0.225135,0.219919,0.218556,0.224756,0.197123,0.209706,0.212475,0.216578,0.200413,0.229297,0.19609,0.243581,0.216453,0.217289,0.224574,0.218054,0.207796,0.199577,0.22687,0.214589,0.23418,0.186619,0.211665,0.21047,0.236956,0.214115,0.206189,0.181126,0.215142,0.206941,0.238296,0.235538,0.198574,0.21381,0.232523,0.207313,0.202202,0.226938,0.226271,0.20582,0.201934,0.215339,0.233846,0.225033,0.212365,0.211185,0.189173,0.200446,0.213029,0.230649,0.226381,0.201396,0.220306,0.191657,0.214168,0.216641,0.200288,0.203539,0.207694,0.228273,0.207005,0.218348,0.252534,0.219725,0.220722,0.240277,0.195681,0.206173,0.224697,0.204541,0.235394,0.221331,0.229711,0.198574,0.237115,0.235781,0.226117,0.221131,0.201527,0.201997,0.190652,0.202542,0.212441,0.217145,0.216126,0.232095,,,,,,,
10,3.918918,0.941496,0.928468,1.140203,0.929477,0.934793,0.956331,0.516719,0.500351,0.5061,0.508801,0.371371,0.362597,0.349569,0.202791,0.188131,0.208102,0.211356,0.204332,0.211282,0.223391,0.237557,0.214559,0.208505,0.230423,0.179298,0.220501,0.222966,0.188882,0.203074,0.201856,0.218115,0.196899,0.210602,0.227392,0.194736,0.197178,0.181181,0.224503,0.225158,0.225919,0.204091,0.230433,0.214612,0.221944,0.239936,0.216812,0.221112,0.205806,0.219094,0.203299,0.215587,0.222642,0.180965,0.222537,0.233231,0.202399,0.209772,0.226889,0.244773,0.221143,0.209367,0.215018,0.222261,0.220544,0.191055,0.214642,0.224294,0.195295,0.185412,0.216576,0.214502,0.212653,0.227704,0.224826,0.206201,0.217922,0.231554,0.224308,0.225477,0.220679,0.228384,0.221225,0.228644,0.2152,0.201041,0.224729,0.20928,0.23932,0.224371,0.216987,0.226123,0.195445,0.204086,0.20808,0.230415,0.199002,0.219223,0.217495,0.221602,0.204779,0.228194,0.23133,0.206719,0.213978,0.227746,0.186148,0.202356,0.220081,0.23831,0.211196,0.234312,0.213408,0.236267,0.21078,0.217899,0.214897,0.21642,0.201658,0.239099,0.219159,0.23381,0.223984,0.203259,0.222589,0.232586,0.223841,0.209135,0.19381,0.194483,0.20654,0.198386,0.221773,0.20108,0.220189,0.206922,0.220778,0.204507,0.2226,0.219764,0.209608,0.221562,0.203234,,,,,,,
11,1.064536,1.084128,1.213997,1.204647,1.514603,1.115619,1.127709,0.497597,0.375785,0.377449,0.374624,0.358572,0.367434,0.369328,0.367812,0.418816,0.346079,0.258524,0.237233,0.244496,0.22803,0.210605,0.240207,0.248425,0.226367,0.249807,0.256552,0.239047,0.296223,0.296455,0.265618,0.279525,0.294794,0.307848,0.277473,0.275091,0.287776,0.28002,0.271224,0.276146,0.363801,0.251398,0.252661,0.234895,0.258991,0.26096,0.288178,0.290318,0.386746,0.262655,0.255286,0.270804,0.302693,0.287142,0.263734,0.273011,0.259732,0.303561,0.270248,0.256241,0.256717,0.294612,0.277236,0.263444,0.281414,0.27049,0.258597,0.299522,0.292482,0.273388,0.291536,0.275912,0.259134,0.255369,0.251941,0.283337,0.273002,0.264258,0.270514,0.295693,0.277848,0.263225,0.269071,0.28307,0.309243,0.290113,0.274854,0.25779,0.292114,0.269017,0.271335,0.257903,0.276599,0.28675,0.261055,0.268536,0.283608,0.282346,0.292663,0.270311,0.25884,0.274989,0.285542,0.29529,0.29967,0.266254,0.275842,0.257117,0.280724,0.26189,0.274364,0.291127,0.278685,0.285583,0.26243,0.273508,0.293348,0.244466,0.25137,0.289501,0.269395,0.265251,0.278436,0.276356,0.287938,0.258053,0.288879,0.283764,0.275025,0.282733,0.277821,0.282146,0.264581,0.254958,0.30501,0.296861,0.27981,0.257962,0.280634,0.25304,0.271259,0.289567,0.293549,,,,,,,
12,0.568341,0.6062,0.412773,0.573748,0.486667,0.397377,0.380651,0.406243,0.400523,0.401155,0.411618,0.385665,0.398829,0.366966,0.381964,0.377596,0.366587,0.383639,0.371899,0.378184,0.365403,0.359853,0.350132,0.37488,0.364945,0.353737,0.346043,0.358862,0.340206,0.376116,0.328616,0.340951,0.352251,0.352259,0.364778,0.448322,0.427623,0.451082,0.44082,0.413531,0.29354,0.271616,0.277158,0.266941,0.270676,0.445315,0.283524,0.277657,0.279532,0.304556,0.265027,0.292882,0.265489,0.266932,0.238796,0.288959,0.264021,0.27214,0.282823,0.278269,0.272304,0.424203,0.433302,0.245027,0.259946,0.424158,0.28025,0.268461,0.298557,0.27052,0.266929,0.283099,0.26253,0.424729,0.449127,0.413943,0.439115,0.432893,0.431631,0.418364,0.405363,0.430329,0.418605,0.419228,0.436301,0.454262,0.428488,0.406431,0.42934,0.446358,0.423896,0.428489,0.413711,0.427921,0.431807,0.406113,0.416197,0.430202,0.431212,0.444604,0.446242,0.433354,0.423656,0.443352,0.42862,0.394651,0.427056,0.411126,0.432247,0.430131,0.475199,0.422496,0.460225,0.419316,0.413207,0.461372,0.430806,0.426099,0.42508,0.418044,0.435336,0.432269,0.441594,0.429208,0.418255,0.442958,0.269348,0.435513,0.424215,0.437086,0.439937,0.409341,0.433877,0.452966,0.412282,0.450118,0.430346,0.386199,0.422285,0.44519,0.464425,0.431938,0.440898,,,,,,,
13,6.267711,2.609606,0.915048,0.939392,0.93016,0.35103,0.358455,0.379899,0.344621,0.340368,0.324852,0.3611,0.351476,0.361406,0.379194,0.369583,0.359017,0.376078,0.375338,0.340378,0.354524,0.240768,0.238597,0.249543,0.265715,0.243903,0.401355,0.284699,0.271341,0.294085,0.272019,0.270393,0.291353,0.278524,0.271316,0.268107,0.265825,0.28443,0.27133,0.274773,0.263628,0.291605,0.283202,0.286022,0.212132,0.260941,0.281912,0.244863,0.246012,0.251661,0.256805,0.242261,0.283202,0.223496,0.229799,0.25029,0.269926,0.26109,0.229769,0.247142,0.22939,0.250993,0.275381,0.275681,0.239956,0.242861,0.259151,0.2395,0.254485,0.243805,0.253643,0.245607,0.231576,0.256337,0.249666,0.237418,0.241529,0.239175,0.26103,0.219126,0.267903,0.238476,0.25609,0.251296,0.240341,0.255742,0.246742,0.218344,0.270297,0.231887,0.244413,0.217942,0.243317,0.24952,0.278004,0.244009,0.247974,0.250976,0.252844,0.25103,0.245986,0.257908,0.257331,0.256773,0.254884,0.246979,0.231816,0.235744,0.259615,0.278146,0.260296,0.22819,0.247531,0.249375,0.24392,0.248068,0.238785,0.265111,0.2466,0.258007,0.257899,0.240331,0.233236,0.262944,0.234658,0.208442,0.233742,0.251824,0.232314,0.243605,0.233919,0.239358,0.260323,0.25011,0.241871,0.231886,0.229853,0.230023,0.253146,0.243127,0.270972,0.260438,0.254545,,,,,,,
14,2.882609,2.174245,2.177563,2.145338,1.050071,1.030354,0.933894,0.886854,0.900937,0.436628,0.440495,0.459802,0.605388,0.586253,0.630942,0.585833,0.606374,0.592692,0.618928,0.630164,0.609419,0.626486,0.358123,0.381774,0.452768,0.43161,0.416792,0.441836,0.425101,0.413212,0.436038,0.435377,0.40586,0.398858,0.432957,0.415498,0.432513,0.412573,0.435918,0.445435,0.43556,0.420289,0.438872,0.404135,0.390725,0.339878,0.364559,0.360907,0.437297,0.447461,0.424053,0.421463,0.395946,0.427795,0.42378,0.429817,0.423602,0.429987,0.426724,0.432461,0.435811,0.408741,0.451091,0.416172,0.430779,0.409455,0.437054,0.431325,0.437659,0.344918,0.366499,0.353349,0.34093,0.394624,0.361222,0.355728,0.364208,0.378415,0.353392,0.3568,0.333113,0.362132,0.362843,0.353392,0.353535,0.363241,0.395503,0.368663,0.346151,0.336882,0.328937,0.403239,0.362203,0.211782,0.202594,0.224226,0.218933,0.233375,0.218119,0.232065,0.205611,0.206516,0.218772,0.226883,0.220426,0.185519,0.222313,0.210787,0.228677,0.202327,0.220949,0.198796,0.20052,0.217103,0.235887,0.22395,0.224464,0.222285,0.233942,0.229731,0.210274,0.190622,0.199124,0.220887,0.221978,0.204272,0.24052,0.207923,0.225761,0.237534,0.209748,0.23939,0.212193,0.213852,0.212176,0.196623,0.211139,0.210385,0.199,0.224811,0.224154,0.212529,0.216562,,,,,,,
15,3.670814,1.519675,1.502919,0.554904,0.552129,0.63521,0.555998,0.59169,0.584259,0.581357,0.359675,0.377121,0.368693,0.36451,0.367418,0.36366,0.336014,0.44533,0.376249,0.362439,0.372879,0.336349,0.368426,0.369202,0.392504,0.447859,0.443621,0.45746,0.438416,0.426239,0.435573,0.406494,0.271345,0.286053,0.254213,0.282236,0.278072,0.297908,0.292451,0.288069,0.268737,0.268221,0.272896,0.273652,0.277301,0.252125,0.275371,0.268571,0.266427,0.285617,0.275551,0.260751,0.294525,0.267771,0.287969,0.291294,0.28219,0.278213,0.275249,0.257775,0.277109,0.27077,0.265933,0.294061,0.266706,0.260699,0.267106,0.282117,0.281296,0.267597,0.264812,0.256575,0.282324,0.246155,0.299338,0.293817,0.253749,0.264437,0.304492,0.266526,0.253186,0.271674,0.263215,0.285574,0.269584,0.277389,0.271645,0.298665,0.261184,0.267026,0.287899,0.263075,0.244839,0.255044,0.299498,0.272677,0.259565,0.272927,0.277586,0.261793,0.278236,0.286677,0.254122,0.284291,0.286599,0.285438,0.293164,0.278314,0.316859,0.275798,0.276019,0.276631,0.295997,0.277157,0.27656,0.277281,0.28487,0.277847,0.272618,0.300022,0.298848,0.269631,0.278818,0.286791,0.275126,0.268318,0.307391,0.285843,0.275965,0.292552,0.28314,0.265431,0.277711,0.26962,0.279873,0.282745,0.273852,0.261845,0.277521,0.283749,0.282626,0.286024,0.267103,,,,,,,
16,3.605484,3.335898,1.048126,0.645274,0.642293,0.605188,0.614528,0.628203,1.464295,1.048985,0.654683,0.628367,0.641686,0.632823,0.629538,0.651153,0.6288,0.637501,0.23583,0.628567,0.260125,0.243965,0.251752,0.631709,0.652996,0.619644,0.638157,0.485772,0.443316,0.47293,0.472162,0.481962,0.478172,0.479846,0.484208,0.490528,0.456467,0.481929,0.383602,0.375265,0.366266,0.387232,0.375182,0.3697,0.394062,0.382092,0.399279,0.388857,0.375549,0.370867,0.361596,0.377906,0.386566,0.382753,0.376539,0.378583,0.373613,0.361919,0.390303,0.368741,0.384899,0.359491,0.382509,0.367974,0.388922,0.381417,0.373334,0.375277,0.370254,0.351808,0.37861,0.394503,0.386139,0.388372,0.387379,0.375506,0.36424,0.37624,0.399465,0.376909,0.373997,0.391807,0.368528,0.379942,0.358786,0.39432,0.389929,0.367666,0.389819,0.332777,0.366323,0.384918,0.379916,0.33846,0.325564,0.333246,0.389373,0.326236,0.324532,0.342766,0.343376,0.327663,0.313307,0.337048,0.405098,0.36517,0.369452,0.326783,0.380167,0.366858,0.400212,0.389377,0.372319,0.34376,0.323391,0.319051,0.366513,0.347391,0.33723,0.347352,0.360155,0.347894,0.345922,0.316819,0.200519,0.209838,0.214594,0.376803,0.191379,0.195888,0.207578,0.217034,0.197192,0.214772,0.249768,0.215641,0.216426,0.33148,0.351662,0.352538,0.356552,0.352158,0.368438,,,,,,,
17,5.269645,3.340399,0.624716,0.638179,0.609319,0.639549,0.500487,0.4856,0.492869,0.507209,0.495429,0.487038,0.494786,0.497598,0.484082,0.511303,0.483277,0.476941,0.499825,0.506107,0.489861,0.505294,0.481365,0.501156,0.368941,0.369413,0.366282,0.370587,0.392929,0.345887,0.345641,0.342752,0.373561,0.392666,0.365974,0.355413,0.379305,0.375938,0.370094,0.356636,0.378672,0.402395,0.37067,0.361321,0.381612,0.393978,0.349133,0.35956,0.375644,0.349753,0.369163,0.390677,0.390986,0.388236,0.375667,0.403417,0.37579,0.362553,0.361869,0.391425,0.386666,0.385928,0.373479,0.391074,0.345623,0.392134,0.382859,0.369393,0.355896,0.404966,0.375692,0.350554,0.370655,0.361024,0.387331,0.374384,0.363346,0.361106,0.378575,0.397489,0.364814,0.364417,0.375238,0.381665,0.396075,0.35653,0.378827,0.382481,0.365972,0.360129,0.360097,0.364907,0.360792,0.365719,0.356889,0.384207,0.361268,0.365665,0.385554,0.382076,0.38254,0.368107,0.362735,0.385412,0.375213,0.387504,0.399123,0.367517,0.406633,0.38131,0.364798,0.364012,0.377033,0.374021,0.382023,0.391121,0.352389,0.36317,0.360429,0.384342,0.354024,0.373678,0.391396,0.380098,0.363364,0.37478,0.382272,0.355786,0.366028,0.33641,0.360028,0.352913,0.407468,0.371399,0.369685,0.358122,0.372602,0.361099,0.383026,0.37193,0.382707,0.364421,0.387178,,,,,,,
