Repetition,Step_1,Step_2,Step_3,Step_4,Step_5,Step_6,Step_7,Step_8,Step_9,Step_10,Step_11,Step_12,Step_13,Step_14,Step_15,Step_16,Step_17,Step_18,Step_19,Step_20,Step_21,Step_22,Step_23,Step_24,Step_25,Step_26,Step_27,Step_28,Step_29,Step_30,Step_31,Step_32,Step_33,Step_34,Step_35,Step_36,Step_37,Step_38,Step_39,Step_40,Step_41,Step_42,Step_43,Step_44,Step_45,Step_46,Step_47,Step_48,Step_49,Step_50,Step_51,Step_52,Step_53,Step_54,Step_55,Step_56,Step_57,Step_58,Step_59,Step_60,Step_61,Step_62,Step_63,Step_64,Step_65,Step_66,Step_67,Step_68,Step_69,Step_70,Step_71,Step_72,Step_73,Step_74,Step_75,Step_76,Step_77,Step_78,Step_79,Step_80,Step_81,Step_82,Step_83,Step_84,Step_85,Step_86,Step_87,Step_88,Step_89,Step_90,Step_91,Step_92,Step_93,Step_94,Step_95,Step_96,Step_97,Step_98,Step_99,Step_100,Step_101,Step_102,Step_103,Step_104,Step_105,Step_106,Step_107,Step_108,Step_109,Step_110,Step_111,Step_112,Step_113,Step_114,Step_115,Step_116,Step_117,Step_118,Step_119,Step_120,Step_121,Step_122,Step_123,Step_124,Step_125,Step_126,Step_127,Step_128,Step_129,Step_130,Step_131,Step_132,Step_133,Step_134,Step_135,Step_136,Step_137,Step_138,Step_139,Step_140,Step_141,Step_142,Step_143,Step_144,Step_145,Step_146,Step_147,Step_148,Step_149,Step_150
0,0.822216,0.822283,0.90489,0.899879,0.464349,0.396212,0.395175,0.211231,0.212279,0.204781,0.51782,0.51942,0.511812,0.183163,0.162658,0.008768,0.014536,-0.003313,0.165766,0.179641,0.162349,-0.005013,0.169413,0.161298,0.184386,0.001837,-0.009293,0.008489,0.019117,0.002467,0.012133,-0.011163,-0.005305,0.017899,0.00628,0.006502,0.031724,-0.011304,0.018421,0.032492,-0.005498,0.005279,0.003346,0.008635,-0.012923,0.022153,0.015687,0.008948,0.009158,0.000148,0.011735,0.174269,0.177198,0.029728,-0.006108,0.008439,0.007813,0.038411,0.170009,-0.016576,-0.004771,0.029722,-0.007347,0.011594,0.025038,0.003923,0.03269,0.006334,0.012202,-0.007151,0.003124,0.005958,0.022899,0.011248,0.009968,-0.036936,-0.005764,-0.001937,0.017245,0.003611,-0.022639,-0.021721,0.019005,0.008761,0.024956,0.02103,-0.00412,0.008203,0.002819,0.010685,0.035486,0.007803,0.018215,0.004201,0.021759,0.028527,0.014446,0.028969,-0.010599,-0.019105,0.005784,0.006866,0.001836,0.002465,0.002657,0.024335,0.019309,-0.00462,0.002577,0.012062,0.001627,-0.006442,0.001132,0.005387,0.007028,-0.007206,0.001626,-0.003422,-0.010197,-0.011211,0.018477,-0.004354,0.020012,0.021062,-0.012194,0.003864,0.009635,-0.000941,-0.015895,0.021581,0.018514,0.010946,0.012262,0.010155,0.019671,-0.005672,0.00263,-0.00355,-0.009995,-0.011326,-0.012001,0.020957,0.013683,-0.014281,0.01458,0.003464,,,,
1,4.600847,0.94011,0.904191,0.260027,0.28,0.225682,0.234626,0.238311,0.27146,0.24701,0.401727,0.290333,0.402733,0.219048,0.219625,0.192776,0.230384,0.217582,0.206708,0.15109,0.234009,0.177382,0.152323,-0.009641,0.001282,0.005919,0.020554,-0.002254,-0.024088,0.001208,-0.01962,0.000877,0.015602,-0.003644,0.009036,0.018583,0.00138,-0.010962,0.004336,0.008553,-0.005722,0.019039,0.003124,0.018381,0.013093,0.003019,-0.010126,-0.022914,0.0,-0.008419,0.033271,0.021123,0.022684,-0.015427,0.009975,-0.002765,0.002002,0.005933,0.001001,0.006147,0.048637,-0.00913,0.01482,-0.006776,-0.012801,-0.005432,-0.016593,-0.003056,-0.006986,-0.0101,0.002425,-0.001197,0.006756,-0.020653,-0.015451,0.021712,-0.015897,-0.004811,-0.002962,0.008569,0.010655,-0.008395,-0.002226,0.011721,0.004763,-0.012019,-0.006657,0.015033,-0.023717,-0.001152,-0.004507,0.005753,-0.004918,0.004158,0.003419,0.007988,0.014175,0.025938,-0.015594,-0.005464,-0.011485,0.023827,-0.009856,-0.021011,-0.007602,0.030316,0.002181,0.008098,0.011575,0.01671,0.012734,0.002769,0.001647,0.010665,0.011306,-0.001231,-0.013706,-0.008213,0.002189,0.029937,0.010162,-0.023129,0.029314,0.01374,-0.014983,0.013314,0.002142,-0.013958,-0.01535,0.009073,-0.000547,0.005533,0.001614,0.00629,0.011814,0.004386,-0.014364,0.004275,0.00154,0.011973,0.012388,-0.017338,0.018609,-0.007657,0.017364,-0.00215,,,,
2,1.31573,0.616249,0.594034,0.425408,0.166667,0.186531,0.065286,0.045623,0.057256,0.033391,0.030848,0.065658,0.030828,0.049112,0.049689,0.042254,0.052144,0.035005,0.07118,0.023072,0.04671,0.038335,0.061089,0.030592,0.029206,0.077038,0.0628,0.047914,0.034935,0.044913,0.045533,0.068199,0.037946,0.03651,0.040971,0.04869,0.083385,-0.012988,0.00705,0.053918,-0.007378,0.015246,0.025208,0.012441,0.061464,-0.002032,0.0302,0.024829,0.035532,0.016306,0.005214,-0.015603,0.052666,0.025965,0.002104,0.008874,0.023166,-0.018094,0.005777,0.022169,0.010391,-0.008096,0.024274,0.048225,0.019406,0.016244,0.007059,0.031854,0.004395,-0.002958,0.021503,0.041155,0.02471,0.023538,-0.001588,0.007121,0.008429,0.01854,0.010526,0.02743,0.001607,0.008318,-0.032834,0.024759,0.024539,0.007531,-0.001468,0.024888,0.026877,0.020934,0.001112,-0.00859,0.024474,0.026456,0.008619,0.029808,-0.002134,0.008459,0.020501,-0.011917,0.001286,-0.008405,-0.004092,0.021877,-0.001994,0.022716,-0.000617,0.007279,0.006358,0.036114,0.011678,0.006718,0.021559,0.032172,0.010373,-0.000311,-0.003952,0.017628,0.008343,0.022266,0.009409,0.018335,0.020562,0.003885,0.022342,0.002986,-0.008875,0.012279,0.013591,0.028816,0.005045,-0.010867,0.005655,0.039718,0.019851,-0.000415,0.017217,0.032367,0.021784,0.00192,0.0231,0.011546,0.020392,0.043303,0.02928,0.037364,,,,
3,1.181858,1.845236,0.528306,0.494145,0.512158,0.508006,0.357369,0.346222,0.349163,0.532675,0.5266,0.271711,0.25765,0.27979,0.285433,0.101572,0.145885,0.299693,0.15396,0.127468,0.135161,0.149398,0.171328,0.143503,0.139314,0.008295,-0.002239,0.004691,-0.015001,-0.01686,0.014439,0.001412,-0.006056,-0.004019,0.017924,-0.025341,-0.023163,-0.010522,-0.016932,0.013728,0.017063,0.025402,0.001605,0.041052,0.017792,0.000508,0.015506,0.028588,0.01257,-0.015173,-0.006841,0.001257,-0.003676,-0.012325,0.00078,-0.001637,-0.006704,-0.000492,-0.002941,0.014409,-0.010085,0.015626,0.006776,-0.01488,0.020567,0.007103,0.000223,-0.004508,-0.002063,-0.001856,-0.008203,-0.003085,0.015126,0.006288,-0.00274,-0.002087,-0.009272,-0.010212,-0.007071,-0.001282,-0.007757,-0.018744,0.009846,0.000458,-0.010379,0.027576,-0.013593,0.005298,-0.002449,0.010296,-0.008572,-0.005646,0.022044,0.004546,0.009767,0.003382,0.007029,0.001427,0.016996,0.025173,-0.004701,0.018959,0.011234,0.013366,0.036323,0.002924,-0.005224,-0.003089,0.01597,0.013891,-0.02681,0.008455,0.019373,-0.01945,0.026911,0.011908,0.01155,-0.001838,-0.023013,0.003834,0.025983,0.014733,0.015265,-0.023218,-0.004876,-0.002561,0.008608,0.045434,-0.015929,0.00683,-0.001003,0.006399,0.003007,-0.025732,0.010443,0.022882,-0.00611,1.6e-05,0.007043,-0.00635,0.012177,-0.013148,0.001565,-0.003272,0.015906,-0.009443,,,,
4,1.101107,0.765957,1.109657,0.793571,0.566851,0.571056,0.24922,0.278817,0.254413,0.261991,0.276525,0.000788,0.026393,0.024978,0.02075,0.023299,0.003724,-0.001665,0.000128,0.007125,0.001302,-0.004213,-0.000699,-0.001614,0.023042,0.003087,-0.007137,-0.015119,-0.002315,0.009187,-0.00139,0.005156,-0.014937,-0.015789,-0.020595,0.008036,-0.006713,0.016937,-0.01233,-0.017899,0.023638,0.003291,0.002188,0.007009,-0.006381,-0.00554,0.005346,0.002027,0.010669,-0.008255,-0.018396,-0.01536,-0.007114,-0.005931,-0.019447,0.002186,-0.00385,-0.009582,-0.00635,-0.016671,-0.010941,-0.001168,-0.016544,-0.005063,0.026131,-0.019074,-0.014031,0.017771,-0.006282,0.004335,-0.005866,-0.011233,-0.012398,-0.028168,-0.009732,0.001728,0.00524,-0.003805,-0.006487,0.00947,0.012955,0.009071,0.01417,0.01659,0.011779,-0.005474,-0.007164,0.004427,-0.011828,0.004906,-0.006593,0.00672,0.021255,-0.015559,-0.005928,-0.007832,0.018114,0.010865,-0.006575,0.000368,-0.010305,0.026284,0.008813,-0.015093,-0.007764,-0.001797,0.008499,0.004934,0.010814,0.021013,0.009731,0.011493,0.016824,0.038434,-0.020058,-0.004798,0.007147,0.007103,-0.027699,0.01417,-0.001658,0.00474,0.007709,-0.000477,-0.004424,0.016646,0.007068,0.003734,0.006226,0.003727,0.015111,0.009777,0.011888,-0.026959,0.019323,-0.003703,-0.019336,-0.004001,-0.014584,0.013328,0.006813,-0.014144,0.016135,-0.013982,0.00291,-0.001697,,,,
5,2.402764,0.841703,0.756057,0.771527,0.74855,0.62281,0.776672,0.747881,0.7798,0.725748,0.73594,0.742043,0.732339,0.748189,0.746987,0.75539,0.765306,0.740879,0.75112,0.721451,0.723608,0.742512,0.746844,0.74082,0.149448,0.126837,0.178468,0.182703,0.165249,0.137135,0.182363,0.168369,0.151657,0.019587,0.016047,0.020414,0.152082,0.021455,0.016624,0.005126,0.044453,0.119815,0.330296,0.301641,0.346124,0.313552,0.322868,0.314019,0.357529,0.303431,0.311102,0.329778,0.294881,0.323273,-0.000993,0.311693,0.299766,0.300229,0.012693,0.010088,0.030481,-0.016579,0.008521,0.008107,0.326523,0.332633,0.01614,0.310984,0.008571,0.01206,-0.013899,0.007446,0.039717,0.008896,0.007847,0.013439,-0.00157,0.01,-0.007336,0.01566,0.018674,0.027046,0.029096,0.021433,0.022187,-0.003485,0.011399,0.020527,0.011344,0.036622,0.005745,-0.007764,0.00614,0.029511,0.015432,0.025886,0.012401,0.008361,0.018053,0.022123,-0.00256,0.032422,0.023182,0.001741,-0.002637,0.007733,0.025638,-0.013771,-0.000873,0.01279,0.029465,0.014427,0.030065,0.025847,0.015186,0.000827,0.002075,0.031039,0.040155,-0.006202,0.015009,-0.004559,-0.008918,0.013747,0.015681,0.027145,0.014795,-0.010313,0.019951,0.007277,-0.007153,0.003555,0.005234,0.007221,-0.007112,0.036363,-0.003747,0.034993,0.020204,-0.007345,0.015577,0.00533,0.023042,0.014057,-0.003753,-0.001947,,,,
6,1.725384,1.63863,0.317493,0.29993,0.024166,0.04245,-0.004363,0.056333,0.035699,0.045912,0.010569,0.041017,0.032534,0.003034,0.039594,-0.00442,0.010248,0.007849,0.032711,0.008251,0.020365,0.009823,0.007914,0.004775,0.013887,0.023635,0.038662,-0.019368,0.058389,0.014263,0.05707,0.010008,0.015119,0.00057,0.015451,0.011005,0.0326,0.051496,0.016049,0.029634,0.008252,0.026951,-0.010889,0.013664,0.021568,0.034127,0.038266,0.023017,0.0182,0.025139,0.016029,0.014231,0.001672,0.003755,-0.000789,-0.008969,0.004482,0.021348,0.015879,0.031104,-0.001057,0.037602,0.019387,0.01102,0.029488,0.008462,0.022169,0.024091,0.019659,-0.005215,0.027429,0.006567,0.028786,0.018099,0.005882,0.013606,0.009798,0.037944,0.008203,0.015184,0.001757,0.003347,-0.005662,0.037456,0.025166,0.018221,0.024703,0.015608,0.025968,0.037996,0.021828,0.043461,0.052685,-0.012819,0.024501,0.002918,0.022442,0.03191,0.005519,0.02964,0.006423,0.034553,0.024105,0.02552,-0.005487,0.019406,0.042723,0.021933,-0.004582,0.013227,0.005948,0.013767,0.024298,0.012685,0.021089,0.021753,0.015681,0.025015,0.018475,0.02893,0.01188,0.037031,0.039527,0.026335,-0.008897,-0.007648,0.026259,0.004621,0.021245,0.011591,0.013767,0.025779,0.016493,0.028856,0.033948,-0.003495,0.031102,0.007313,0.019646,0.071001,0.01519,0.027024,0.026999,0.008962,0.033096,0.027809,,,,
7,5.355259,0.538713,0.534011,0.78736,0.402561,0.437927,0.431299,0.036969,0.046077,0.050751,0.041007,0.059684,0.053589,0.072191,0.038225,0.077405,0.171392,0.057724,0.045372,0.071405,0.042384,0.01199,0.020881,0.041481,-0.007151,0.065547,0.031718,0.066499,0.031036,0.042537,0.060295,0.039247,0.012247,0.051202,0.023677,0.021138,0.025049,0.017773,0.043772,0.03134,0.018509,0.042063,0.034144,0.047625,0.003352,0.014276,0.046664,0.034702,0.026745,0.004207,0.049103,0.053412,0.020336,0.027569,0.032117,0.034812,0.06444,0.009455,-0.015128,0.02165,-0.023757,-0.01089,0.013843,-0.015639,0.035894,0.006534,0.045978,0.009221,0.010361,0.008847,0.012548,0.027565,0.026352,-0.012121,0.024492,0.025453,0.000167,0.032094,0.034611,0.038703,-0.017501,0.036438,0.04681,-0.009732,-0.001179,0.065484,0.028995,0.018545,0.003658,0.061845,-0.006711,0.02024,0.027415,0.008486,-0.01585,0.024281,0.027287,-0.011365,0.005762,0.002374,0.005202,-0.012153,0.011098,-0.006119,-0.009137,0.019666,0.020523,0.004597,0.001559,0.00399,0.03235,0.016353,0.014939,0.011051,0.008336,-0.015665,0.033445,0.004908,0.016045,0.016724,0.006154,0.007668,0.025369,0.005684,-0.007155,0.027418,0.01053,0.000682,0.022587,-0.012412,0.005295,-0.004613,0.014689,-0.005229,0.004377,0.016521,0.017014,0.006253,-0.011912,0.005712,-0.013966,0.04452,-0.003226,0.011068,0.00278,-0.000228,,,,
8,0.755074,1.4879,1.509495,0.916495,0.462397,0.156701,0.2586,0.173436,0.189318,0.186566,0.187712,0.250737,0.172648,0.171043,0.223087,0.188848,0.159469,0.214134,0.189303,0.25359,0.197034,0.172478,0.181402,0.168535,0.190599,0.160229,0.202731,0.198168,0.205888,0.203836,-0.00579,-0.010387,0.016241,0.025553,0.00673,0.022988,-0.00474,-0.007197,-0.007153,0.000175,0.005517,0.011666,0.005082,0.041464,0.014272,0.01636,0.023126,0.006628,0.008714,-0.007105,-0.000615,0.000903,0.013794,0.005366,0.020212,0.014342,0.037795,0.023879,-0.002161,0.014925,-0.009033,0.00078,0.023929,0.022232,-0.009131,-0.002401,-0.008223,0.002553,0.041696,0.024747,-0.004009,0.028488,0.014591,0.025761,0.022696,0.019201,0.02597,0.029981,0.042238,0.013465,0.017673,-0.012604,0.000958,0.022452,0.015632,0.048922,0.007086,0.00689,0.033167,0.013622,-0.000389,0.002744,0.018098,0.039723,0.020529,0.010023,0.004164,0.012033,0.008432,0.016338,-0.023236,0.025889,0.019823,-0.007542,0.006954,-0.006755,0.030464,0.016628,0.003175,0.01176,0.016604,0.013176,-0.002222,0.042029,0.00673,0.004228,0.011195,-0.009181,0.014004,-0.003008,0.010908,0.002124,0.016517,0.015044,0.018014,0.023803,0.010047,0.038588,0.016163,0.017853,0.029856,0.025063,0.002562,0.025521,0.002259,0.007179,-0.006839,0.007245,0.015111,-0.009558,0.016132,0.017163,0.013024,0.020835,0.02653,0.018217,,,,
9,2.426669,0.567732,0.434072,0.178351,0.208256,0.01025,0.172219,-0.009295,0.009365,0.023268,0.12736,0.177742,0.008899,0.012844,0.014438,0.012287,0.024243,-0.023625,0.164085,0.024946,0.005129,0.003578,0.148323,0.018356,0.013357,0.011928,0.013909,0.016258,-0.002066,-0.027478,0.004778,0.033624,0.021483,0.016796,-0.001059,-0.010201,0.020795,0.022165,0.017391,0.024502,0.030881,0.014144,0.001257,0.002318,0.000573,0.00262,-0.008772,0.000363,0.008721,0.010384,0.00314,-0.009383,0.012167,0.020652,0.013647,0.009073,0.017727,0.004358,-0.016376,0.010513,-0.008682,0.004462,0.017602,0.007648,0.012331,-0.003602,0.004837,-0.001919,0.020422,0.017769,0.016171,-0.00364,0.019442,-0.006436,0.004923,-0.008487,0.002134,0.03396,0.019288,0.019962,-0.003422,-0.001592,0.01857,0.020084,0.012802,0.013642,0.0078,0.014262,-9.7e-05,0.013635,0.011134,-0.009982,-0.009026,0.013925,0.011382,0.010369,0.025822,0.026358,-0.014446,0.008948,-0.000109,0.033395,-0.005564,0.017827,0.018574,0.031397,0.006554,-0.01391,0.012354,0.02228,0.015858,-0.00733,0.024916,0.009548,-0.024888,0.036642,0.01059,0.015472,-0.004936,0.017627,-0.000691,0.006027,-0.008554,-0.000192,0.001379,0.009097,0.012759,0.011541,0.027329,0.018185,-0.012045,0.017236,0.011297,0.01601,0.003833,0.000424,0.012948,0.016753,0.010919,0.018088,0.027733,-0.006764,0.018175,0.010049,-0.025677,0.022963,,,,
10,1.463451,1.163313,0.309206,0.31039,0.321992,0.296422,0.314386,0.323183,0.309704,0.287078,0.297782,0.306506,0.317423,0.184132,0.184094,0.191904,0.186072,0.17812,0.190357,0.18343,0.20531,0.179001,0.047472,0.027532,0.028979,0.173916,0.031004,0.003827,0.00335,0.023462,0.022642,0.005822,0.042694,0.002612,0.012455,0.008681,-0.002656,-0.00897,0.019063,0.009498,0.010803,0.003907,0.000493,0.036817,0.002514,0.018665,0.019694,-0.021739,0.012652,0.01371,0.000905,0.011562,0.016978,0.024872,0.003092,-0.001641,0.025813,0.009253,0.00109,0.019657,0.012769,0.01572,0.002291,0.009959,0.025445,0.019123,0.002977,0.009136,0.049304,0.002256,0.038384,0.000972,0.030127,0.028217,0.010761,0.015401,0.012742,0.018141,0.010957,-0.011557,0.017661,0.029887,-0.007849,0.010457,0.025183,0.015654,-0.000288,0.005095,0.032702,0.00611,0.00985,0.025841,0.031641,0.006732,0.038697,-0.005847,0.010326,0.000686,-6.2e-05,0.014795,0.002126,0.009474,0.005513,0.016878,0.027999,0.02712,0.023717,0.025467,0.004377,0.028794,0.03148,0.040207,0.000629,-0.015264,-0.008051,0.008901,0.013399,0.027445,0.004346,0.008751,-0.004812,0.004346,0.01744,0.026564,-0.002168,-0.005722,0.02243,0.023718,0.009319,-0.000603,-0.01839,0.010846,0.014143,0.001955,0.015561,0.010024,0.003695,0.011696,0.002615,0.012551,0.020339,-0.006994,0.027825,-0.007652,0.007246,-0.013717,,,,
11,1.508264,0.624625,0.504674,0.224163,0.508683,0.479248,0.189083,0.16116,0.190602,0.078605,0.070678,0.032497,0.182718,0.028412,0.089403,0.027333,0.069283,0.040668,0.071005,0.010877,0.042428,0.035409,0.053064,0.028371,0.0487,0.040693,0.077928,0.057096,0.065354,0.069799,0.060456,0.043317,0.072321,0.074495,0.039148,-0.011025,0.019397,0.041567,0.004031,-0.023091,0.011435,-0.013216,-0.00901,-0.039381,-0.014943,0.008306,-0.012358,-0.015326,0.036837,-0.006346,-0.007594,-0.000152,0.010302,-0.007069,0.005347,0.002216,0.061394,-0.003656,-0.032126,-0.004141,0.002193,0.003241,-0.007571,-0.019847,0.045339,-0.016259,0.003053,-0.01713,0.011039,-0.006174,-0.012697,-0.001352,-0.01932,-0.004376,0.009647,0.002279,0.024867,-0.009658,0.004164,0.006384,0.014574,0.00574,0.001455,0.011148,0.02007,0.017369,0.005391,0.033588,-0.006019,0.004552,-0.00559,0.003541,-0.008984,0.013432,0.012537,-0.007504,0.00843,-0.002815,0.002588,0.016719,-0.00845,0.038846,-0.00419,0.006991,0.013983,0.010348,-0.012231,-9e-06,0.003609,-0.012571,0.028117,0.001598,0.009212,-0.00684,-0.021521,0.004751,0.028109,-0.002867,0.000339,-0.001976,-0.005167,-0.009402,0.003939,-0.008747,-0.000575,0.024245,-0.004861,-0.001426,0.032833,0.011274,-0.023055,-0.005184,-0.004074,-0.01961,0.00489,-0.008668,0.009108,-0.014382,0.015363,-0.043083,0.01227,0.018834,0.006338,-0.017112,-0.004345,-0.016211,,,,
12,3.565673,0.638444,0.976857,0.495738,0.321779,0.343101,0.326451,0.198548,0.183549,0.158154,0.177558,0.184039,0.179735,0.192154,0.20554,0.193189,0.032653,0.001446,0.006645,-0.024992,-0.011072,0.004942,0.006891,0.020046,-0.010948,0.024418,0.012472,-0.007159,0.017032,0.012493,-0.020546,0.000196,0.018073,-0.024285,0.01305,-0.005435,0.015921,0.003228,0.020474,0.011804,0.017962,-0.011694,0.026692,-0.005487,-0.005293,0.003879,-0.000282,0.009618,0.003192,-0.008972,0.011268,0.026025,0.008514,0.012262,0.015227,0.013999,0.015834,-0.002587,0.032729,-0.014313,0.031063,-0.008056,-0.003945,0.010828,-0.015463,0.009273,-0.020962,0.01848,0.018745,0.005371,0.009607,-0.020185,0.003644,0.028314,0.013652,-0.005551,0.004563,0.00448,0.008803,-0.00042,-0.039066,0.005496,0.013881,-0.023501,0.03989,0.001633,0.00398,0.002949,-0.006024,0.017351,0.014789,0.025886,0.014556,0.01681,-0.012856,0.011293,-0.005008,-0.015526,0.011025,0.015738,0.003723,0.01458,-0.001517,0.038077,0.012649,0.02047,0.009119,0.01913,0.017043,0.006891,-0.017422,0.004615,-0.001178,0.011652,0.012198,0.002368,0.025228,-0.001143,0.002215,0.006137,-0.010079,0.000549,0.039538,0.038532,0.029258,0.000307,-0.000408,0.036266,0.025752,0.001952,0.030348,-0.020779,0.012351,0.008,0.01147,0.006572,-0.02094,0.006685,0.00473,-0.001703,0.011909,0.000731,-0.022274,0.059856,0.017615,0.017769,,,,
13,1.66949,1.640085,0.772734,1.645035,0.748075,0.451119,0.450876,0.456758,0.227068,0.216456,0.200683,0.153663,0.176253,0.148654,0.161779,0.052423,-0.017533,0.013964,0.061852,0.03974,0.051705,0.038568,0.057757,-0.00772,-0.019489,0.009182,0.007716,0.071868,0.043683,0.00481,0.031389,0.028399,0.010305,0.031384,0.02207,0.009131,-0.005995,0.026764,0.007008,-0.019213,-0.002771,-0.009529,0.051298,0.030596,0.041024,0.011478,-0.022111,0.019739,0.019362,0.017638,0.020864,0.002154,0.019087,0.058869,0.005811,-0.006012,0.021712,-0.006604,0.007445,0.02491,0.017471,-0.009632,0.001531,0.016795,0.011357,0.002501,0.0169,0.007196,-0.003416,0.015736,0.026165,0.024382,0.026408,0.019736,0.013724,0.012882,0.012766,0.001386,0.0156,0.023544,-0.002074,0.033979,0.013753,0.028066,0.004682,0.002944,-0.005688,0.017306,0.020742,0.020168,0.02292,0.021724,0.011823,0.018301,0.026384,0.021227,0.008178,0.014786,0.026474,-0.015176,-0.003157,0.019247,0.005581,0.013524,0.000337,0.012975,-0.003434,0.03561,0.016585,0.011603,0.014342,0.006708,0.006709,0.013138,0.014413,-0.011487,0.007213,-0.010645,0.026624,0.000817,0.003264,-0.000192,0.001624,0.034515,0.004664,0.001577,0.008529,-0.012899,0.007754,0.018505,-0.003744,0.009735,0.010085,-0.002391,0.015342,-0.002552,0.006297,0.017396,0.01874,0.012401,0.002695,-0.014564,0.01273,-0.016743,-0.018819,0.017574,,,,
14,2.74631,0.918981,0.904439,0.918428,0.673899,0.458598,0.452113,0.42618,0.459932,0.452893,0.461395,0.445874,0.483898,0.461534,0.453339,0.484425,0.169122,0.195585,0.176973,0.159257,0.191058,0.00826,0.011062,0.026771,-0.016927,0.01002,0.011164,0.028613,-0.002637,0.005738,0.021886,0.016168,0.01059,0.01175,0.014745,0.002688,0.022723,-0.009676,0.020767,0.006915,0.025904,-0.005672,0.013736,0.012633,0.002453,0.052094,0.006585,0.006926,0.006416,0.012179,0.023368,-0.002879,0.015391,0.016944,0.001898,-0.015218,0.002425,-0.023794,0.014119,0.026649,0.003154,-0.004942,0.022873,0.000383,-0.010423,-0.002195,-0.007404,0.000187,0.011618,0.017146,0.03228,0.011074,-0.0062,-0.03561,0.011063,0.02368,0.023049,0.0214,-0.002045,0.00739,0.007968,0.008458,-0.006818,0.033023,-0.003925,0.017713,0.008934,0.054425,0.016005,-0.004429,-0.022614,0.046257,0.006686,0.007169,0.019694,0.037251,-0.006497,0.030663,0.028624,0.024024,-0.014112,-0.019159,-0.037801,0.012025,0.02182,0.012476,-0.008419,-0.017103,0.047943,-0.010164,0.01446,0.003492,-0.028335,0.020504,0.010743,0.001327,0.00657,0.001561,0.009784,0.004546,0.006892,0.012359,0.021211,-0.009698,-0.004863,0.029159,0.019863,-0.021966,0.000564,0.014629,0.003959,0.019272,0.034352,0.010426,0.0147,0.033393,0.016946,0.018937,-0.014503,0.000229,0.023318,0.021265,0.002787,0.015318,0.010827,0.017968,,,,
15,1.411628,1.120888,0.383502,0.162165,0.191203,0.17686,0.186299,0.194187,0.188946,0.189793,0.162938,0.17406,0.179295,0.010987,0.165839,0.179689,0.161459,0.013464,0.166777,0.14571,0.141731,0.008042,0.015494,-0.002271,0.013233,0.0033,0.035066,0.014627,0.005488,0.018382,0.018743,0.008057,0.014467,0.007499,-0.000137,0.013843,0.03276,0.02516,0.008771,0.015569,0.016882,-0.012676,0.005839,0.01569,0.015031,0.008212,0.032388,0.025176,-0.010168,0.016704,-0.004395,0.020753,0.008014,0.005864,0.005681,0.00853,-0.00202,-4.9e-05,0.01412,-0.004766,-0.002893,0.031469,0.003896,-0.00065,-0.004305,-0.01096,0.025699,0.038029,-0.00106,0.004296,0.033001,-0.009805,0.007203,0.005753,0.013017,0.017104,0.020792,0.015109,0.027701,0.032943,0.00066,0.025542,0.006767,0.020376,0.050515,-0.000422,0.000371,0.004082,0.018407,0.021824,-0.014353,0.015295,-0.005626,0.019222,-0.020255,0.03376,-0.002914,4.3e-05,-0.013548,0.012453,0.005874,-0.009786,0.000186,0.014287,0.007634,-0.010544,-0.009415,0.008197,0.00904,0.023502,-0.017008,0.002513,0.02263,-0.00457,-0.010921,-0.002077,0.009682,0.019782,0.004945,0.023793,-0.00937,0.010651,0.012241,-0.000131,0.010194,0.004595,0.015779,-0.000989,0.006772,0.011681,0.008693,0.009402,0.011581,0.015127,-0.01881,0.022623,0.008264,0.007737,-0.006208,0.012089,0.011123,0.015413,0.011829,0.001312,-0.004797,0.001187,,,,
16,1.204401,0.673384,0.451262,0.227657,0.268702,0.253579,0.239135,0.244428,0.246383,0.233029,0.220294,0.222576,0.23244,0.234368,0.219256,0.216567,0.20804,0.239192,0.172409,0.224364,0.190193,0.217503,0.215046,0.191585,0.200525,0.213088,0.174466,0.220896,0.001354,0.013998,0.012078,0.024587,0.005458,0.021445,-0.003178,0.00773,0.009913,0.001996,0.006793,0.031719,0.009385,0.009264,0.009472,0.008573,0.000874,-0.002563,-0.001742,0.00491,-0.017616,0.003616,0.002852,0.004459,0.000948,-0.020657,0.004851,0.030915,0.009892,0.021855,0.029858,0.047021,0.015629,0.029044,0.026096,0.010486,0.019846,0.037405,-0.002979,0.018229,0.019353,0.024406,0.016066,-0.003263,-0.002349,0.017495,0.029606,0.026394,-0.004661,0.020029,0.00436,0.017813,0.005742,0.012903,0.007516,0.029554,0.006356,0.016399,0.020251,0.012361,-0.00141,0.00449,0.00978,0.013505,-0.007888,0.001626,0.056947,-0.001351,0.017729,-0.001381,0.027865,0.010936,0.020559,-0.010899,0.009,0.005225,-0.007478,0.016176,-0.008925,0.023447,-0.001627,0.03499,0.014485,0.011859,0.004405,0.010574,-0.013623,-0.001868,-0.025096,0.010675,0.004747,0.014089,0.009238,0.014485,0.012242,0.019291,0.009295,0.003548,0.015843,0.031475,-0.001366,0.00966,0.000966,-0.010212,0.01734,0.013842,-0.004338,-0.019723,0.001901,0.004601,0.007972,0.025983,0.010457,0.01063,-0.025302,0.033116,0.008331,-0.012567,,,,
